,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,LBH,LBD,LBA,SJH,SJD,SJA,GBH,GBD,GBA,BSH,BSD,BSA,SBH,SBD,SBA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AH,SOH,SOD,SOA
0,E0,2003-08-16,,Arsenal,Everton,2.0,1.0,H,1.0,0.0,H,M Halsey,11.0,13.0,5.0,7.0,8.0,15.0,6.0,9.0,1.0,3.0,1.0,1.0,1.4,3.8,8.0,,,,,,,,,,1.28,4.5,8.0,,,,,,,,,,,,,1.7,2.1,,,,,,,,,,1.975,1.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333,4.0,8.0,,,,1.44,4.0,7.0,,,,1.4,3.75,7.5,1.75,1.95,1.9,1.9,-1.25,1.9,1.95,-1.25,-1.25,1.4,3.75,7.5
1,E0,2003-08-16,,Birmingham,Tottenham,1.0,0.0,H,1.0,0.0,H,R Styles,10.0,15.0,5.0,7.0,20.0,27.0,1.0,4.0,3.0,5.0,0.0,0.0,2.375,3.25,2.75,,,,,,,,,,2.2,3.2,2.8,,,,,,,,,,,,,1.95,1.85,,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.2,2.8,,,,2.35,3.25,2.8,,,,2.25,3.2,2.8,1.85,1.85,2.05,1.75,-0.25,1.75,2.1,0.0,-0.25,2.25,3.25,2.75
2,E0,2003-08-16,,Blackburn,Wolves,5.0,1.0,H,2.0,0.0,H,J Winter,25.0,8.0,13.0,5.0,8.0,14.0,6.0,2.0,1.0,1.0,0.0,0.0,1.615,3.4,5.5,,,,,,,,,,1.57,3.5,5.0,,,,,,,,,,,,,1.9,1.9,,,,,,,,,,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,3.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615,3.5,4.5,,,,1.68,3.4,5.0,,,,1.57,3.4,5.5,1.85,1.85,1.95,1.85,-0.75,2.0,1.85,-0.75,-0.75,1.57,3.4,5.5
3,E0,2003-08-16,,Fulham,Middlesbrough,3.0,2.0,H,1.0,1.0,D,G Poll,17.0,8.0,9.0,5.0,18.0,16.0,7.0,6.0,1.0,1.0,0.0,0.0,2.3,3.25,2.8,,,,,,,,,,2.3,3.2,2.62,,,,,,,,,,,,,2.1,1.7,,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375,3.2,2.6,,,,2.4,3.25,2.7,,,,2.2,3.2,2.87,1.95,1.75,1.8,2.0,0.0,1.85,2.0,0.0,-0.25,2.2,3.25,2.8
4,E0,2003-08-16,,Leicester,Southampton,2.0,2.0,D,2.0,0.0,H,M Riley,12.0,13.0,7.0,10.0,27.0,15.0,2.0,7.0,3.0,1.0,0.0,0.0,2.5,3.2,2.6,,,,,,,,,,2.3,3.2,2.62,,,,,,,,,,,,,2.0,1.8,,,,,,,,,,1.85,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,2.5,,,,2.5,3.25,2.6,,,,2.4,3.2,2.6,1.95,1.75,1.85,1.95,0.0,1.85,2.0,0.0,0.0,2.38,3.2,2.63
5,E0,2003-08-16,,Man United,Bolton,4.0,0.0,H,1.0,0.0,H,P Durkin,13.0,15.0,6.0,5.0,12.0,8.0,8.0,4.0,0.0,4.0,0.0,0.0,1.286,4.5,10.0,,,,,,,,,,1.22,5.0,9.5,,,,,,,,,,,,,1.66,2.2,,,,,,,,,,2.05,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,4.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,4.5,10.0,,,,1.3,4.8,9.0,,,,1.25,5.0,9.0,1.65,2.1,1.95,1.85,-1.75,1.95,1.9,-1.75,-1.75,1.25,5.0,8.5
6,E0,2003-08-16,,Portsmouth,Aston Villa,2.0,1.0,H,1.0,0.0,H,G Barber,4.0,9.0,3.0,5.0,18.0,22.0,7.0,9.0,2.0,1.0,0.0,1.0,2.375,3.25,2.75,,,,,,,,,,2.3,3.2,2.62,,,,,,,,,,,,,1.9,1.9,,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375,3.2,2.6,,,,2.4,3.25,2.7,,,,2.25,3.2,2.8,1.9,1.8,2.05,1.75,-0.25,2.1,1.75,-0.25,-0.25,2.38,3.3,2.8
7,E0,2003-08-17,,Charlton,Man City,0.0,3.0,A,0.0,2.0,A,M Dean,10.0,14.0,5.0,8.0,12.0,16.0,4.0,7.0,2.0,1.0,1.0,0.0,2.25,3.4,2.75,,,,,,,,,,2.37,3.3,2.5,,,,,,,,,,,,,1.85,1.95,,,,,,,,,,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.2,2.75,,,,2.38,3.25,2.75,,,,2.3,3.2,2.75,1.9,1.8,2.05,1.75,-0.25,2.05,1.8,-0.25,0.0,2.25,3.25,2.75
8,E0,2003-08-17,,Leeds,Newcastle,2.0,2.0,D,1.0,1.0,D,R Martin,8.0,19.0,3.0,10.0,19.0,16.0,4.0,8.0,4.0,2.0,0.0,0.0,2.75,3.25,2.375,,,,,,,,,,3.0,3.2,2.1,,,,,,,,,,,,,1.8,2.0,,,,,,,,,,1.825,2.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.2,2.2,,,,2.85,3.25,2.3,,,,2.62,3.2,2.37,1.8,1.9,1.8,2.0,0.25,1.8,2.05,0.25,0.25,2.9,3.4,2.25
9,E0,2003-08-17,,Liverpool,Chelsea,1.0,2.0,A,0.0,1.0,A,S Bennett,12.0,10.0,7.0,6.0,13.0,12.0,8.0,6.0,3.0,1.0,0.0,0.0,2.25,3.25,2.875,,,,,,,,,,2.3,3.0,2.8,,,,,,,,,,,,,1.9,1.9,,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.2,2.75,,,,2.25,3.25,3.25,,,,2.2,3.2,2.87,1.9,1.8,2.05,1.85,-0.25,2.05,1.8,-0.25,-0.25,2.25,3.3,3.0
