,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,LBH,LBD,LBA,SJH,SJD,SJA,GBH,GBD,GBA,BSH,BSD,BSA,SBH,SBD,SBA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,SOH,SOD,SOA,Unnamed: 49,Unnamed: 50
0,SP1,2003-08-30,,Albacete,Osasuna,0,2,A,0,1,A,,,,,,,,,,,,,2.3,3.0,3.0,,,,,,,,,,2.2,3.1,2.87,,,,,,,,,,,,,2.0,1.72,,,,,,,,,,2.05,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.0,3.0,,,,2.35,3.1,2.9,,,,2.3,3.0,2.87,2.0,1.71,2.05,1.75,-0.25,2.05,1.8,-0.25,-0.25,,,,,,2.3,3.0,2.88,,
1,SP1,2003-08-30,,Ath Bilbao,Barcelona,0,1,A,0,1,A,,,,,,,,,,,,,2.6,3.2,2.5,,,,,,,,,,2.6,3.1,2.4,,,,,,,,,,,,,1.8,1.9,,,,,,,,,,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375,3.2,2.6,,,,2.75,3.15,2.4,,,,2.6,3.2,2.4,1.71,2.0,1.77,2.05,0.25,1.75,2.1,0.25,0.25,,,,,,2.6,3.2,2.4,,
2,SP1,2003-08-30,,Espanol,Sociedad,1,1,D,1,0,H,,,,,,,,,,,,,2.6,3.2,2.5,,,,,,,,,,2.37,3.1,2.62,,,,,,,,,,,,,1.8,1.9,,,,,,,,,,1.85,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.2,2.375,,,,2.55,3.1,2.6,,,,2.6,3.0,2.5,1.75,1.95,1.85,1.95,0.0,1.9,1.95,0.0,0.0,,,,,,2.6,3.0,2.5,,
3,SP1,2003-08-30,,Malaga,Villarreal,0,0,D,0,0,D,,,,,,,,,,,,,2.3,3.2,2.875,,,,,,,,,,2.2,3.0,3.0,,,,,,,,,,,,,1.9,1.8,,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.2,2.75,,,,2.3,3.1,3.0,,,,2.37,3.1,2.7,2.0,1.71,2.0,1.8,-0.25,2.1,1.75,-0.25,-0.25,,,,,,2.38,3.1,2.7,,
4,SP1,2003-08-30,,Real Madrid,Betis,2,1,H,1,1,D,,,,,,,,,,,,,1.364,4.333,7.5,,,,,,,,,,1.36,3.75,8.0,,,,,,,,,,,,,1.61,2.2,,,,,,,,,,1.975,1.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,3.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,3.75,7.0,,,,1.35,4.35,8.0,,,,1.3,4.5,8.0,1.5,2.35,1.9,1.9,-1.5,1.95,1.9,-1.5,-1.5,,,,,,1.3,4.5,8.0,,
5,SP1,2003-08-30,,Valencia,Valladolid,1,1,D,0,1,A,,,,,,,,,,,,,1.4,3.75,8.5,,,,,,,,,,1.4,3.75,7.0,,,,,,,,,,,,,1.9,1.8,,,,,,,,,,2.025,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.444,3.6,6.5,,,,1.45,3.8,7.0,,,,1.4,3.75,7.5,1.95,1.75,1.85,1.95,-1.25,1.95,1.9,-1.25,-1.25,,,,,,1.4,3.75,7.5,,
6,SP1,2003-08-31,,Celta,Murcia,1,1,D,1,0,H,,,,,,,,,,,,,1.444,3.6,8.0,,,,,,,,,,1.44,3.3,7.5,,,,,,,,,,,,,1.83,1.83,,,,,,,,,,1.875,2.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,3.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.444,3.6,6.5,,,,1.45,3.8,7.0,,,,1.44,3.6,7.0,1.79,1.9,1.8,2.0,-1.25,1.85,2.0,-1.25,-1.25,,,,,,1.44,3.6,7.0,,
7,SP1,2003-08-31,,Santander,Mallorca,2,1,H,1,0,H,,,,,,,,,,,,,2.375,3.2,2.75,,,,,,,,,,2.3,3.2,2.62,,,,,,,,,,,,,1.83,1.83,,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375,3.2,2.6,,,,2.38,3.15,2.75,,,,2.4,3.2,2.6,1.95,1.75,2.05,1.77,-0.25,2.1,1.75,-0.25,-0.25,,,,,,2.4,3.2,2.6,,
8,SP1,2003-08-31,,Sevilla,Ath Madrid,1,0,H,1,0,H,,,,,,,,,,,,,2.2,3.2,3.0,,,,,,,,,,2.25,3.1,2.8,,,,,,,,,,,,,1.9,1.8,,,,,,,,,,1.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.2,2.75,,,,2.25,3.1,3.05,,,,2.25,3.1,2.87,2.05,1.65,1.95,1.85,-0.25,1.95,1.9,-0.25,-0.25,,,,,,2.25,3.1,2.88,,
9,SP1,2003-08-31,,Zaragoza,La Coruna,0,1,A,0,0,D,,,,,,,,,,,,,3.0,3.2,2.2,,,,,,,,,,2.62,3.1,2.37,,,,,,,,,,,,,1.8,1.9,,,,,,,,,,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.2,2.2,,,,2.9,3.25,2.25,,,,2.87,3.2,2.2,1.85,1.85,1.9,1.9,0.25,1.9,1.95,0.25,0.25,,,,,,2.88,3.2,2.2,,
