Rank,Club,Country,Level,Elo,From,To
None,Almeria,ESP,2,1382.61157227,1978-07-01,1978-09-03
None,Almeria,ESP,2,1386.08483887,1978-09-04,1978-09-10
None,Almeria,ESP,2,1383.75561523,1978-09-11,1978-09-13
None,Almeria,ESP,2,1400.4119873,1978-09-14,1978-09-17
None,Almeria,ESP,2,1407.83752441,1978-09-18,1978-09-24
None,Almeria,ESP,2,1421.86767578,1978-09-25,1978-09-27
None,Almeria,ESP,2,1423.32824707,1978-09-28,1978-10-08
None,Almeria,ESP,2,1418.52185059,1978-10-09,1978-10-15
None,Almeria,ESP,2,1414.62585449,1978-10-16,1978-10-18
None,Almeria,ESP,2,1402.40441895,1978-10-19,1978-10-22
None,Almeria,ESP,2,1407.22399902,1978-10-23,1978-10-29
None,Almeria,ESP,2,1404.58227539,1978-10-30,1978-11-01
None,Almeria,ESP,2,1407.19213867,1978-11-02,1978-11-05
None,Almeria,ESP,2,1413.54309082,1978-11-06,1978-11-12
None,Almeria,ESP,2,1410.09008789,1978-11-13,1978-11-19
None,Almeria,ESP,2,1415.1505127,1978-11-20,1978-11-22
None,Almeria,ESP,2,1412.7734375,1978-11-23,1978-11-26
None,Almeria,ESP,2,1419.61035156,1978-11-27,1978-12-03
None,Almeria,ESP,2,1423.61022949,1978-12-04,1978-12-06
None,Almeria,ESP,2,1422.20422363,1978-12-07,1978-12-10
None,Almeria,ESP,2,1418.88647461,1978-12-11,1978-12-17
None,Almeria,ESP,2,1425.57763672,1978-12-18,1978-12-31
None,Almeria,ESP,2,1423.05322266,1979-01-01,1979-01-07
None,Almeria,ESP,2,1425.4543457,1979-01-08,1979-01-14
None,Almeria,ESP,2,1419.12854004,1979-01-15,1979-01-21
None,Almeria,ESP,2,1414.97790527,1979-01-22,1979-01-27
None,Almeria,ESP,2,1411.8494873,1979-01-28,1979-02-04
None,Almeria,ESP,2,1417.17114258,1979-02-05,1979-02-11
None,Almeria,ESP,2,1413.97937012,1979-02-12,1979-02-18
None,Almeria,ESP,2,1419.08361816,1979-02-19,1979-02-25
None,Almeria,ESP,2,1415.63684082,1979-02-26,1979-03-07
None,Almeria,ESP,2,1416.2409668,1979-03-08,1979-03-11
None,Almeria,ESP,2,1422.82580566,1979-03-12,1979-03-18
None,Almeria,ESP,2,1428.11901855,1979-03-19,1979-03-21
None,Almeria,ESP,2,1431.19519043,1979-03-22,1979-03-25
None,Almeria,ESP,2,1439.97949219,1979-03-26,1979-04-07
None,Almeria,ESP,2,1461.60864258,1979-04-08,1979-04-11
None,Almeria,ESP,2,1461.93652344,1979-04-12,1979-04-15
None,Almeria,ESP,2,1464.50183105,1979-04-16,1979-04-22
None,Almeria,ESP,2,1460.89416504,1979-04-23,1979-04-25
None,Almeria,ESP,2,1467.72607422,1979-04-26,1979-04-29
None,Almeria,ESP,2,1476.6328125,1979-04-30,1979-05-06
None,Almeria,ESP,2,1480.296875,1979-05-07,1979-05-13
None,Almeria,ESP,2,1485.66662598,1979-05-14,1979-05-16
None,Almeria,ESP,2,1489.64111328,1979-05-17,1979-05-20
None,Almeria,ESP,2,1504.73974609,1979-05-21,1979-05-27
None,Almeria,ESP,2,1509.99084473,1979-05-28,1979-06-03
None,Almeria,ESP,2,1520.09606934,1979-06-04,1979-06-10
None,Almeria,ESP,2,1524.95495605,1979-06-11,1979-06-17
None,Almeria,ESP,2,1520.95336914,1979-06-18,1979-07-01
None,Almeria,ESP,1,1520.95336914,1979-07-02,1979-09-08
None,Almeria,ESP,1,1517.60644531,1979-09-09,1979-09-16
None,Almeria,ESP,1,1523.09411621,1979-09-17,1979-09-19
None,Almeria,ESP,1,1507.93847656,1979-09-20,1979-09-23
None,Almeria,ESP,1,1513.88562012,1979-09-24,1979-09-30
None,Almeria,ESP,1,1516.12939453,1979-10-01,1979-10-03
None,Almeria,ESP,1,1513.10986328,1979-10-04,1979-10-14
None,Almeria,ESP,1,1511.24499512,1979-10-15,1979-10-21
None,Almeria,ESP,1,1511.31726074,1979-10-22,1979-10-24
None,Almeria,ESP,1,1507.34692383,1979-10-25,1979-10-28
None,Almeria,ESP,1,1502.4473877,1979-10-29,1979-11-04
None,Almeria,ESP,1,1503.82348633,1979-11-05,1979-11-07
None,Almeria,ESP,1,1516.89880371,1979-11-08,1979-11-11
None,Almeria,ESP,1,1514.1730957,1979-11-12,1979-11-18
None,Almeria,ESP,1,1518.40307617,1979-11-19,1979-11-25
None,Almeria,ESP,1,1515.26904297,1979-11-26,1979-12-02
None,Almeria,ESP,1,1522.33911133,1979-12-03,1979-12-15
None,Almeria,ESP,1,1520.59301758,1979-12-16,1979-12-30
None,Almeria,ESP,1,1530.35388184,1979-12-31,1980-01-06
None,Almeria,ESP,1,1538.14331055,1980-01-07,1980-01-13
None,Almeria,ESP,1,1533.81787109,1980-01-14,1980-01-20
None,Almeria,ESP,1,1532.18432617,1980-01-21,1980-01-27
None,Almeria,ESP,1,1529.23095703,1980-01-28,1980-02-03
None,Almeria,ESP,1,1536.31689453,1980-02-04,1980-02-10
None,Almeria,ESP,1,1532.11303711,1980-02-11,1980-02-17
None,Almeria,ESP,1,1530.9921875,1980-02-18,1980-02-24
None,Almeria,ESP,1,1538.57409668,1980-02-25,1980-03-02
None,Almeria,ESP,1,1537.64807129,1980-03-03,1980-03-05
None,Almeria,ESP,1,1533.39697266,1980-03-06,1980-03-09
None,Almeria,ESP,1,1540.46948242,1980-03-10,1980-03-16
None,Almeria,ESP,1,1539.07592773,1980-03-17,1980-03-19
None,Almeria,ESP,1,1545.0135498,1980-03-20,1980-03-23
None,Almeria,ESP,1,1550.34008789,1980-03-24,1980-03-30
None,Almeria,ESP,1,1562.61206055,1980-03-31,1980-04-06
None,Almeria,ESP,1,1558.95373535,1980-04-07,1980-04-09
None,Almeria,ESP,1,1563.52770996,1980-04-10,1980-04-13
None,Almeria,ESP,1,1559.95935059,1980-04-14,1980-04-20
None,Almeria,ESP,1,1570.06604004,1980-04-21,1980-04-23
None,Almeria,ESP,1,1571.81860352,1980-04-24,1980-04-27
None,Almeria,ESP,1,1568.75292969,1980-04-28,1980-05-04
None,Almeria,ESP,1,1576.13134766,1980-05-05,1980-05-11
None,Almeria,ESP,1,1588.8059082,1980-05-12,1980-05-14
None,Almeria,ESP,1,1589.51831055,1980-05-15,1980-05-18
None,Almeria,ESP,1,1588.17089844,1980-05-19,1980-09-07
None,Almeria,ESP,1,1582.24658203,1980-09-08,1980-09-14
None,Almeria,ESP,1,1585.45068359,1980-09-15,1980-09-16
None,Almeria,ESP,1,1586.7668457,1980-09-17,1980-09-17
None,Almeria,ESP,1,1588.72998047,1980-09-18,1980-09-21
None,Almeria,ESP,1,1586.17016602,1980-09-22,1980-09-28
None,Almeria,ESP,1,1584.17785645,1980-09-29,1980-10-01
None,Almeria,ESP,1,1572.47973633,1980-10-02,1980-10-05
None,Almeria,ESP,1,1569.7857666,1980-10-06,1980-10-12
None,Almeria,ESP,1,1564.17724609,1980-10-13,1980-10-19
None,Almeria,ESP,1,1560.74353027,1980-10-20,1980-10-22
None,Almeria,ESP,1,1567.28051758,1980-10-23,1980-10-26
None,Almeria,ESP,1,1566.0703125,1980-10-27,1980-11-01
None,Almeria,ESP,1,1563.6829834,1980-11-02,1980-11-05
None,Almeria,ESP,1,1551.34753418,1980-11-06,1980-11-09
None,Almeria,ESP,1,1546.78125,1980-11-10,1980-11-15
None,Almeria,ESP,1,1541.00280762,1980-11-16,1980-11-23
None,Almeria,ESP,1,1551.31835938,1980-11-24,1980-11-26
None,Almeria,ESP,1,1549.86401367,1980-11-27,1980-11-30
None,Almeria,ESP,1,1546.39208984,1980-12-01,1980-12-07
None,Almeria,ESP,1,1526.80212402,1980-12-08,1980-12-10
None,Almeria,ESP,1,1519.66381836,1980-12-11,1980-12-13
None,Almeria,ESP,1,1515.44311523,1980-12-14,1980-12-21
None,Almeria,ESP,1,1520.34631348,1980-12-22,1980-12-28
None,Almeria,ESP,1,1517.67285156,1980-12-29,1981-01-04
None,Almeria,ESP,1,1515.76904297,1981-01-05,1981-01-11
None,Almeria,ESP,1,1511.37597656,1981-01-12,1981-01-18
None,Almeria,ESP,1,1520.30175781,1981-01-19,1981-01-25
None,Almeria,ESP,1,1516.30444336,1981-01-26,1981-02-01
None,Almeria,ESP,1,1514.9309082,1981-02-02,1981-02-08
None,Almeria,ESP,1,1510.79296875,1981-02-09,1981-02-15
None,Almeria,ESP,1,1519.79089355,1981-02-16,1981-02-22
None,Almeria,ESP,1,1516.83776855,1981-02-23,1981-03-01
None,Almeria,ESP,1,1525.78039551,1981-03-02,1981-03-04
None,Almeria,ESP,1,1527.86987305,1981-03-05,1981-03-08
None,Almeria,ESP,1,1523.58447266,1981-03-09,1981-03-15
