Rank,Club,Country,Level,Elo,From,To
None,Boulogne,FRA,2,1388.78125,2007-07-01,2007-07-27
None,Boulogne,FRA,2,1384.56896973,2007-07-28,2007-08-03
None,Boulogne,FRA,2,1390.12487793,2007-08-04,2007-08-10
None,Boulogne,FRA,2,1401.46350098,2007-08-11,2007-08-15
None,Boulogne,FRA,2,1400.41296387,2007-08-16,2007-08-16
None,Boulogne,FRA,2,1401.11132812,2007-08-17,2007-08-17
None,Boulogne,FRA,2,1395.99108887,2007-08-18,2007-08-24
None,Boulogne,FRA,2,1401.53845215,2007-08-25,2007-08-28
None,Boulogne,FRA,2,1400.34338379,2007-08-29,2007-08-30
None,Boulogne,FRA,2,1403.30517578,2007-08-31,2007-08-31
None,Boulogne,FRA,2,1409.86791992,2007-09-01,2007-09-14
None,Boulogne,FRA,2,1397.26867676,2007-09-15,2007-09-18
None,Boulogne,FRA,2,1399.29296875,2007-09-19,2007-09-19
None,Boulogne,FRA,2,1395.64367676,2007-09-20,2007-09-20
None,Boulogne,FRA,2,1388.45861816,2007-09-21,2007-09-21
None,Boulogne,FRA,2,1384.95397949,2007-09-22,2007-09-28
None,Boulogne,FRA,2,1392.08776855,2007-09-29,2007-10-02
None,Boulogne,FRA,2,1386.06982422,2007-10-03,2007-10-03
None,Boulogne,FRA,2,1391.40441895,2007-10-04,2007-10-04
None,Boulogne,FRA,2,1392.63684082,2007-10-05,2007-10-05
None,Boulogne,FRA,2,1381.93347168,2007-10-06,2007-10-19
None,Boulogne,FRA,2,1374.96594238,2007-10-20,2007-10-23
None,Boulogne,FRA,2,1378.35742188,2007-10-24,2007-10-24
None,Boulogne,FRA,2,1378.59765625,2007-10-25,2007-10-25
None,Boulogne,FRA,2,1376.32250977,2007-10-26,2007-10-26
None,Boulogne,FRA,2,1375.64672852,2007-10-27,2007-11-02
None,Boulogne,FRA,2,1377.43688965,2007-11-03,2007-11-05
None,Boulogne,FRA,2,1402.18737793,2007-11-06,2007-11-06
None,Boulogne,FRA,2,1401.10632324,2007-11-07,2007-11-07
None,Boulogne,FRA,2,1402.4263916,2007-11-08,2007-11-08
None,Boulogne,FRA,2,1397.52258301,2007-11-09,2007-11-09
None,Boulogne,FRA,2,1414.58349609,2007-11-10,2007-11-27
None,Boulogne,FRA,2,1414.78796387,2007-11-28,2007-11-28
None,Boulogne,FRA,2,1412.10583496,2007-11-29,2007-11-29
None,Boulogne,FRA,2,1407.28930664,2007-11-30,2007-11-30
None,Boulogne,FRA,2,1400.93762207,2007-12-01,2007-12-06
None,Boulogne,FRA,2,1401.5246582,2007-12-07,2007-12-07
None,Boulogne,FRA,2,1414.55651855,2007-12-08,2007-12-11
None,Boulogne,FRA,2,1410.7565918,2007-12-12,2007-12-12
None,Boulogne,FRA,2,1414.53674316,2007-12-13,2007-12-19
None,Boulogne,FRA,2,1418.97424316,2007-12-20,2007-12-20
None,Boulogne,FRA,2,1417.53588867,2007-12-21,2007-12-21
None,Boulogne,FRA,2,1427.86071777,2007-12-22,2008-01-11
None,Boulogne,FRA,2,1427.23327637,2008-01-12,2008-01-18
None,Boulogne,FRA,2,1418.94470215,2008-01-19,2008-01-25
None,Boulogne,FRA,2,1405.98059082,2008-01-26,2008-02-08
None,Boulogne,FRA,2,1400.60900879,2008-02-09,2008-02-13
None,Boulogne,FRA,2,1403.21838379,2008-02-14,2008-02-15
None,Boulogne,FRA,2,1396.58752441,2008-02-16,2008-02-20
None,Boulogne,FRA,2,1396.19763184,2008-02-21,2008-02-21
None,Boulogne,FRA,2,1390.02038574,2008-02-22,2008-02-22
None,Boulogne,FRA,2,1385.18835449,2008-02-23,2008-02-29
None,Boulogne,FRA,2,1393.77880859,2008-03-01,2008-03-04
None,Boulogne,FRA,2,1392.6829834,2008-03-05,2008-03-06
None,Boulogne,FRA,2,1395.6583252,2008-03-07,2008-03-07
None,Boulogne,FRA,2,1386.63110352,2008-03-08,2008-03-12
None,Boulogne,FRA,2,1380.53881836,2008-03-13,2008-03-14
None,Boulogne,FRA,2,1371.57421875,2008-03-15,2008-03-24
None,Boulogne,FRA,2,1368.48803711,2008-03-25,2008-03-28
None,Boulogne,FRA,2,1380.98657227,2008-03-29,2008-04-04
None,Boulogne,FRA,2,1390.62524414,2008-04-05,2008-04-11
None,Boulogne,FRA,2,1396.79333496,2008-04-12,2008-04-14
None,Boulogne,FRA,2,1392.50244141,2008-04-15,2008-04-18
None,Boulogne,FRA,2,1382.89086914,2008-04-19,2008-04-25
None,Boulogne,FRA,2,1388.70410156,2008-04-26,2008-05-05
None,Boulogne,FRA,2,1382.02819824,2008-05-06,2008-05-12
None,Boulogne,FRA,2,1375.11584473,2008-05-13,2008-05-16
None,Boulogne,FRA,2,1382.27038574,2008-05-17,2008-08-01
None,Boulogne,FRA,2,1387.1282959,2008-08-02,2008-08-08
None,Boulogne,FRA,2,1398.94519043,2008-08-09,2008-08-13
