Rank,Club,Country,Level,Elo,From,To
None,Braunschweig,FRG,1,1357.1763916,1951-07-01,1951-08-19
None,Braunschweig,FRG,1,1346.7635498,1951-08-20,1951-08-26
None,Braunschweig,FRG,1,1352.43518066,1951-08-27,1951-09-02
None,Braunschweig,FRG,1,1347.32409668,1951-09-03,1951-09-09
None,Braunschweig,FRG,1,1349.75585938,1951-09-10,1951-09-16
None,Braunschweig,FRG,1,1357.03967285,1951-09-17,1951-09-24
None,Braunschweig,FRG,1,1376.03967285,1951-09-25,1951-09-30
None,Braunschweig,FRG,1,1366.61279297,1951-10-01,1951-10-07
None,Braunschweig,FRG,1,1363.51049805,1951-10-08,1951-10-14
None,Braunschweig,FRG,1,1358.84265137,1951-10-15,1951-10-18
None,Braunschweig,FRG,1,1343.84265137,1951-10-19,1951-10-21
None,Braunschweig,FRG,1,1337.37963867,1951-10-22,1951-10-28
None,Braunschweig,FRG,1,1336.32189941,1951-10-29,1951-11-04
None,Braunschweig,FRG,1,1334.3918457,1951-11-05,1951-11-11
None,Braunschweig,FRG,1,1328.63476562,1951-11-12,1951-11-18
None,Braunschweig,FRG,1,1326.18249512,1951-11-19,1951-11-23
None,Braunschweig,FRG,1,1335.18249512,1951-11-24,1951-12-02
None,Braunschweig,FRG,1,1324.17211914,1951-12-03,1951-12-09
None,Braunschweig,FRG,1,1330.97277832,1951-12-10,1951-12-16
None,Braunschweig,FRG,1,1321.28369141,1951-12-17,1951-12-25
None,Braunschweig,FRG,1,1322.28369141,1951-12-26,1951-12-30
None,Braunschweig,FRG,1,1334.96850586,1951-12-31,1952-01-06
None,Braunschweig,FRG,1,1328.26293945,1952-01-07,1952-01-13
None,Braunschweig,FRG,1,1326.69067383,1952-01-14,1952-01-20
None,Braunschweig,FRG,1,1314.88952637,1952-01-21,1952-01-27
None,Braunschweig,FRG,1,1332.23620605,1952-01-28,1952-02-03
None,Braunschweig,FRG,1,1327.35290527,1952-02-04,1952-02-10
None,Braunschweig,FRG,1,1322.62475586,1952-02-11,1952-02-17
None,Braunschweig,FRG,1,1328.86169434,1952-02-18,1952-02-24
None,Braunschweig,FRG,1,1331.52490234,1952-02-25,1952-03-09
None,Braunschweig,FRG,1,1331.69226074,1952-03-10,1952-03-16
None,Braunschweig,FRG,1,1325.75170898,1952-03-17,1952-03-30
None,Braunschweig,FRG,1,1331.37402344,1952-03-31,1952-04-06
None,Braunschweig,FRG,1,1357.1237793,1952-04-07,1952-04-13
None,Braunschweig,FRG,1,1348.57775879,1952-04-14,1952-04-21
None,Braunschweig,FRG,1,1350.57775879,1952-04-22,1952-05-07
None,Braunschweig,FRG,1,1354.57775879,1952-05-08,1952-07-07
None,Braunschweig,FRG,1,1313.80554199,1953-07-01,1953-08-09
None,Braunschweig,FRG,1,1321.6619873,1953-08-10,1953-08-20
None,Braunschweig,FRG,1,1310.6619873,1953-08-21,1953-08-23
