Rank,Club,Country,Level,Elo,From,To
None,Brest,FRA,1,1438.75402832,1979-07-01,1979-07-26
None,Brest,FRA,1,1434.27404785,1979-07-27,1979-08-03
None,Brest,FRA,1,1424.88220215,1979-08-04,1979-08-10
None,Brest,FRA,1,1417.57312012,1979-08-11,1979-08-17
None,Brest,FRA,1,1410.60424805,1979-08-18,1979-08-24
None,Brest,FRA,1,1409.36193848,1979-08-25,1979-08-28
None,Brest,FRA,1,1416.04211426,1979-08-29,1979-09-11
None,Brest,FRA,1,1409.1151123,1979-09-12,1979-09-14
None,Brest,FRA,1,1405.22937012,1979-09-15,1979-09-19
None,Brest,FRA,1,1406.73010254,1979-09-20,1979-09-22
None,Brest,FRA,1,1403.26867676,1979-09-23,1979-09-28
None,Brest,FRA,1,1402.18103027,1979-09-29,1979-10-03
None,Brest,FRA,1,1413.40722656,1979-10-04,1979-10-06
None,Brest,FRA,1,1402.89978027,1979-10-07,1979-10-13
None,Brest,FRA,1,1399.41833496,1979-10-14,1979-10-19
None,Brest,FRA,1,1400.22741699,1979-10-20,1979-10-24
None,Brest,FRA,1,1389.29663086,1979-10-25,1979-10-30
None,Brest,FRA,1,1383.90844727,1979-10-31,1979-11-01
None,Brest,FRA,1,1399.89562988,1979-11-02,1979-11-02
None,Brest,FRA,1,1390.98193359,1979-11-03,1979-11-07
None,Brest,FRA,1,1404.74353027,1979-11-08,1979-11-09
None,Brest,FRA,1,1402.50024414,1979-11-10,1979-11-21
None,Brest,FRA,1,1402.40710449,1979-11-22,1979-11-24
None,Brest,FRA,1,1409.31884766,1979-11-25,1979-11-28
None,Brest,FRA,1,1411.43945312,1979-11-29,1979-12-01
None,Brest,FRA,1,1425.08154297,1979-12-02,1979-12-07
None,Brest,FRA,1,1420.7845459,1979-12-08,1979-12-12
None,Brest,FRA,1,1421.65576172,1979-12-13,1979-12-14
None,Brest,FRA,1,1420.80212402,1979-12-15,1980-01-19
None,Brest,FRA,1,1418.75073242,1980-01-20,1980-01-26
None,Brest,FRA,1,1415.40344238,1980-01-27,1980-02-02
None,Brest,FRA,1,1401.58508301,1980-02-03,1980-02-15
None,Brest,FRA,1,1400.96069336,1980-02-16,1980-02-23
None,Brest,FRA,1,1401.4029541,1980-02-24,1980-02-29
None,Brest,FRA,1,1397.00415039,1980-03-01,1980-03-05
None,Brest,FRA,1,1393.35473633,1980-03-06,1980-03-12
None,Brest,FRA,1,1383.79492188,1980-03-13,1980-03-19
None,Brest,FRA,1,1375.2388916,1980-03-20,1980-03-22
None,Brest,FRA,1,1371.7175293,1980-03-23,1980-03-29
None,Brest,FRA,1,1355.78344727,1980-03-30,1980-04-02
None,Brest,FRA,1,1353.5925293,1980-04-03,1980-04-08
None,Brest,FRA,1,1361.04223633,1980-04-09,1980-04-09
None,Brest,FRA,1,1360.45263672,1980-04-10,1980-04-18
None,Brest,FRA,1,1357.92749023,1980-04-19,1980-04-23
None,Brest,FRA,1,1345.66333008,1980-04-24,1980-04-25
None,Brest,FRA,1,1361.01745605,1980-04-26,1980-05-02
None,Brest,FRA,1,1358.93945312,1980-05-03,1980-05-06
None,Brest,FRA,1,1347.43994141,1980-05-07,1980-05-17
None,Brest,FRA,1,1343.37036133,1980-05-18,1980-05-27
None,Brest,FRA,1,1358.78686523,1980-05-28,1980-07-01
None,Brest,FRA,1,1430.69543457,1981-07-01,1981-07-24
None,Brest,FRA,1,1436.32385254,1981-07-25,1981-07-28
None,Brest,FRA,1,1441.24328613,1981-07-29,1981-08-04
None,Brest,FRA,1,1437.44677734,1981-08-05,1981-08-07
None,Brest,FRA,1,1435.80578613,1981-08-08,1981-08-11
None,Brest,FRA,1,1441.87402344,1981-08-12,1981-08-21
None,Brest,FRA,1,1444.41711426,1981-08-22,1981-08-25
None,Brest,FRA,1,1440.06640625,1981-08-26,1981-08-28
None,Brest,FRA,1,1447.47705078,1981-08-29,1981-09-01
None,Brest,FRA,1,1442.71472168,1981-09-02,1981-09-05
None,Brest,FRA,1,1446.78869629,1981-09-06,1981-09-11
None,Brest,FRA,1,1461.93688965,1981-09-12,1981-09-16
None,Brest,FRA,1,1442.2244873,1981-09-17,1981-09-22
None,Brest,FRA,1,1449.70739746,1981-09-23,1981-09-25
None,Brest,FRA,1,1464.05224609,1981-09-26,1981-09-29
None,Brest,FRA,1,1458.91345215,1981-09-30,1981-09-30
None,Brest,FRA,1,1464.03747559,1981-10-01,1981-10-02
None,Brest,FRA,1,1468.13391113,1981-10-03,1981-10-06
None,Brest,FRA,1,1461.63842773,1981-10-07,1981-10-16
None,Brest,FRA,1,1455.7199707,1981-10-17,1981-10-21
None,Brest,FRA,1,1455.17236328,1981-10-22,1981-10-27
None,Brest,FRA,1,1464.38146973,1981-10-28,1981-10-30
None,Brest,FRA,1,1480.69995117,1981-10-31,1981-11-04
None,Brest,FRA,1,1476.77819824,1981-11-05,1981-11-06
None,Brest,FRA,1,1482.10546875,1981-11-07,1981-11-10
None,Brest,FRA,1,1489.26184082,1981-11-11,1981-11-21
None,Brest,FRA,1,1475.13012695,1981-11-22,1981-11-28
None,Brest,FRA,1,1464.23400879,1981-11-29,1981-12-12
None,Brest,FRA,1,1471.48400879,1981-12-13,1981-12-19
None,Brest,FRA,1,1467.96508789,1981-12-20,1982-01-16
None,Brest,FRA,1,1474.45153809,1982-01-17,1982-01-23
None,Brest,FRA,1,1481.90063477,1982-01-24,1982-01-30
None,Brest,FRA,1,1489.04260254,1982-01-31,1982-02-06
None,Brest,FRA,1,1487.7175293,1982-02-07,1982-02-19
None,Brest,FRA,1,1472.9317627,1982-02-20,1982-02-27
None,Brest,FRA,1,1463.90148926,1982-02-28,1982-03-03
None,Brest,FRA,1,1453.8861084,1982-03-04,1982-03-13
None,Brest,FRA,1,1450.48071289,1982-03-14,1982-03-20
None,Brest,FRA,1,1447.88439941,1982-03-21,1982-03-27
None,Brest,FRA,1,1438.06958008,1982-03-28,1982-04-02
None,Brest,FRA,1,1431.70568848,1982-04-03,1982-04-09
None,Brest,FRA,1,1436.50158691,1982-04-10,1982-04-13
None,Brest,FRA,1,1432.99316406,1982-04-14,1982-04-23
None,Brest,FRA,1,1446.4954834,1982-04-24,1982-05-04
None,Brest,FRA,1,1460.82446289,1982-05-05,1982-05-07
None,Brest,FRA,1,1465.51953125,1982-05-08,1982-08-10
None,Brest,FRA,1,1472.29309082,1982-08-11,1982-08-17
None,Brest,FRA,1,1480.38793945,1982-08-18,1982-08-24
None,Brest,FRA,1,1485.06176758,1982-08-25,1982-08-27
None,Brest,FRA,1,1481.71154785,1982-08-28,1982-09-03
None,Brest,FRA,1,1482.66711426,1982-09-04,1982-09-10
None,Brest,FRA,1,1488.13952637,1982-09-11,1982-09-15
None,Brest,FRA,1,1482.87280273,1982-09-16,1982-09-21
None,Brest,FRA,1,1488.59204102,1982-09-22,1982-09-24
None,Brest,FRA,1,1490.56225586,1982-09-25,1982-09-28
None,Brest,FRA,1,1499.98413086,1982-09-29,1982-09-29
None,Brest,FRA,1,1508.00097656,1982-09-30,1982-10-02
None,Brest,FRA,1,1500.00537109,1982-10-03,1982-10-12
None,Brest,FRA,1,1504.12219238,1982-10-13,1982-10-15
None,Brest,FRA,1,1513.7557373,1982-10-16,1982-10-20
None,Brest,FRA,1,1511.2364502,1982-10-21,1982-10-26
None,Brest,FRA,1,1515.27539062,1982-10-27,1982-10-29
None,Brest,FRA,1,1520.48742676,1982-10-30,1982-11-03
None,Brest,FRA,1,1524.5078125,1982-11-04,1982-11-06
None,Brest,FRA,1,1519.6887207,1982-11-07,1982-11-16
None,Brest,FRA,1,1522.5690918,1982-11-17,1982-11-20
None,Brest,FRA,1,1509.67297363,1982-11-21,1982-11-24
None,Brest,FRA,1,1510.08361816,1982-11-25,1982-11-27
None,Brest,FRA,1,1515.19372559,1982-11-28,1982-12-04
None,Brest,FRA,1,1512.28222656,1982-12-05,1982-12-08
None,Brest,FRA,1,1503.6739502,1982-12-09,1982-12-11
None,Brest,FRA,1,1497.79187012,1982-12-12,1982-12-18
None,Brest,FRA,1,1508.18078613,1982-12-19,1983-01-15
