Rank,Club,Country,Level,Elo,From,To
None,Carpi,ITA,2,1356.3125,2013-07-01,2013-08-01
None,Carpi,ITA,2,1356.57592773,2013-08-02,2013-08-08
None,Carpi,ITA,2,1356.71154785,2013-08-09,2013-08-20
None,Carpi,ITA,2,1357.20629883,2013-08-21,2013-08-22
None,Carpi,ITA,2,1352.0168457,2013-08-23,2013-08-24
None,Carpi,ITA,2,1346.00109863,2013-08-25,2013-08-28
None,Carpi,ITA,2,1349.45629883,2013-08-29,2013-08-29
None,Carpi,ITA,2,1348.17358398,2013-08-30,2013-09-07
None,Carpi,ITA,2,1362.66137695,2013-09-08,2013-09-14
None,Carpi,ITA,2,1354.38085938,2013-09-15,2013-09-17
None,Carpi,ITA,2,1352.11083984,2013-09-18,2013-09-18
None,Carpi,ITA,2,1357.54162598,2013-09-19,2013-09-19
None,Carpi,ITA,2,1360.40710449,2013-09-20,2013-09-21
None,Carpi,ITA,2,1350.72485352,2013-09-22,2013-09-24
None,Carpi,ITA,2,1351.85070801,2013-09-25,2013-09-28
None,Carpi,ITA,2,1362.26086426,2013-09-29,2013-10-01
None,Carpi,ITA,2,1360.20849609,2013-10-02,2013-10-02
None,Carpi,ITA,2,1358.3449707,2013-10-03,2013-10-03
None,Carpi,ITA,2,1360.62133789,2013-10-04,2013-10-05
None,Carpi,ITA,2,1350.75146484,2013-10-06,2013-10-14
None,Carpi,ITA,2,1360.31677246,2013-10-15,2013-10-19
None,Carpi,ITA,2,1349.95068359,2013-10-20,2013-10-22
None,Carpi,ITA,2,1354.44775391,2013-10-23,2013-10-23
None,Carpi,ITA,2,1353.56213379,2013-10-24,2013-10-24
None,Carpi,ITA,2,1353.43518066,2013-10-25,2013-10-26
None,Carpi,ITA,2,1352.06970215,2013-10-27,2013-11-01
None,Carpi,ITA,2,1362.59216309,2013-11-02,2013-11-05
None,Carpi,ITA,2,1363.8347168,2013-11-06,2013-11-06
None,Carpi,ITA,2,1364.35009766,2013-11-07,2013-11-07
None,Carpi,ITA,2,1366.48657227,2013-11-08,2013-11-09
None,Carpi,ITA,2,1358.65563965,2013-11-10,2013-11-17
None,Carpi,ITA,2,1370.08215332,2013-11-18,2013-11-24
None,Carpi,ITA,2,1364.42712402,2013-11-25,2013-11-26
None,Carpi,ITA,2,1366.55944824,2013-11-27,2013-11-27
None,Carpi,ITA,2,1367.22229004,2013-11-28,2013-11-28
None,Carpi,ITA,2,1367.76806641,2013-11-29,2013-11-30
None,Carpi,ITA,2,1360.70422363,2013-12-01,2013-12-07
None,Carpi,ITA,2,1369.23815918,2013-12-08,2013-12-11
None,Carpi,ITA,2,1369.24157715,2013-12-12,2013-12-12
None,Carpi,ITA,2,1369.25134277,2013-12-13,2013-12-14
None,Carpi,ITA,2,1372.84655762,2013-12-15,2013-12-21
None,Carpi,ITA,2,1383.96166992,2013-12-22,2013-12-26
None,Carpi,ITA,2,1399.20043945,2013-12-27,2013-12-29
None,Carpi,ITA,2,1403.79882812,2013-12-30,2014-01-25
None,Carpi,ITA,2,1393.64245605,2014-01-26,2014-02-01
None,Carpi,ITA,2,1409.11303711,2014-02-02,2014-02-08
None,Carpi,ITA,2,1406.98974609,2014-02-09,2014-02-15
None,Carpi,ITA,2,1411.4967041,2014-02-16,2014-02-19
None,Carpi,ITA,2,1410.37255859,2014-02-20,2014-02-20
None,Carpi,ITA,2,1408.13269043,2014-02-21,2014-02-22
None,Carpi,ITA,2,1399.57653809,2014-02-23,2014-02-27
None,Carpi,ITA,2,1401.35961914,2014-02-28,2014-03-01
None,Carpi,ITA,2,1417.01086426,2014-03-02,2014-03-08
None,Carpi,ITA,2,1397.18884277,2014-03-09,2014-03-11
None,Carpi,ITA,2,1392.49084473,2014-03-12,2014-03-13
None,Carpi,ITA,2,1390.5559082,2014-03-14,2014-03-15
None,Carpi,ITA,2,1382.2578125,2014-03-16,2014-03-20
None,Carpi,ITA,2,1380.55529785,2014-03-21,2014-03-22
None,Carpi,ITA,2,1374.65722656,2014-03-23,2014-03-25
None,Carpi,ITA,2,1373.91308594,2014-03-26,2014-03-29
None,Carpi,ITA,2,1367.9498291,2014-03-30,2014-04-03
None,Carpi,ITA,2,1369.11291504,2014-04-04,2014-04-05
None,Carpi,ITA,2,1377.33447266,2014-04-06,2014-04-10
None,Carpi,ITA,2,1378.08081055,2014-04-11,2014-04-12
None,Carpi,ITA,2,1381.4375,2014-04-13,2014-04-17
None,Carpi,ITA,2,1382.07592773,2014-04-18,2014-04-24
None,Carpi,ITA,2,1380.50280762,2014-04-25,2014-04-26
None,Carpi,ITA,2,1385.53771973,2014-04-27,2014-05-01
None,Carpi,ITA,2,1383.01574707,2014-05-02,2014-05-03
None,Carpi,ITA,2,1393.23840332,2014-05-04,2014-05-10
None,Carpi,ITA,2,1405.5135498,2014-05-11,2014-05-13
None,Carpi,ITA,2,1397.67248535,2014-05-14,2014-05-17
None,Carpi,ITA,2,1411.60217285,2014-05-18,2014-05-25
None,Carpi,ITA,2,1409.77819824,2014-05-26,2014-05-30
None,Carpi,ITA,2,1417.68261719,2014-05-31,2014-07-31
None,Carpi,ITA,2,1418.09863281,2014-08-01,2014-08-07
