Rank,Club,Country,Level,Elo,From,To
None,Cesena,ITA,2,1471.06506348,1968-07-02,1968-09-18
None,Cesena,ITA,2,1468.41503906,1968-09-19,1968-09-29
None,Cesena,ITA,2,1467.11022949,1968-09-30,1968-10-02
None,Cesena,ITA,2,1470.27722168,1968-10-03,1968-10-06
None,Cesena,ITA,2,1459.92102051,1968-10-07,1968-10-13
None,Cesena,ITA,2,1464.15197754,1968-10-14,1968-10-20
None,Cesena,ITA,2,1465.50317383,1968-10-21,1968-11-03
None,Cesena,ITA,2,1469.7322998,1968-11-04,1968-11-10
None,Cesena,ITA,2,1460.46520996,1968-11-11,1968-11-17
None,Cesena,ITA,2,1472.53222656,1968-11-18,1968-11-24
None,Cesena,ITA,2,1472.0357666,1968-11-25,1968-12-01
None,Cesena,ITA,2,1467.50244141,1968-12-02,1968-12-08
None,Cesena,ITA,2,1461.40087891,1968-12-09,1968-12-15
None,Cesena,ITA,2,1444.72583008,1968-12-16,1968-12-22
None,Cesena,ITA,2,1451.50830078,1968-12-23,1968-12-29
None,Cesena,ITA,2,1448.99389648,1968-12-30,1969-01-05
None,Cesena,ITA,2,1445.70043945,1969-01-06,1969-01-12
None,Cesena,ITA,2,1452.97387695,1969-01-13,1969-01-19
None,Cesena,ITA,2,1450.35876465,1969-01-20,1969-01-26
None,Cesena,ITA,2,1464.13037109,1969-01-27,1969-02-02
None,Cesena,ITA,2,1460.05944824,1969-02-03,1969-02-09
None,Cesena,ITA,2,1459.22644043,1969-02-10,1969-02-16
None,Cesena,ITA,2,1455.66931152,1969-02-17,1969-02-19
None,Cesena,ITA,2,1441.89172363,1969-02-20,1969-02-23
None,Cesena,ITA,2,1446.47705078,1969-02-24,1969-03-02
None,Cesena,ITA,2,1452.61535645,1969-03-03,1969-03-05
None,Cesena,ITA,2,1448.51586914,1969-03-06,1969-03-09
None,Cesena,ITA,2,1446.64465332,1969-03-10,1969-03-12
None,Cesena,ITA,2,1458.88098145,1969-03-13,1969-03-16
None,Cesena,ITA,2,1465.06079102,1969-03-17,1969-03-23
None,Cesena,ITA,2,1478.63195801,1969-03-24,1969-03-30
None,Cesena,ITA,2,1486.00048828,1969-03-31,1969-04-13
None,Cesena,ITA,2,1482.8293457,1969-04-14,1969-04-20
None,Cesena,ITA,2,1488.88952637,1969-04-21,1969-04-23
None,Cesena,ITA,2,1492.70410156,1969-04-24,1969-04-27
