Rank,Club,Country,Level,Elo,From,To
None,Charlton,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Charlton,ENG,1,1553.94165039,1946-09-01,1946-09-04
None,Charlton,ENG,1,1568.0291748,1946-09-05,1946-09-07
None,Charlton,ENG,1,1553.92883301,1946-09-08,1946-09-11
None,Charlton,ENG,1,1566.42895508,1946-09-12,1946-09-14
None,Charlton,ENG,1,1555.59179688,1946-09-15,1946-09-21
None,Charlton,ENG,1,1545.38916016,1946-09-22,1946-09-25
None,Charlton,ENG,1,1556.22070312,1946-09-26,1946-09-28
None,Charlton,ENG,1,1558.44433594,1946-09-29,1946-09-29
None,Charlton,ENG,1,1575.44433594,1946-09-30,1946-10-03
None,Charlton,ENG,1,1581.44433594,1946-10-04,1946-10-05
None,Charlton,ENG,1,1588.47424316,1946-10-06,1946-10-12
None,Charlton,ENG,1,1591.77807617,1946-10-13,1946-10-19
None,Charlton,ENG,1,1580.51928711,1946-10-20,1946-10-26
None,Charlton,ENG,1,1588.81835938,1946-10-27,1946-11-02
None,Charlton,ENG,1,1573.6237793,1946-11-03,1946-11-09
None,Charlton,ENG,1,1557.54382324,1946-11-10,1946-11-16
None,Charlton,ENG,1,1590.33728027,1946-11-17,1946-11-23
None,Charlton,ENG,1,1576.23486328,1946-11-24,1946-11-30
None,Charlton,ENG,1,1570.03308105,1946-12-01,1946-12-07
None,Charlton,ENG,1,1556.00366211,1946-12-08,1946-12-14
None,Charlton,ENG,1,1550.56933594,1946-12-15,1946-12-21
None,Charlton,ENG,1,1541.70178223,1946-12-22,1946-12-25
None,Charlton,ENG,1,1534.82165527,1946-12-26,1946-12-26
None,Charlton,ENG,1,1533.39428711,1946-12-27,1946-12-28
None,Charlton,ENG,1,1541.68566895,1946-12-29,1947-01-04
None,Charlton,ENG,1,1535.63671875,1947-01-05,1947-01-18
None,Charlton,ENG,1,1536.45141602,1947-01-19,1947-02-01
None,Charlton,ENG,1,1527.41149902,1947-02-02,1947-02-19
None,Charlton,ENG,1,1538.93493652,1947-02-20,1947-02-22
None,Charlton,ENG,1,1538.77380371,1947-02-23,1947-03-08
None,Charlton,ENG,1,1521.25817871,1947-03-09,1947-03-15
None,Charlton,ENG,1,1518.14428711,1947-03-16,1947-03-22
None,Charlton,ENG,1,1527.03564453,1947-03-23,1947-04-04
None,Charlton,ENG,1,1526.60864258,1947-04-05,1947-04-05
None,Charlton,ENG,1,1526.27722168,1947-04-06,1947-04-07
None,Charlton,ENG,1,1538.92053223,1947-04-08,1947-04-12
None,Charlton,ENG,1,1534.8840332,1947-04-13,1947-04-13
None,Charlton,ENG,1,1524.8840332,1947-04-14,1947-04-19
None,Charlton,ENG,1,1523.96740723,1947-04-20,1947-05-03
None,Charlton,ENG,1,1528.37365723,1947-05-04,1947-05-04
None,Charlton,ENG,1,1532.37365723,1947-05-05,1947-05-10
None,Charlton,ENG,1,1522.4708252,1947-05-11,1947-05-17
None,Charlton,ENG,1,1527.36328125,1947-05-18,1947-05-20
None,Charlton,ENG,1,1514.36328125,1947-05-21,1947-05-24
None,Charlton,ENG,1,1519.26293945,1947-05-25,1947-05-26
None,Charlton,ENG,1,1531.4831543,1947-05-27,1947-05-31
None,Charlton,ENG,1,1549.65002441,1947-06-01,1947-08-23
None,Charlton,ENG,1,1564.3782959,1947-08-24,1947-08-27
None,Charlton,ENG,1,1551.78686523,1947-08-28,1947-08-30
None,Charlton,ENG,1,1546.75463867,1947-08-31,1947-09-03
None,Charlton,ENG,1,1538.73547363,1947-09-04,1947-09-06
None,Charlton,ENG,1,1530.53308105,1947-09-07,1947-09-13
None,Charlton,ENG,1,1544.04650879,1947-09-14,1947-09-17
None,Charlton,ENG,1,1556.70349121,1947-09-18,1947-09-20
None,Charlton,ENG,1,1553.75854492,1947-09-21,1947-09-27
None,Charlton,ENG,1,1552.81848145,1947-09-28,1947-10-04
None,Charlton,ENG,1,1557.44226074,1947-10-05,1947-10-11
None,Charlton,ENG,1,1575.17871094,1947-10-12,1947-10-18
None,Charlton,ENG,1,1586.35742188,1947-10-19,1947-10-19
None,Charlton,ENG,1,1614.35742188,1947-10-20,1947-10-25
None,Charlton,ENG,1,1621.19519043,1947-10-26,1947-11-01
None,Charlton,ENG,1,1630.61340332,1947-11-02,1947-11-08
None,Charlton,ENG,1,1602.10437012,1947-11-09,1947-11-15
None,Charlton,ENG,1,1589.44299316,1947-11-16,1947-11-22
None,Charlton,ENG,1,1576.15197754,1947-11-23,1947-11-29
None,Charlton,ENG,1,1570.69189453,1947-11-30,1947-12-06
None,Charlton,ENG,1,1558.38916016,1947-12-07,1947-12-13
None,Charlton,ENG,1,1570.19506836,1947-12-14,1947-12-20
None,Charlton,ENG,1,1574.20202637,1947-12-21,1947-12-25
None,Charlton,ENG,1,1581.23999023,1947-12-26,1947-12-27
None,Charlton,ENG,1,1593.03417969,1947-12-28,1948-01-01
None,Charlton,ENG,1,1605.1685791,1948-01-02,1948-01-03
None,Charlton,ENG,1,1598.17272949,1948-01-04,1948-01-17
None,Charlton,ENG,1,1594.109375,1948-01-18,1948-01-31
None,Charlton,ENG,1,1584.82885742,1948-02-01,1948-02-14
None,Charlton,ENG,1,1583.57897949,1948-02-15,1948-02-21
None,Charlton,ENG,1,1577.31152344,1948-02-22,1948-02-28
None,Charlton,ENG,1,1572.53527832,1948-02-29,1948-03-06
None,Charlton,ENG,1,1563.49267578,1948-03-07,1948-03-13
None,Charlton,ENG,1,1553.94348145,1948-03-14,1948-03-20
None,Charlton,ENG,1,1551.39147949,1948-03-21,1948-03-26
None,Charlton,ENG,1,1551.35168457,1948-03-27,1948-03-27
None,Charlton,ENG,1,1554.16564941,1948-03-28,1948-03-30
None,Charlton,ENG,1,1550.75219727,1948-03-31,1948-04-03
None,Charlton,ENG,1,1541.85534668,1948-04-04,1948-04-10
None,Charlton,ENG,1,1564.24157715,1948-04-11,1948-04-11
None,Charlton,ENG,1,1587.24157715,1948-04-12,1948-04-17
None,Charlton,ENG,1,1597.62902832,1948-04-18,1948-04-20
None,Charlton,ENG,1,1614.15112305,1948-04-21,1948-04-24
None,Charlton,ENG,1,1624.08935547,1948-04-25,1948-05-01
None,Charlton,ENG,1,1629.71069336,1948-05-02,1948-05-17
None,Charlton,ENG,1,1656.71069336,1948-05-18,1948-08-21
None,Charlton,ENG,1,1659.65100098,1948-08-22,1948-08-25
None,Charlton,ENG,1,1669.1282959,1948-08-26,1948-08-28
None,Charlton,ENG,1,1675.42468262,1948-08-29,1948-08-31
None,Charlton,ENG,1,1677.75756836,1948-09-01,1948-09-04
None,Charlton,ENG,1,1683.03320312,1948-09-05,1948-09-08
None,Charlton,ENG,1,1678.88818359,1948-09-09,1948-09-11
None,Charlton,ENG,1,1673.1529541,1948-09-12,1948-09-16
None,Charlton,ENG,1,1674.16491699,1948-09-17,1948-09-18
None,Charlton,ENG,1,1670.3137207,1948-09-19,1948-09-25
None,Charlton,ENG,1,1682.1060791,1948-09-26,1948-10-02
None,Charlton,ENG,1,1674.00366211,1948-10-03,1948-10-09
None,Charlton,ENG,1,1678.828125,1948-10-10,1948-10-10
