Rank,Club,Country,Level,Elo,From,To
None,Como,ITA,2,1529.72741699,1947-09-14,1947-09-14
None,Como,ITA,2,1532.75378418,1947-09-15,1947-09-21
None,Como,ITA,2,1525.84448242,1947-09-22,1947-09-28
None,Como,ITA,2,1530.72692871,1947-09-29,1947-10-05
None,Como,ITA,2,1539.01940918,1947-10-06,1947-10-12
None,Como,ITA,2,1530.65686035,1947-10-13,1947-10-19
None,Como,ITA,2,1535.94287109,1947-10-20,1947-10-26
None,Como,ITA,2,1539.33093262,1947-10-27,1947-11-02
None,Como,ITA,2,1545.61401367,1947-11-03,1947-11-15
None,Como,ITA,2,1516.61401367,1947-11-16,1947-11-16
None,Como,ITA,2,1519.95532227,1947-11-17,1947-11-23
None,Como,ITA,2,1514.7734375,1947-11-24,1947-11-30
None,Como,ITA,2,1517.99609375,1947-12-01,1947-12-07
None,Como,ITA,2,1527.60449219,1947-12-08,1947-12-18
None,Como,ITA,2,1531.60449219,1947-12-19,1947-12-21
None,Como,ITA,2,1534.04443359,1947-12-22,1947-12-28
None,Como,ITA,2,1530.13769531,1947-12-29,1948-01-04
None,Como,ITA,2,1531.17773438,1948-01-05,1948-01-11
None,Como,ITA,2,1537.47192383,1948-01-12,1948-01-18
None,Como,ITA,2,1541.10583496,1948-01-19,1948-02-15
None,Como,ITA,2,1544.91210938,1948-02-16,1948-02-22
None,Como,ITA,2,1540.71484375,1948-02-23,1948-02-29
None,Como,ITA,2,1533.53088379,1948-03-01,1948-03-07
None,Como,ITA,2,1528.09118652,1948-03-08,1948-03-14
None,Como,ITA,2,1532.2833252,1948-03-15,1948-03-21
None,Como,ITA,2,1536.70361328,1948-03-22,1948-03-28
None,Como,ITA,2,1540.50976562,1948-03-29,1948-04-05
None,Como,ITA,2,1546.50976562,1948-04-06,1948-04-11
None,Como,ITA,2,1538.20471191,1948-04-12,1948-04-17
None,Como,ITA,2,1544.34973145,1948-04-18,1948-04-25
None,Como,ITA,2,1561.53137207,1948-04-26,1948-05-02
None,Como,ITA,2,1556.91650391,1948-05-03,1948-05-09
None,Como,ITA,2,1552.58288574,1948-05-10,1948-05-17
None,Como,ITA,2,1525.58288574,1948-05-18,1948-05-23
None,Como,ITA,2,1528.78613281,1948-05-24,1948-05-30
None,Como,ITA,2,1522.43701172,1948-05-31,1948-06-06
None,Como,ITA,2,1526.06652832,1948-06-07,1948-06-13
None,Como,ITA,2,1531.32629395,1948-06-14,1948-06-20
None,Como,ITA,2,1538.23522949,1948-06-21,1948-09-19
None,Como,ITA,2,1541.14587402,1948-09-20,1948-09-26
None,Como,ITA,2,1551.16918945,1948-09-27,1948-10-03
None,Como,ITA,2,1544.91247559,1948-10-04,1948-10-10
None,Como,ITA,2,1548.7644043,1948-10-11,1948-10-17
None,Como,ITA,2,1535.00671387,1948-10-18,1948-10-24
None,Como,ITA,2,1548.77832031,1948-10-25,1948-10-31
None,Como,ITA,2,1543.46362305,1948-11-01,1948-11-04
None,Como,ITA,2,1562.66870117,1948-11-05,1948-11-07
None,Como,ITA,2,1570.59240723,1948-11-08,1948-11-14
None,Como,ITA,2,1572.83459473,1948-11-15,1948-11-21
None,Como,ITA,2,1573.54345703,1948-11-22,1948-11-28
None,Como,ITA,2,1579.13378906,1948-11-29,1948-12-05
None,Como,ITA,2,1583.42565918,1948-12-06,1948-12-12
None,Como,ITA,2,1590.34814453,1948-12-13,1948-12-19
None,Como,ITA,2,1600.13317871,1948-12-20,1948-12-26
None,Como,ITA,2,1604.66125488,1948-12-27,1948-12-30
None,Como,ITA,2,1606.1217041,1948-12-31,1949-01-02
None,Como,ITA,2,1602.1842041,1949-01-03,1949-01-06
None,Como,ITA,2,1606.0736084,1949-01-07,1949-01-09
None,Como,ITA,2,1609.62133789,1949-01-10,1949-01-16
None,Como,ITA,2,1622.36230469,1949-01-17,1949-01-23
None,Como,ITA,2,1622.3470459,1949-01-24,1949-01-30
None,Como,ITA,2,1624.59216309,1949-01-31,1949-02-06
None,Como,ITA,2,1627.53491211,1949-02-07,1949-02-13
None,Como,ITA,2,1627.08996582,1949-02-14,1949-02-20
None,Como,ITA,2,1627.74536133,1949-02-21,1949-03-05
