Rank,Club,Country,Level,Elo,From,To
None,Derby,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Derby,ENG,1,1545.96594238,1946-09-01,1946-09-04
None,Derby,ENG,1,1553.83093262,1946-09-05,1946-09-07
None,Derby,ENG,1,1542.89880371,1946-09-08,1946-09-11
None,Derby,ENG,1,1532.75,1946-09-12,1946-09-14
None,Derby,ENG,1,1527.55322266,1946-09-15,1946-09-21
None,Derby,ENG,1,1538.06176758,1946-09-22,1946-09-28
None,Derby,ENG,1,1529.04541016,1946-09-29,1946-09-29
None,Derby,ENG,1,1546.04541016,1946-09-30,1946-10-03
None,Derby,ENG,1,1552.04541016,1946-10-04,1946-10-05
None,Derby,ENG,1,1570.59472656,1946-10-06,1946-10-12
None,Derby,ENG,1,1575.69348145,1946-10-13,1946-10-19
None,Derby,ENG,1,1573.7244873,1946-10-20,1946-10-26
None,Derby,ENG,1,1568.17932129,1946-10-27,1946-11-02
None,Derby,ENG,1,1565.90270996,1946-11-03,1946-11-09
None,Derby,ENG,1,1557.86877441,1946-11-10,1946-11-16
None,Derby,ENG,1,1559.86694336,1946-11-17,1946-11-23
None,Derby,ENG,1,1549.37426758,1946-11-24,1946-11-30
None,Derby,ENG,1,1561.87719727,1946-12-01,1946-12-07
None,Derby,ENG,1,1575.90661621,1946-12-08,1946-12-14
None,Derby,ENG,1,1585.11694336,1946-12-15,1946-12-21
None,Derby,ENG,1,1594.15844727,1946-12-22,1946-12-25
None,Derby,ENG,1,1582.49035645,1946-12-26,1946-12-26
None,Derby,ENG,1,1592.12207031,1946-12-27,1946-12-28
None,Derby,ENG,1,1602.23278809,1946-12-29,1947-01-04
None,Derby,ENG,1,1594.92224121,1947-01-05,1947-01-18
None,Derby,ENG,1,1606.21740723,1947-01-19,1947-02-01
None,Derby,ENG,1,1600.52270508,1947-02-02,1947-02-15
None,Derby,ENG,1,1601.46704102,1947-02-16,1947-02-22
None,Derby,ENG,1,1597.11621094,1947-02-23,1947-03-01
None,Derby,ENG,1,1600.94238281,1947-03-02,1947-03-15
None,Derby,ENG,1,1607.53479004,1947-03-16,1947-03-22
None,Derby,ENG,1,1611.41955566,1947-03-23,1947-03-29
None,Derby,ENG,1,1595.20275879,1947-03-30,1947-04-05
None,Derby,ENG,1,1585.2121582,1947-04-06,1947-04-07
None,Derby,ENG,1,1593.14562988,1947-04-08,1947-04-08
None,Derby,ENG,1,1585.81665039,1947-04-09,1947-04-12
None,Derby,ENG,1,1589.85314941,1947-04-13,1947-04-13
None,Derby,ENG,1,1579.85314941,1947-04-14,1947-04-19
None,Derby,ENG,1,1570.80957031,1947-04-20,1947-04-26
None,Derby,ENG,1,1573.90270996,1947-04-27,1947-05-03
None,Derby,ENG,1,1578.22998047,1947-05-04,1947-05-04
None,Derby,ENG,1,1582.22998047,1947-05-05,1947-05-10
None,Derby,ENG,1,1572.74291992,1947-05-11,1947-05-17
None,Derby,ENG,1,1564.4753418,1947-05-18,1947-05-20
None,Derby,ENG,1,1551.4753418,1947-05-21,1947-05-26
None,Derby,ENG,1,1572.22436523,1947-05-27,1947-05-31
None,Derby,ENG,1,1583.61621094,1947-06-01,1947-08-23
None,Derby,ENG,1,1580.0144043,1947-08-24,1947-08-26
None,Derby,ENG,1,1593.22851562,1947-08-27,1947-08-30
None,Derby,ENG,1,1587.13891602,1947-08-31,1947-09-03
None,Derby,ENG,1,1583.00805664,1947-09-04,1947-09-06
None,Derby,ENG,1,1589.29492188,1947-09-07,1947-09-10
None,Derby,ENG,1,1584.95556641,1947-09-11,1947-09-13
None,Derby,ENG,1,1581.7923584,1947-09-14,1947-09-17
None,Derby,ENG,1,1574.89672852,1947-09-18,1947-09-20
None,Derby,ENG,1,1561.03015137,1947-09-21,1947-09-27
None,Derby,ENG,1,1568.34094238,1947-09-28,1947-10-04
None,Derby,ENG,1,1575.09814453,1947-10-05,1947-10-11
None,Derby,ENG,1,1579.70422363,1947-10-12,1947-10-18
None,Derby,ENG,1,1583.35351562,1947-10-19,1947-10-19
None,Derby,ENG,1,1611.35351562,1947-10-20,1947-10-25
None,Derby,ENG,1,1616.35205078,1947-10-26,1947-11-01
None,Derby,ENG,1,1623.5546875,1947-11-02,1947-11-08
None,Derby,ENG,1,1617.39685059,1947-11-09,1947-11-15
None,Derby,ENG,1,1616.46484375,1947-11-16,1947-11-22
None,Derby,ENG,1,1641.7557373,1947-11-23,1947-11-29
None,Derby,ENG,1,1648.79736328,1947-11-30,1947-12-06
None,Derby,ENG,1,1639.50134277,1947-12-07,1947-12-13
None,Derby,ENG,1,1636.1595459,1947-12-14,1947-12-20
None,Derby,ENG,1,1629.42602539,1947-12-21,1947-12-25
None,Derby,ENG,1,1637.79675293,1947-12-26,1947-12-27
None,Derby,ENG,1,1645.0859375,1947-12-28,1948-01-03
None,Derby,ENG,1,1652.17016602,1948-01-04,1948-01-17
None,Derby,ENG,1,1664.82861328,1948-01-18,1948-02-14
None,Derby,ENG,1,1671.70837402,1948-02-15,1948-02-21
None,Derby,ENG,1,1677.05126953,1948-02-22,1948-03-20
None,Derby,ENG,1,1678.21398926,1948-03-21,1948-03-26
None,Derby,ENG,1,1679.82617188,1948-03-27,1948-03-27
None,Derby,ENG,1,1676.20324707,1948-03-28,1948-03-29
None,Derby,ENG,1,1680.94848633,1948-03-30,1948-03-31
None,Derby,ENG,1,1658.35791016,1948-04-01,1948-04-03
None,Derby,ENG,1,1654.76843262,1948-04-04,1948-04-07
None,Derby,ENG,1,1657.09423828,1948-04-08,1948-04-10
None,Derby,ENG,1,1634.70800781,1948-04-11,1948-04-11
None,Derby,ENG,1,1657.70800781,1948-04-12,1948-04-14
None,Derby,ENG,1,1648.51403809,1948-04-15,1948-04-17
None,Derby,ENG,1,1660.76599121,1948-04-18,1948-04-21
None,Derby,ENG,1,1676.77709961,1948-04-22,1948-04-24
None,Derby,ENG,1,1682.05847168,1948-04-25,1948-04-28
None,Derby,ENG,1,1687.64208984,1948-04-29,1948-05-01
None,Derby,ENG,1,1680.85058594,1948-05-02,1948-05-17
None,Derby,ENG,1,1707.85058594,1948-05-18,1948-08-21
None,Derby,ENG,1,1719.20092773,1948-08-22,1948-08-25
None,Derby,ENG,1,1725.44421387,1948-08-26,1948-08-28
None,Derby,ENG,1,1729.81445312,1948-08-29,1948-09-01
None,Derby,ENG,1,1728.7364502,1948-09-02,1948-09-04
None,Derby,ENG,1,1729.66015625,1948-09-05,1948-09-06
None,Derby,ENG,1,1731.08422852,1948-09-07,1948-09-11
None,Derby,ENG,1,1727.14916992,1948-09-12,1948-09-15
None,Derby,ENG,1,1733.61425781,1948-09-16,1948-09-18
None,Derby,ENG,1,1735.90087891,1948-09-19,1948-09-25
None,Derby,ENG,1,1739.78149414,1948-09-26,1948-10-02
None,Derby,ENG,1,1736.14770508,1948-10-03,1948-10-09
