Rank,Club,Country,Level,Elo,From,To
None,Holstein,FRG,1,1357.1763916,1951-07-01,1951-08-19
None,Holstein,FRG,1,1342.68737793,1951-08-20,1951-08-26
None,Holstein,FRG,1,1349.99279785,1951-08-27,1951-09-02
None,Holstein,FRG,1,1355.94909668,1951-09-03,1951-09-09
None,Holstein,FRG,1,1353.65942383,1951-09-10,1951-09-23
None,Holstein,FRG,1,1367.5098877,1951-09-24,1951-09-24
None,Holstein,FRG,1,1386.5098877,1951-09-25,1951-09-30
None,Holstein,FRG,1,1395.97705078,1951-10-01,1951-10-07
None,Holstein,FRG,1,1405.8157959,1951-10-08,1951-10-18
None,Holstein,FRG,1,1390.8157959,1951-10-19,1951-10-21
None,Holstein,FRG,1,1400.63537598,1951-10-22,1951-10-28
None,Holstein,FRG,1,1410.23925781,1951-10-29,1951-11-04
None,Holstein,FRG,1,1425.2713623,1951-11-05,1951-11-11
None,Holstein,FRG,1,1410.43261719,1951-11-12,1951-11-18
None,Holstein,FRG,1,1414.67175293,1951-11-19,1951-11-23
None,Holstein,FRG,1,1423.67175293,1951-11-24,1951-11-25
None,Holstein,FRG,1,1434.00061035,1951-11-26,1951-12-02
None,Holstein,FRG,1,1445.01098633,1951-12-03,1951-12-16
None,Holstein,FRG,1,1432.64587402,1951-12-17,1951-12-23
None,Holstein,FRG,1,1436.62988281,1951-12-24,1951-12-25
None,Holstein,FRG,1,1437.62988281,1951-12-26,1951-12-30
None,Holstein,FRG,1,1431.45410156,1951-12-31,1952-01-06
None,Holstein,FRG,1,1426.16577148,1952-01-07,1952-01-13
None,Holstein,FRG,1,1433.70532227,1952-01-14,1952-01-20
None,Holstein,FRG,1,1424.34899902,1952-01-21,1952-01-27
None,Holstein,FRG,1,1413.43579102,1952-01-28,1952-02-03
None,Holstein,FRG,1,1418.92260742,1952-02-04,1952-02-17
None,Holstein,FRG,1,1407.19567871,1952-02-18,1952-02-24
None,Holstein,FRG,1,1417.79528809,1952-02-25,1952-03-02
None,Holstein,FRG,1,1420.57958984,1952-03-03,1952-03-09
None,Holstein,FRG,1,1426.64233398,1952-03-10,1952-03-16
None,Holstein,FRG,1,1422.71130371,1952-03-17,1952-03-23
None,Holstein,FRG,1,1421.52807617,1952-03-24,1952-03-30
None,Holstein,FRG,1,1418.09423828,1952-03-31,1952-04-06
None,Holstein,FRG,1,1392.34448242,1952-04-07,1952-04-21
None,Holstein,FRG,1,1394.34448242,1952-04-22,1952-05-07
None,Holstein,FRG,1,1398.34448242,1952-05-08,1952-08-24
None,Holstein,FRG,1,1383.31628418,1952-08-25,1952-08-31
None,Holstein,FRG,1,1392.52355957,1952-09-01,1952-09-07
None,Holstein,FRG,1,1394.07873535,1952-09-08,1952-09-14
None,Holstein,FRG,1,1388.1229248,1952-09-15,1952-09-21
None,Holstein,FRG,1,1392.07788086,1952-09-22,1952-09-28
None,Holstein,FRG,1,1395.12988281,1952-09-29,1952-10-06
None,Holstein,FRG,1,1376.12988281,1952-10-07,1952-10-12
None,Holstein,FRG,1,1382.55480957,1952-10-13,1952-10-19
None,Holstein,FRG,1,1378.48913574,1952-10-20,1952-10-26
None,Holstein,FRG,1,1388.19616699,1952-10-27,1952-11-02
None,Holstein,FRG,1,1407.53259277,1952-11-03,1952-11-09
None,Holstein,FRG,1,1408.92468262,1952-11-10,1952-11-10
None,Holstein,FRG,1,1414.92468262,1952-11-11,1952-11-16
None,Holstein,FRG,1,1416.99584961,1952-11-17,1952-11-30
None,Holstein,FRG,1,1419.5065918,1952-12-01,1952-12-07
None,Holstein,FRG,1,1415.61950684,1952-12-08,1952-12-14
None,Holstein,FRG,1,1447.28442383,1952-12-15,1952-12-25
None,Holstein,FRG,1,1455.28442383,1952-12-26,1952-12-29
None,Holstein,FRG,1,1459.39916992,1952-12-30,1953-01-04
None,Holstein,FRG,1,1476.41760254,1953-01-05,1953-01-11
None,Holstein,FRG,1,1473.98937988,1953-01-12,1953-01-18
None,Holstein,FRG,1,1467.46276855,1953-01-19,1953-01-25
None,Holstein,FRG,1,1467.77624512,1953-01-26,1953-02-08
None,Holstein,FRG,1,1461.01904297,1953-02-09,1953-02-22
None,Holstein,FRG,1,1456.60913086,1953-02-23,1953-02-25
None,Holstein,FRG,1,1451.62866211,1953-02-26,1953-03-01
None,Holstein,FRG,1,1445.81433105,1953-03-02,1953-03-15
None,Holstein,FRG,1,1453.84277344,1953-03-16,1953-03-22
None,Holstein,FRG,1,1436.8112793,1953-03-23,1953-03-23
None,Holstein,FRG,1,1432.8112793,1953-03-24,1953-03-29
None,Holstein,FRG,1,1437.84448242,1953-03-30,1953-04-12
None,Holstein,FRG,1,1435.1739502,1953-04-13,1953-04-19
None,Holstein,FRG,1,1446.33862305,1953-04-20,1953-04-26
None,Holstein,FRG,1,1455.80273438,1953-04-27,1953-05-03
None,Holstein,FRG,1,1454.1932373,1953-05-04,1953-05-10
None,Holstein,FRG,1,1442.68579102,1953-05-11,1953-05-17
None,Holstein,FRG,1,1438.77246094,1953-05-18,1953-05-24
None,Holstein,FRG,1,1436.05883789,1953-05-25,1953-05-31
None,Holstein,FRG,1,1428.24279785,1953-06-01,1953-06-07
None,Holstein,FRG,1,1420.90307617,1953-06-08,1953-08-09
None,Holstein,FRG,1,1421.54455566,1953-08-10,1953-08-20
None,Holstein,FRG,1,1410.54455566,1953-08-21,1953-08-23
None,Holstein,FRG,1,1383.51196289,1953-08-24,1953-08-30
None,Holstein,FRG,1,1391.57177734,1953-08-31,1953-09-06
None,Holstein,FRG,1,1384.47692871,1953-09-07,1953-09-13
None,Holstein,FRG,1,1389.08300781,1953-09-14,1953-09-20
None,Holstein,FRG,1,1393.04882812,1953-09-21,1953-09-27
None,Holstein,FRG,1,1402.42480469,1953-09-28,1953-10-04
None,Holstein,FRG,1,1403.28955078,1953-10-05,1953-10-14
None,Holstein,FRG,1,1413.28955078,1953-10-15,1953-10-18
None,Holstein,FRG,1,1419.87536621,1953-10-19,1953-10-25
None,Holstein,FRG,1,1400.63305664,1953-10-26,1953-11-01
None,Holstein,FRG,1,1396.07617188,1953-11-02,1953-11-08
None,Holstein,FRG,1,1383.86669922,1953-11-09,1953-11-15
None,Holstein,FRG,1,1373.32971191,1953-11-16,1953-11-25
None,Holstein,FRG,1,1388.98083496,1953-11-26,1953-12-06
None,Holstein,FRG,1,1400.11572266,1953-12-07,1953-12-13
None,Holstein,FRG,1,1394.3684082,1953-12-14,1953-12-27
None,Holstein,FRG,1,1380.79492188,1953-12-28,1954-01-03
None,Holstein,FRG,1,1385.671875,1954-01-04,1954-01-17
None,Holstein,FRG,1,1376.46887207,1954-01-18,1954-01-24
None,Holstein,FRG,1,1371.52600098,1954-01-25,1954-01-31
None,Holstein,FRG,1,1377.81872559,1954-02-01,1954-02-07
None,Holstein,FRG,1,1382.94763184,1954-02-08,1954-02-14
None,Holstein,FRG,1,1376.18762207,1954-02-15,1954-02-20
None,Holstein,FRG,1,1382.41210938,1954-02-21,1954-03-14
None,Holstein,FRG,1,1377.26721191,1954-03-15,1954-03-21
None,Holstein,FRG,1,1380.46411133,1954-03-22,1954-03-28
None,Holstein,FRG,1,1372.91333008,1954-03-29,1954-03-29
None,Holstein,FRG,1,1389.91333008,1954-03-30,1954-04-01
None,Holstein,FRG,1,1382.99084473,1954-04-02,1954-04-04
None,Holstein,FRG,1,1363.8762207,1954-04-05,1954-04-11
None,Holstein,FRG,1,1380.33227539,1954-04-12,1954-04-26
None,Holstein,FRG,1,1388.33227539,1954-04-27,1954-06-19
