Rank,Club,Country,Level,Elo,From,To
None,Istres,FRA,2,1385.95568848,1993-07-01,1993-07-01
None,Istres,FRA,2,1382.91760254,1993-07-02,1993-07-24
None,Istres,FRA,2,1367.39941406,1993-07-25,1993-07-31
None,Istres,FRA,2,1362.48657227,1993-08-01,1993-08-04
None,Istres,FRA,2,1360.01269531,1993-08-05,1993-08-07
None,Istres,FRA,2,1363.63708496,1993-08-08,1993-08-11
None,Istres,FRA,2,1361.61303711,1993-08-12,1993-08-14
None,Istres,FRA,2,1358.88146973,1993-08-15,1993-08-25
None,Istres,FRA,2,1356.00097656,1993-08-26,1993-08-28
None,Istres,FRA,2,1351.56408691,1993-08-29,1993-09-01
None,Istres,FRA,2,1349.81848145,1993-09-02,1993-09-11
None,Istres,FRA,2,1344.85424805,1993-09-12,1993-09-14
None,Istres,FRA,2,1344.97131348,1993-09-15,1993-09-15
None,Istres,FRA,2,1348.61242676,1993-09-16,1993-09-16
None,Istres,FRA,2,1346.0760498,1993-09-17,1993-09-17
None,Istres,FRA,2,1351.64538574,1993-09-18,1993-09-22
None,Istres,FRA,2,1344.76696777,1993-09-23,1993-09-25
None,Istres,FRA,2,1350.66174316,1993-09-26,1993-09-28
None,Istres,FRA,2,1350.81359863,1993-09-29,1993-09-29
None,Istres,FRA,2,1343.6809082,1993-09-30,1993-09-30
None,Istres,FRA,2,1340.44213867,1993-10-01,1993-10-02
None,Istres,FRA,2,1336.49194336,1993-10-03,1993-10-06
None,Istres,FRA,2,1325.75610352,1993-10-07,1993-10-15
None,Istres,FRA,2,1316.26855469,1993-10-16,1993-10-19
None,Istres,FRA,2,1315.42468262,1993-10-20,1993-10-20
None,Istres,FRA,2,1321.18005371,1993-10-21,1993-10-22
None,Istres,FRA,2,1332.54406738,1993-10-23,1993-10-27
None,Istres,FRA,2,1321.2689209,1993-10-28,1993-10-30
None,Istres,FRA,2,1314.11706543,1993-10-31,1993-11-03
None,Istres,FRA,2,1316.8951416,1993-11-04,1993-11-06
None,Istres,FRA,2,1333.85168457,1993-11-07,1993-11-11
None,Istres,FRA,2,1330.22045898,1993-11-12,1993-11-19
None,Istres,FRA,2,1327.47216797,1993-11-20,1993-11-23
None,Istres,FRA,2,1328.8651123,1993-11-24,1993-11-24
None,Istres,FRA,2,1331.82958984,1993-11-25,1993-11-27
None,Istres,FRA,2,1323.70166016,1993-11-28,1993-12-04
None,Istres,FRA,2,1333.33081055,1993-12-05,1993-12-07
None,Istres,FRA,2,1324.36108398,1993-12-08,1993-12-08
None,Istres,FRA,2,1322.24450684,1993-12-09,1993-12-11
None,Istres,FRA,2,1318.88464355,1993-12-12,1994-01-15
None,Istres,FRA,2,1304.15551758,1994-01-16,1994-01-29
None,Istres,FRA,2,1300.82446289,1994-01-30,1994-02-05
None,Istres,FRA,2,1310.48693848,1994-02-06,1994-02-19
None,Istres,FRA,2,1315.61816406,1994-02-20,1994-02-26
None,Istres,FRA,2,1314.58996582,1994-02-27,1994-03-02
None,Istres,FRA,2,1317.24853516,1994-03-03,1994-03-03
None,Istres,FRA,2,1322.29003906,1994-03-04,1994-03-05
None,Istres,FRA,2,1327.08666992,1994-03-06,1994-03-12
None,Istres,FRA,2,1325.47229004,1994-03-13,1994-03-15
None,Istres,FRA,2,1324.94885254,1994-03-16,1994-03-16
