Rank,Club,Country,Level,Elo,From,To
None,Le Mans,FRA,2,1385.95568848,1993-07-01,1993-07-01
None,Le Mans,FRA,2,1378.5489502,1993-07-02,1993-07-24
None,Le Mans,FRA,2,1367.49035645,1993-07-25,1993-07-31
None,Le Mans,FRA,2,1359.80249023,1993-08-01,1993-08-04
None,Le Mans,FRA,2,1365.68041992,1993-08-05,1993-08-07
None,Le Mans,FRA,2,1376.43615723,1993-08-08,1993-08-11
None,Le Mans,FRA,2,1362.3729248,1993-08-12,1993-08-14
None,Le Mans,FRA,2,1356.36901855,1993-08-15,1993-08-25
None,Le Mans,FRA,2,1364.85656738,1993-08-26,1993-08-28
None,Le Mans,FRA,2,1359.89440918,1993-08-29,1993-09-01
None,Le Mans,FRA,2,1349.92163086,1993-09-02,1993-09-11
None,Le Mans,FRA,2,1345.88293457,1993-09-12,1993-09-14
None,Le Mans,FRA,2,1345.99987793,1993-09-15,1993-09-15
None,Le Mans,FRA,2,1349.64099121,1993-09-16,1993-09-16
None,Le Mans,FRA,2,1347.10461426,1993-09-17,1993-09-18
None,Le Mans,FRA,2,1345.13232422,1993-09-19,1993-09-22
None,Le Mans,FRA,2,1340.08850098,1993-09-23,1993-09-25
None,Le Mans,FRA,2,1347.06335449,1993-09-26,1993-09-28
None,Le Mans,FRA,2,1347.21520996,1993-09-29,1993-09-29
None,Le Mans,FRA,2,1340.0826416,1993-09-30,1993-09-30
None,Le Mans,FRA,2,1336.84375,1993-10-01,1993-10-02
None,Le Mans,FRA,2,1356.57275391,1993-10-03,1993-10-06
None,Le Mans,FRA,2,1347.03125,1993-10-07,1993-10-16
None,Le Mans,FRA,2,1341.81970215,1993-10-17,1993-10-19
None,Le Mans,FRA,2,1340.97583008,1993-10-20,1993-10-20
None,Le Mans,FRA,2,1346.73120117,1993-10-21,1993-10-22
None,Le Mans,FRA,2,1335.3671875,1993-10-23,1993-10-27
None,Le Mans,FRA,2,1334.07141113,1993-10-28,1993-10-30
None,Le Mans,FRA,2,1329.65454102,1993-10-31,1993-11-03
None,Le Mans,FRA,2,1332.43249512,1993-11-04,1993-11-06
None,Le Mans,FRA,2,1339.17443848,1993-11-07,1993-11-11
None,Le Mans,FRA,2,1335.25964355,1993-11-12,1993-11-20
None,Le Mans,FRA,2,1334.38098145,1993-11-21,1993-11-23
None,Le Mans,FRA,2,1335.77392578,1993-11-24,1993-11-24
None,Le Mans,FRA,2,1338.73840332,1993-11-25,1993-11-27
None,Le Mans,FRA,2,1333.48449707,1993-11-28,1993-12-04
None,Le Mans,FRA,2,1340.16064453,1993-12-05,1993-12-07
None,Le Mans,FRA,2,1331.19091797,1993-12-08,1993-12-08
None,Le Mans,FRA,2,1329.07434082,1993-12-09,1993-12-11
None,Le Mans,FRA,2,1324.84277344,1993-12-12,1994-01-15
None,Le Mans,FRA,2,1324.52856445,1994-01-16,1994-01-29
None,Le Mans,FRA,2,1329.59619141,1994-01-30,1994-02-05
None,Le Mans,FRA,2,1339.875,1994-02-06,1994-02-19
None,Le Mans,FRA,2,1343.34082031,1994-02-20,1994-02-26
None,Le Mans,FRA,2,1349.63232422,1994-02-27,1994-03-02
None,Le Mans,FRA,2,1352.29089355,1994-03-03,1994-03-03
None,Le Mans,FRA,2,1357.33239746,1994-03-04,1994-03-05
None,Le Mans,FRA,2,1369.48608398,1994-03-06,1994-03-12
None,Le Mans,FRA,2,1366.42138672,1994-03-13,1994-03-15
None,Le Mans,FRA,2,1365.89794922,1994-03-16,1994-03-16
None,Le Mans,FRA,2,1372.96154785,1994-03-17,1994-03-26
None,Le Mans,FRA,2,1368.35876465,1994-03-27,1994-03-29
None,Le Mans,FRA,2,1365.21911621,1994-03-30,1994-03-30
None,Le Mans,FRA,2,1366.88684082,1994-03-31,1994-04-02
None,Le Mans,FRA,2,1373.26037598,1994-04-03,1994-04-06
None,Le Mans,FRA,2,1380.40783691,1994-04-07,1994-04-08
None,Le Mans,FRA,2,1385.2355957,1994-04-09,1994-04-12
None,Le Mans,FRA,2,1382.27685547,1994-04-13,1994-04-13
None,Le Mans,FRA,2,1377.38256836,1994-04-14,1994-04-16
None,Le Mans,FRA,2,1373.79541016,1994-04-17,1994-04-23
None,Le Mans,FRA,2,1383.64770508,1994-04-24,1994-04-27
None,Le Mans,FRA,2,1382.51208496,1994-04-28,1994-04-30
None,Le Mans,FRA,2,1386.07250977,1994-05-01,1994-05-21
None,Le Mans,FRA,2,1383.15197754,1994-05-22,1994-05-25
None,Le Mans,FRA,2,1396.19372559,1994-05-26,1994-07-30
None,Le Mans,FRA,2,1413.92504883,1994-07-31,1994-08-03
None,Le Mans,FRA,2,1409.57580566,1994-08-04,1994-08-06
None,Le Mans,FRA,2,1404.84924316,1994-08-07,1994-08-10
None,Le Mans,FRA,2,1405.91870117,1994-08-11,1994-08-13
None,Le Mans,FRA,2,1421.61865234,1994-08-14,1994-08-20
None,Le Mans,FRA,2,1412.77197266,1994-08-21,1994-08-24
None,Le Mans,FRA,2,1413.15136719,1994-08-25,1994-08-27
None,Le Mans,FRA,2,1405.55090332,1994-08-28,1994-08-31
None,Le Mans,FRA,2,1398.66296387,1994-09-01,1994-09-03
None,Le Mans,FRA,2,1396.6418457,1994-09-04,1994-09-09
None,Le Mans,FRA,2,1393.54467773,1994-09-10,1994-09-13
None,Le Mans,FRA,2,1401.18408203,1994-09-14,1994-09-14
None,Le Mans,FRA,2,1404.00646973,1994-09-15,1994-09-15
None,Le Mans,FRA,2,1399.77416992,1994-09-16,1994-09-17
None,Le Mans,FRA,2,1397.36340332,1994-09-18,1994-09-20
None,Le Mans,FRA,2,1401.33044434,1994-09-21,1994-09-24
None,Le Mans,FRA,2,1416.53979492,1994-09-25,1994-09-27
None,Le Mans,FRA,2,1424.9934082,1994-09-28,1994-09-28
None,Le Mans,FRA,2,1429.69482422,1994-09-29,1994-09-29
None,Le Mans,FRA,2,1437.02612305,1994-09-30,1994-10-01
None,Le Mans,FRA,2,1438.56933594,1994-10-02,1994-10-11
None,Le Mans,FRA,2,1437.04467773,1994-10-12,1994-10-15
None,Le Mans,FRA,2,1439.9128418,1994-10-16,1994-10-18
None,Le Mans,FRA,2,1434.88330078,1994-10-19,1994-10-19
None,Le Mans,FRA,2,1438.00158691,1994-10-20,1994-10-20
None,Le Mans,FRA,2,1439.1385498,1994-10-21,1994-10-21
None,Le Mans,FRA,2,1448.18310547,1994-10-22,1994-10-29
None,Le Mans,FRA,2,1450.48657227,1994-10-30,1994-11-01
None,Le Mans,FRA,2,1427.23620605,1994-11-02,1994-11-02
None,Le Mans,FRA,2,1427.82458496,1994-11-03,1994-11-03
None,Le Mans,FRA,2,1428.9798584,1994-11-04,1994-11-05
None,Le Mans,FRA,2,1432.01782227,1994-11-06,1994-11-10
None,Le Mans,FRA,2,1439.08374023,1994-11-11,1994-11-12
None,Le Mans,FRA,2,1426.03405762,1994-11-13,1994-11-19
None,Le Mans,FRA,2,1419.03491211,1994-11-20,1994-11-23
None,Le Mans,FRA,2,1423.94067383,1994-11-24,1994-11-24
None,Le Mans,FRA,2,1426.36535645,1994-11-25,1994-11-26
None,Le Mans,FRA,2,1432.23657227,1994-11-27,1994-12-03
None,Le Mans,FRA,2,1434.10437012,1994-12-04,1994-12-07
None,Le Mans,FRA,2,1435.82922363,1994-12-08,1994-12-08
None,Le Mans,FRA,2,1435.5769043,1994-12-09,1995-01-07
None,Le Mans,FRA,2,1439.14831543,1995-01-08,1995-01-20
None,Le Mans,FRA,2,1424.04663086,1995-01-21,1995-02-01
None,Le Mans,FRA,2,1419.85437012,1995-02-02,1995-02-08
None,Le Mans,FRA,2,1419.31359863,1995-02-09,1995-02-11
None,Le Mans,FRA,2,1421.93652344,1995-02-12,1995-02-25
None,Le Mans,FRA,2,1422.27172852,1995-02-26,1995-03-01
None,Le Mans,FRA,2,1424.68066406,1995-03-02,1995-03-02
None,Le Mans,FRA,2,1418.22961426,1995-03-03,1995-03-04
None,Le Mans,FRA,2,1412.56140137,1995-03-05,1995-03-10
None,Le Mans,FRA,2,1417.73266602,1995-03-11,1995-03-15
None,Le Mans,FRA,2,1419.51220703,1995-03-16,1995-03-16
None,Le Mans,FRA,2,1408.29223633,1995-03-17,1995-03-21
None,Le Mans,FRA,2,1403.69055176,1995-03-22,1995-03-24
None,Le Mans,FRA,2,1411.36340332,1995-03-25,1995-04-01
None,Le Mans,FRA,2,1407.33325195,1995-04-02,1995-04-05
None,Le Mans,FRA,2,1403.94433594,1995-04-06,1995-04-08
None,Le Mans,FRA,2,1400.05895996,1995-04-09,1995-04-15
None,Le Mans,FRA,2,1402.93920898,1995-04-16,1995-04-19
None,Le Mans,FRA,2,1401.20153809,1995-04-20,1995-04-22
None,Le Mans,FRA,2,1407.58178711,1995-04-23,1995-04-29
None,Le Mans,FRA,2,1412.09082031,1995-04-30,1995-05-06
None,Le Mans,FRA,2,1424.98461914,1995-05-07,1995-05-20
None,Le Mans,FRA,2,1414.48095703,1995-05-21,1995-05-27
None,Le Mans,FRA,2,1417.85498047,1995-05-28,1995-05-31
None,Le Mans,FRA,2,1411.3815918,1995-06-01,1995-07-01
None,Le Mans,FRA,2,1407.64355469,1995-07-02,1995-07-19
None,Le Mans,FRA,2,1405.60192871,1995-07-20,1995-07-26
None,Le Mans,FRA,2,1404.37976074,1995-07-27,1995-07-29
None,Le Mans,FRA,2,1414.64172363,1995-07-30,1995-08-09
None,Le Mans,FRA,2,1417.53051758,1995-08-10,1995-08-12
None,Le Mans,FRA,2,1423.62280273,1995-08-13,1995-08-19
None,Le Mans,FRA,2,1420.03527832,1995-08-20,1995-08-26
None,Le Mans,FRA,2,1422.27355957,1995-08-27,1995-09-02
None,Le Mans,FRA,2,1427.35473633,1995-09-03,1995-09-09
None,Le Mans,FRA,2,1441.26171875,1995-09-10,1995-09-12
None,Le Mans,FRA,2,1436.03051758,1995-09-13,1995-09-13
None,Le Mans,FRA,2,1439.84387207,1995-09-14,1995-09-14
None,Le Mans,FRA,2,1443.57055664,1995-09-15,1995-09-16
None,Le Mans,FRA,2,1439.9083252,1995-09-17,1995-09-23
None,Le Mans,FRA,2,1451.05493164,1995-09-24,1995-09-26
None,Le Mans,FRA,2,1454.13378906,1995-09-27,1995-09-27
None,Le Mans,FRA,2,1450.42980957,1995-09-28,1995-09-28
None,Le Mans,FRA,2,1451.16931152,1995-09-29,1995-09-30
None,Le Mans,FRA,2,1457.72924805,1995-10-01,1995-10-04
None,Le Mans,FRA,2,1454.31213379,1995-10-05,1995-10-14
None,Le Mans,FRA,2,1462.12695312,1995-10-15,1995-10-17
