Rank,Club,Country,Level,Elo,From,To
None,Lorient,FRA,2,1372.9609375,1995-07-01,1995-07-01
None,Lorient,FRA,2,1385.60620117,1995-07-02,1995-07-19
None,Lorient,FRA,2,1390.8795166,1995-07-20,1995-07-26
None,Lorient,FRA,2,1387.38891602,1995-07-27,1995-07-29
None,Lorient,FRA,2,1373.33288574,1995-07-30,1995-08-09
None,Lorient,FRA,2,1374.92248535,1995-08-10,1995-08-12
None,Lorient,FRA,2,1389.54492188,1995-08-13,1995-08-19
None,Lorient,FRA,2,1386.32629395,1995-08-20,1995-08-26
None,Lorient,FRA,2,1381.93078613,1995-08-27,1995-09-02
None,Lorient,FRA,2,1388.90771484,1995-09-03,1995-09-09
None,Lorient,FRA,2,1378.47253418,1995-09-10,1995-09-12
None,Lorient,FRA,2,1373.24145508,1995-09-13,1995-09-13
None,Lorient,FRA,2,1377.0546875,1995-09-14,1995-09-14
None,Lorient,FRA,2,1380.78149414,1995-09-15,1995-09-16
None,Lorient,FRA,2,1393.32458496,1995-09-17,1995-09-23
None,Lorient,FRA,2,1382.20166016,1995-09-24,1995-09-26
None,Lorient,FRA,2,1385.28051758,1995-09-27,1995-09-27
None,Lorient,FRA,2,1381.57653809,1995-09-28,1995-09-28
None,Lorient,FRA,2,1382.31604004,1995-09-29,1995-09-30
None,Lorient,FRA,2,1389.9041748,1995-10-01,1995-10-04
None,Lorient,FRA,2,1401.37670898,1995-10-05,1995-10-14
None,Lorient,FRA,2,1395.44189453,1995-10-15,1995-10-17
None,Lorient,FRA,2,1391.2902832,1995-10-18,1995-10-18
None,Lorient,FRA,2,1392.35107422,1995-10-19,1995-10-19
None,Lorient,FRA,2,1392.62194824,1995-10-20,1995-10-22
None,Lorient,FRA,2,1401.2130127,1995-10-23,1995-10-28
None,Lorient,FRA,2,1417.29431152,1995-10-29,1995-10-31
None,Lorient,FRA,2,1435.2989502,1995-11-01,1995-11-01
None,Lorient,FRA,2,1441.94995117,1995-11-02,1995-11-02
None,Lorient,FRA,2,1443.5982666,1995-11-03,1995-11-04
None,Lorient,FRA,2,1427.51647949,1995-11-05,1995-11-10
None,Lorient,FRA,2,1423.04101562,1995-11-11,1995-11-18
None,Lorient,FRA,2,1420.27539062,1995-11-19,1995-11-21
None,Lorient,FRA,2,1424.68688965,1995-11-22,1995-11-22
None,Lorient,FRA,2,1427.18640137,1995-11-23,1995-11-25
None,Lorient,FRA,2,1429.95507812,1995-11-26,1995-12-03
None,Lorient,FRA,2,1423.1661377,1995-12-04,1995-12-05
None,Lorient,FRA,2,1419.87597656,1995-12-06,1995-12-06
None,Lorient,FRA,2,1419.09082031,1995-12-07,1995-12-09
None,Lorient,FRA,2,1416.01013184,1995-12-10,1996-01-10
None,Lorient,FRA,2,1420.14221191,1996-01-11,1996-01-20
None,Lorient,FRA,2,1409.82507324,1996-01-21,1996-01-27
None,Lorient,FRA,2,1405.02563477,1996-01-28,1996-02-07
None,Lorient,FRA,2,1417.5814209,1996-02-08,1996-02-10
None,Lorient,FRA,2,1406.94726562,1996-02-11,1996-02-18
None,Lorient,FRA,2,1416.77416992,1996-02-19,1996-02-27
None,Lorient,FRA,2,1425.65124512,1996-02-28,1996-03-02
None,Lorient,FRA,2,1422.32080078,1996-03-03,1996-03-05
None,Lorient,FRA,2,1426.09875488,1996-03-06,1996-03-07
None,Lorient,FRA,2,1424.90905762,1996-03-08,1996-03-09
None,Lorient,FRA,2,1425.01782227,1996-03-10,1996-03-13
None,Lorient,FRA,2,1427.17053223,1996-03-14,1996-03-19
None,Lorient,FRA,2,1438.47790527,1996-03-20,1996-03-20
None,Lorient,FRA,2,1441.10571289,1996-03-21,1996-03-21
None,Lorient,FRA,2,1448.5189209,1996-03-22,1996-03-23
None,Lorient,FRA,2,1443.5592041,1996-03-24,1996-03-30
None,Lorient,FRA,2,1436.09033203,1996-03-31,1996-04-01
None,Lorient,FRA,2,1441.23730469,1996-04-02,1996-04-03
None,Lorient,FRA,2,1439.17651367,1996-04-04,1996-04-04
None,Lorient,FRA,2,1443.09838867,1996-04-05,1996-04-09
None,Lorient,FRA,2,1448.39855957,1996-04-10,1996-04-16
None,Lorient,FRA,2,1450.96447754,1996-04-17,1996-04-17
None,Lorient,FRA,2,1450.79858398,1996-04-18,1996-04-18
None,Lorient,FRA,2,1452.0670166,1996-04-19,1996-04-20
None,Lorient,FRA,2,1444.19763184,1996-04-21,1996-04-24
None,Lorient,FRA,2,1453.33398438,1996-04-25,1996-04-27
None,Lorient,FRA,2,1458.40539551,1996-04-28,1996-05-01
None,Lorient,FRA,2,1455.95349121,1996-05-02,1996-05-03
None,Lorient,FRA,2,1466.97924805,1996-05-04,1996-05-08
None,Lorient,FRA,2,1469.125,1996-05-09,1996-05-10
None,Lorient,FRA,2,1479.88537598,1996-05-11,1996-05-15
None,Lorient,FRA,2,1477.20983887,1996-05-16,1996-05-17
None,Lorient,FRA,2,1482.87219238,1996-05-18,1996-05-21
None,Lorient,FRA,2,1475.62353516,1996-05-22,1996-08-10
None,Lorient,FRA,2,1469.9140625,1996-08-11,1996-08-17
None,Lorient,FRA,2,1474.9173584,1996-08-18,1996-08-20
None,Lorient,FRA,2,1465.74890137,1996-08-21,1996-08-24
None,Lorient,FRA,2,1463.2512207,1996-08-25,1996-08-27
None,Lorient,FRA,2,1469.23950195,1996-08-28,1996-09-04
None,Lorient,FRA,2,1473.38378906,1996-09-05,1996-09-07
None,Lorient,FRA,2,1485.69128418,1996-09-08,1996-09-10
None,Lorient,FRA,2,1477.66687012,1996-09-11,1996-09-11
None,Lorient,FRA,2,1473.35766602,1996-09-12,1996-09-12
None,Lorient,FRA,2,1477.14807129,1996-09-13,1996-09-14
None,Lorient,FRA,2,1470.33251953,1996-09-15,1996-09-18
None,Lorient,FRA,2,1467.38427734,1996-09-19,1996-09-21
None,Lorient,FRA,2,1463.62365723,1996-09-22,1996-09-24
None,Lorient,FRA,2,1464.62890625,1996-09-25,1996-09-25
None,Lorient,FRA,2,1468.25854492,1996-09-26,1996-09-26
None,Lorient,FRA,2,1473.83886719,1996-09-27,1996-09-28
None,Lorient,FRA,2,1478.51745605,1996-09-29,1996-10-02
None,Lorient,FRA,2,1473.91943359,1996-10-03,1996-10-05
