Rank,Club,Country,Level,Elo,From,To
None,Malaga,ESP,1,1495.05175781,1949-07-02,1949-07-03
None,Malaga,ESP,1,1520.93786621,1949-07-04,1949-09-04
None,Malaga,ESP,1,1514.47961426,1949-09-05,1949-09-11
None,Malaga,ESP,1,1513.46057129,1949-09-12,1949-09-18
None,Malaga,ESP,1,1519.12036133,1949-09-19,1949-09-25
None,Malaga,ESP,1,1527.2376709,1949-09-26,1949-10-02
None,Malaga,ESP,1,1533.77124023,1949-10-03,1949-10-09
None,Malaga,ESP,1,1525.09936523,1949-10-10,1949-10-16
None,Malaga,ESP,1,1519.46826172,1949-10-17,1949-10-23
None,Malaga,ESP,1,1508.9074707,1949-10-24,1949-10-30
None,Malaga,ESP,1,1505.82470703,1949-10-31,1949-11-06
None,Malaga,ESP,1,1510.98535156,1949-11-07,1949-11-13
None,Malaga,ESP,1,1509.48828125,1949-11-14,1949-11-20
None,Malaga,ESP,1,1516.45812988,1949-11-21,1949-12-04
None,Malaga,ESP,1,1523.25939941,1949-12-05,1949-12-11
None,Malaga,ESP,1,1521.09790039,1949-12-12,1949-12-18
None,Malaga,ESP,1,1520.79223633,1949-12-19,1950-01-15
None,Malaga,ESP,1,1525.42785645,1950-01-16,1950-01-22
None,Malaga,ESP,1,1523.75512695,1950-01-23,1950-01-29
None,Malaga,ESP,1,1531.10339355,1950-01-30,1950-02-05
None,Malaga,ESP,1,1529.45837402,1950-02-06,1950-02-12
None,Malaga,ESP,1,1534.98535156,1950-02-13,1950-02-19
None,Malaga,ESP,1,1533.59997559,1950-02-20,1950-02-26
None,Malaga,ESP,1,1540.59008789,1950-02-27,1950-03-05
None,Malaga,ESP,1,1538.42907715,1950-03-06,1950-03-12
None,Malaga,ESP,1,1539.01977539,1950-03-13,1950-04-16
None,Malaga,ESP,1,1536.32543945,1950-04-17,1950-04-23
None,Malaga,ESP,1,1540.21606445,1950-04-24,1950-06-13
None,Malaga,ESP,1,1479.36669922,1950-06-14,1950-06-16
None,Malaga,ESP,1,1494.74902344,1950-06-17,1950-09-10
None,Malaga,ESP,1,1493.32678223,1950-09-11,1950-09-17
None,Malaga,ESP,1,1501.8248291,1950-09-18,1950-09-24
None,Malaga,ESP,1,1497.59936523,1950-09-25,1950-10-01
None,Malaga,ESP,1,1504.72814941,1950-10-02,1950-10-08
None,Malaga,ESP,1,1501.57702637,1950-10-09,1950-10-15
None,Malaga,ESP,1,1507.04553223,1950-10-16,1950-10-22
None,Malaga,ESP,1,1505.08154297,1950-10-23,1950-10-29
None,Malaga,ESP,1,1498.75073242,1950-10-30,1950-11-05
