Rank,Club,Country,Level,Elo,From,To
None,Mallorca,ESP,1,1589.41247559,1960-07-01,1960-09-11
None,Mallorca,ESP,1,1586.90917969,1960-09-12,1960-09-18
None,Mallorca,ESP,1,1590.3067627,1960-09-19,1960-09-25
None,Mallorca,ESP,1,1589.29626465,1960-09-26,1960-09-28
None,Mallorca,ESP,1,1589.28527832,1960-09-29,1960-10-02
None,Mallorca,ESP,1,1585.20300293,1960-10-03,1960-10-05
None,Mallorca,ESP,1,1585.86157227,1960-10-06,1960-10-09
None,Mallorca,ESP,1,1582.4161377,1960-10-10,1960-10-16
None,Mallorca,ESP,1,1593.94311523,1960-10-17,1960-10-22
None,Mallorca,ESP,1,1592.53662109,1960-10-23,1960-11-06
None,Mallorca,ESP,1,1592.20153809,1960-11-07,1960-11-13
None,Mallorca,ESP,1,1586.72338867,1960-11-14,1960-11-20
None,Mallorca,ESP,1,1592.35266113,1960-11-21,1960-11-27
None,Mallorca,ESP,1,1589.22875977,1960-11-28,1960-12-04
None,Mallorca,ESP,1,1589.41308594,1960-12-05,1960-12-11
None,Mallorca,ESP,1,1594.34729004,1960-12-12,1960-12-18
None,Mallorca,ESP,1,1593.82568359,1960-12-19,1961-01-01
None,Mallorca,ESP,1,1599.65600586,1961-01-02,1961-01-02
100,Mallorca,ESP,1,1599.65600586,1961-01-03,1961-01-08
95,Mallorca,ESP,1,1605.00695801,1961-01-09,1961-01-14
96,Mallorca,ESP,1,1605.00695801,1961-01-15,1961-01-15
None,Mallorca,ESP,1,1598.98999023,1961-01-16,1961-01-22
None,Mallorca,ESP,1,1592.41845703,1961-01-23,1961-01-29
None,Mallorca,ESP,1,1588.97302246,1961-01-30,1961-02-05
None,Mallorca,ESP,1,1595.24169922,1961-02-06,1961-02-12
None,Mallorca,ESP,1,1593.30957031,1961-02-13,1961-02-19
94,Mallorca,ESP,1,1607.54016113,1961-02-20,1961-02-25
93,Mallorca,ESP,1,1607.54016113,1961-02-26,1961-02-26
71,Mallorca,ESP,1,1628.50244141,1961-02-27,1961-03-04
71,Mallorca,ESP,1,1628.93530273,1961-03-05,1961-03-05
69,Mallorca,ESP,1,1632.0736084,1961-03-06,1961-03-12
69,Mallorca,ESP,1,1631.60888672,1961-03-13,1961-03-18
69,Mallorca,ESP,1,1631.86730957,1961-03-19,1961-03-19
61,Mallorca,ESP,1,1641.6328125,1961-03-20,1961-03-22
60,Mallorca,ESP,1,1641.6328125,1961-03-23,1961-03-26
50,Mallorca,ESP,1,1657.00500488,1961-03-27,1961-03-28
51,Mallorca,ESP,1,1657.00500488,1961-03-29,1961-03-31
52,Mallorca,ESP,1,1657.00500488,1961-04-01,1961-04-01
53,Mallorca,ESP,1,1657.00500488,1961-04-02,1961-04-02
52,Mallorca,ESP,1,1657.00500488,1961-04-03,1961-04-08
54,Mallorca,ESP,1,1657.00500488,1961-04-09,1961-04-09
56,Mallorca,ESP,1,1653.44104004,1961-04-10,1961-04-12
58,Mallorca,ESP,1,1651.31982422,1961-04-13,1961-04-13
57,Mallorca,ESP,1,1651.31982422,1961-04-14,1961-04-15
56,Mallorca,ESP,1,1651.31982422,1961-04-16,1961-04-16
55,Mallorca,ESP,1,1651.31982422,1961-04-17,1961-04-22
56,Mallorca,ESP,1,1651.31982422,1961-04-23,1961-04-23
50,Mallorca,ESP,1,1664.49536133,1961-04-24,1961-04-26
48,Mallorca,ESP,1,1666.6015625,1961-04-27,1961-04-30
51,Mallorca,ESP,1,1660.88574219,1961-05-01,1961-05-03
49,Mallorca,ESP,1,1666.37683105,1961-05-04,1961-05-07
48,Mallorca,ESP,1,1666.37683105,1961-05-08,1961-05-12
49,Mallorca,ESP,1,1666.37683105,1961-05-13,1961-05-14
48,Mallorca,ESP,1,1666.37683105,1961-05-15,1961-05-18
47,Mallorca,ESP,1,1666.37683105,1961-05-19,1961-05-21
48,Mallorca,ESP,1,1666.37683105,1961-05-22,1961-05-24
47,Mallorca,ESP,1,1666.37683105,1961-05-25,1961-05-28
48,Mallorca,ESP,1,1666.37683105,1961-05-29,1961-05-31
51,Mallorca,ESP,1,1658.5065918,1961-06-01,1961-06-03
49,Mallorca,ESP,1,1658.5065918,1961-06-04,1961-06-04
50,Mallorca,ESP,1,1658.5065918,1961-06-05,1961-06-11
51,Mallorca,ESP,1,1658.5065918,1961-06-12,1961-06-19
52,Mallorca,ESP,1,1658.5065918,1961-06-20,1961-07-14
51,Mallorca,ESP,1,1658.5065918,1961-07-15,1961-07-18
52,Mallorca,ESP,1,1658.5065918,1961-07-19,1961-07-31
53,Mallorca,ESP,1,1658.5065918,1961-08-01,1961-08-13
54,Mallorca,ESP,1,1658.5065918,1961-08-14,1961-08-23
53,Mallorca,ESP,1,1658.5065918,1961-08-24,1961-08-26
54,Mallorca,ESP,1,1658.5065918,1961-08-27,1961-08-27
55,Mallorca,ESP,1,1658.5065918,1961-08-28,1961-08-30
57,Mallorca,ESP,1,1658.5065918,1961-08-31,1961-09-02
46,Mallorca,ESP,1,1672.07299805,1961-09-03,1961-09-03
48,Mallorca,ESP,1,1672.07299805,1961-09-04,1961-09-06
47,Mallorca,ESP,1,1673.84460449,1961-09-07,1961-09-09
48,Mallorca,ESP,1,1673.84460449,1961-09-10,1961-09-10
47,Mallorca,ESP,1,1676.93444824,1961-09-11,1961-09-11
44,Mallorca,ESP,1,1676.93444824,1961-09-12,1961-09-13
42,Mallorca,ESP,1,1678.11730957,1961-09-14,1961-09-16
41,Mallorca,ESP,1,1678.11730957,1961-09-17,1961-09-17
35,Mallorca,ESP,1,1696.94360352,1961-09-18,1961-09-20
35,Mallorca,ESP,1,1697.32775879,1961-09-21,1961-09-23
34,Mallorca,ESP,1,1697.32775879,1961-09-24,1961-09-24
38,Mallorca,ESP,1,1687.51647949,1961-09-25,1961-09-27
38,Mallorca,ESP,1,1688.74182129,1961-09-28,1961-10-01
45,Mallorca,ESP,1,1673.10168457,1961-10-02,1961-10-04
