Rank,Club,Country,Level,Elo,From,To
None,Messina,ITA,2,1357.21813965,1950-07-01,1950-09-10
None,Messina,ITA,2,1354.55249023,1950-09-11,1950-09-17
None,Messina,ITA,2,1366.84179688,1950-09-18,1950-09-24
None,Messina,ITA,2,1365.7857666,1950-09-25,1950-10-01
None,Messina,ITA,2,1353.28613281,1950-10-02,1950-10-08
None,Messina,ITA,2,1350.12207031,1950-10-09,1950-10-15
None,Messina,ITA,2,1348.74816895,1950-10-16,1950-10-22
None,Messina,ITA,2,1358.22143555,1950-10-23,1950-10-29
None,Messina,ITA,2,1346.00085449,1950-10-30,1950-11-05
None,Messina,ITA,2,1359.31274414,1950-11-06,1950-11-12
None,Messina,ITA,2,1354.2532959,1950-11-13,1950-11-26
None,Messina,ITA,2,1359.4543457,1950-11-27,1950-12-03
None,Messina,ITA,2,1344.34887695,1950-12-04,1950-12-10
None,Messina,ITA,2,1340.40136719,1950-12-11,1950-12-17
None,Messina,ITA,2,1336.73071289,1950-12-18,1950-12-24
None,Messina,ITA,2,1332.68493652,1950-12-25,1950-12-31
None,Messina,ITA,2,1338.9440918,1951-01-01,1951-01-07
None,Messina,ITA,2,1344.16662598,1951-01-08,1951-01-14
None,Messina,ITA,2,1357.55505371,1951-01-15,1951-01-21
None,Messina,ITA,2,1355.75732422,1951-01-22,1951-01-28
None,Messina,ITA,2,1364.12475586,1951-01-29,1951-02-04
None,Messina,ITA,2,1372.69934082,1951-02-05,1951-02-11
None,Messina,ITA,2,1375.52111816,1951-02-12,1951-02-18
None,Messina,ITA,2,1372.98193359,1951-02-19,1951-02-25
None,Messina,ITA,2,1375.57507324,1951-02-26,1951-03-04
None,Messina,ITA,2,1384.41357422,1951-03-05,1951-03-11
None,Messina,ITA,2,1395.4309082,1951-03-12,1951-03-18
None,Messina,ITA,2,1408.16381836,1951-03-19,1951-03-25
None,Messina,ITA,2,1404.66394043,1951-03-26,1951-04-01
None,Messina,ITA,2,1399.81884766,1951-04-02,1951-04-08
None,Messina,ITA,2,1403.27636719,1951-04-09,1951-04-22
None,Messina,ITA,2,1424.37548828,1951-04-23,1951-04-29
None,Messina,ITA,2,1421.0111084,1951-04-30,1951-05-06
None,Messina,ITA,2,1407.45581055,1951-05-07,1951-05-13
None,Messina,ITA,2,1419.33508301,1951-05-14,1951-05-20
None,Messina,ITA,2,1414.34277344,1951-05-21,1951-05-27
None,Messina,ITA,2,1408.78649902,1951-05-28,1951-06-03
None,Messina,ITA,2,1404.64575195,1951-06-04,1951-06-10
None,Messina,ITA,2,1399.3347168,1951-06-11,1951-06-17
None,Messina,ITA,2,1398.62902832,1951-06-18,1951-06-20
None,Messina,ITA,2,1421.98193359,1951-06-21,1951-06-24
None,Messina,ITA,2,1430.12524414,1951-06-25,1951-09-09
None,Messina,ITA,2,1418.74182129,1951-09-10,1951-09-16
None,Messina,ITA,2,1440.7277832,1951-09-17,1951-09-23
None,Messina,ITA,2,1445.02709961,1951-09-24,1951-09-30
None,Messina,ITA,2,1435.27880859,1951-10-01,1951-10-07
None,Messina,ITA,2,1446.56201172,1951-10-08,1951-10-14
None,Messina,ITA,2,1450.41711426,1951-10-15,1951-10-21
None,Messina,ITA,2,1454.62731934,1951-10-22,1951-10-28
None,Messina,ITA,2,1459.71508789,1951-10-29,1951-11-04
None,Messina,ITA,2,1471.06933594,1951-11-05,1951-11-18
None,Messina,ITA,2,1467.03540039,1951-11-19,1951-12-02
None,Messina,ITA,2,1482.9239502,1951-12-03,1951-12-09
None,Messina,ITA,2,1489.07006836,1951-12-10,1951-12-16
None,Messina,ITA,2,1493.29064941,1951-12-17,1951-12-23
None,Messina,ITA,2,1484.82727051,1951-12-24,1951-12-30
None,Messina,ITA,2,1485.76855469,1951-12-31,1952-01-06
None,Messina,ITA,2,1483.31005859,1952-01-07,1952-01-13
None,Messina,ITA,2,1487.69592285,1952-01-14,1952-01-20
None,Messina,ITA,2,1488.44213867,1952-01-21,1952-01-27
None,Messina,ITA,2,1491.99487305,1952-01-28,1952-02-03
None,Messina,ITA,2,1487.87011719,1952-02-04,1952-02-10
None,Messina,ITA,2,1481.99572754,1952-02-11,1952-02-17
None,Messina,ITA,2,1485.79272461,1952-02-18,1952-03-02
None,Messina,ITA,2,1482.93847656,1952-03-03,1952-03-09
None,Messina,ITA,2,1487.74914551,1952-03-10,1952-03-16
None,Messina,ITA,2,1481.64770508,1952-03-17,1952-03-23
None,Messina,ITA,2,1484.83728027,1952-03-24,1952-03-30
None,Messina,ITA,2,1487.53613281,1952-03-31,1952-04-06
None,Messina,ITA,2,1491.19934082,1952-04-07,1952-04-13
None,Messina,ITA,2,1502.52502441,1952-04-14,1952-04-20
None,Messina,ITA,2,1489.06335449,1952-04-21,1952-04-27
None,Messina,ITA,2,1483.81750488,1952-04-28,1952-05-04
None,Messina,ITA,2,1503.15478516,1952-05-05,1952-05-11
None,Messina,ITA,2,1497.99890137,1952-05-12,1952-05-25
None,Messina,ITA,2,1492.05053711,1952-05-26,1952-06-01
None,Messina,ITA,2,1485.16394043,1952-06-02,1952-06-08
None,Messina,ITA,2,1478.09289551,1952-06-09,1952-06-15
None,Messina,ITA,2,1472.12194824,1952-06-16,1952-06-22
None,Messina,ITA,2,1478.88464355,1952-06-23,1952-06-26
None,Messina,ITA,2,1448.09436035,1952-06-27,1952-06-28
None,Messina,ITA,2,1456.03259277,1952-06-29,1952-09-14
None,Messina,ITA,2,1448.79492188,1952-09-15,1952-09-21
None,Messina,ITA,2,1453.77099609,1952-09-22,1952-09-28
None,Messina,ITA,2,1460.71154785,1952-09-29,1952-10-05
None,Messina,ITA,2,1452.51989746,1952-10-06,1952-10-12
None,Messina,ITA,2,1446.57409668,1952-10-13,1952-10-19
None,Messina,ITA,2,1433.91687012,1952-10-20,1952-11-02
None,Messina,ITA,2,1443.46337891,1952-11-03,1952-11-09
None,Messina,ITA,2,1446.64904785,1952-11-10,1952-11-16
None,Messina,ITA,2,1451.60412598,1952-11-17,1952-11-23
None,Messina,ITA,2,1445.16381836,1952-11-24,1952-11-30
None,Messina,ITA,2,1437.89282227,1952-12-01,1952-12-07
None,Messina,ITA,2,1433.40783691,1952-12-08,1952-12-14
None,Messina,ITA,2,1439.79675293,1952-12-15,1952-12-21
None,Messina,ITA,2,1434.3927002,1952-12-22,1953-01-04
None,Messina,ITA,2,1439.36450195,1953-01-05,1953-01-11
None,Messina,ITA,2,1444.69421387,1953-01-12,1953-01-18
None,Messina,ITA,2,1441.21801758,1953-01-19,1953-01-25
None,Messina,ITA,2,1435.9609375,1953-01-26,1953-02-01
None,Messina,ITA,2,1440.1484375,1953-02-02,1953-02-08
None,Messina,ITA,2,1452.23010254,1953-02-09,1953-02-15
None,Messina,ITA,2,1458.48718262,1953-02-16,1953-02-22
None,Messina,ITA,2,1462.47180176,1953-02-23,1953-03-01
None,Messina,ITA,2,1457.36425781,1953-03-02,1953-03-08
None,Messina,ITA,2,1469.23535156,1953-03-09,1953-03-15
None,Messina,ITA,2,1472.16125488,1953-03-16,1953-03-22
None,Messina,ITA,2,1467.95629883,1953-03-23,1953-03-29
None,Messina,ITA,2,1471.6776123,1953-03-30,1953-04-05
None,Messina,ITA,2,1475.21130371,1953-04-06,1953-04-12
None,Messina,ITA,2,1469.06750488,1953-04-13,1953-04-19
None,Messina,ITA,2,1471.38952637,1953-04-20,1953-05-03
None,Messina,ITA,2,1478.12487793,1953-05-04,1953-05-10
None,Messina,ITA,2,1483.42626953,1953-05-11,1953-05-24
None,Messina,ITA,2,1486.37023926,1953-05-25,1953-05-31
None,Messina,ITA,2,1483.23095703,1953-06-01,1953-06-04
None,Messina,ITA,2,1493.56103516,1953-06-05,1953-06-07
None,Messina,ITA,2,1457.6315918,1953-06-08,1953-09-13
None,Messina,ITA,2,1467.5090332,1953-09-14,1953-09-20
None,Messina,ITA,2,1461.3359375,1953-09-21,1953-09-27
None,Messina,ITA,2,1456.61401367,1953-09-28,1953-10-04
None,Messina,ITA,2,1452.70214844,1953-10-05,1953-10-11
None,Messina,ITA,2,1445.23364258,1953-10-12,1953-10-18
None,Messina,ITA,2,1446.38293457,1953-10-19,1953-10-25
None,Messina,ITA,2,1442.06274414,1953-10-26,1953-11-01
None,Messina,ITA,2,1439.11108398,1953-11-02,1953-11-08
None,Messina,ITA,2,1442.68225098,1953-11-09,1953-11-22
None,Messina,ITA,2,1432.42016602,1953-11-23,1953-11-29
None,Messina,ITA,2,1435.98303223,1953-11-30,1953-12-06
None,Messina,ITA,2,1423.41503906,1953-12-07,1953-12-20
None,Messina,ITA,2,1416.6517334,1953-12-21,1953-12-27
None,Messina,ITA,2,1419.05090332,1953-12-28,1954-01-03
None,Messina,ITA,2,1425.89294434,1954-01-04,1954-01-10
None,Messina,ITA,2,1431.57006836,1954-01-11,1954-01-17
None,Messina,ITA,2,1435.91442871,1954-01-18,1954-01-31
None,Messina,ITA,2,1422.36608887,1954-02-01,1954-02-07
None,Messina,ITA,2,1429.43493652,1954-02-08,1954-02-14
None,Messina,ITA,2,1422.23852539,1954-02-15,1954-02-21
None,Messina,ITA,2,1418.82727051,1954-02-22,1954-02-28
None,Messina,ITA,2,1413.24169922,1954-03-01,1954-03-07
None,Messina,ITA,2,1407.62646484,1954-03-08,1954-03-14
None,Messina,ITA,2,1412.1706543,1954-03-15,1954-03-21
None,Messina,ITA,2,1407.87145996,1954-03-22,1954-03-28
None,Messina,ITA,2,1412.33947754,1954-03-29,1954-04-04
None,Messina,ITA,2,1432.61120605,1954-04-05,1954-04-18
None,Messina,ITA,2,1434.68554688,1954-04-19,1954-04-25
None,Messina,ITA,2,1426.94030762,1954-04-26,1954-05-02
None,Messina,ITA,2,1429.81103516,1954-05-03,1954-05-09
None,Messina,ITA,2,1416.65551758,1954-05-10,1954-05-16
None,Messina,ITA,2,1413.28491211,1954-05-17,1954-05-23
None,Messina,ITA,2,1405.58447266,1954-05-24,1954-05-30
None,Messina,ITA,2,1412.60095215,1954-05-31,1954-09-19
None,Messina,ITA,2,1417.44995117,1954-09-20,1954-09-26
None,Messina,ITA,2,1422.44995117,1954-09-27,1954-10-03
None,Messina,ITA,2,1415.60546875,1954-10-04,1954-10-10
None,Messina,ITA,2,1410.58190918,1954-10-11,1954-10-17
None,Messina,ITA,2,1408.36547852,1954-10-18,1954-10-24
None,Messina,ITA,2,1412.82336426,1954-10-25,1954-10-31
None,Messina,ITA,2,1405.86950684,1954-11-01,1954-11-07
None,Messina,ITA,2,1407.62609863,1954-11-08,1954-11-14
None,Messina,ITA,2,1394.0357666,1954-11-15,1954-11-21
None,Messina,ITA,2,1398.94104004,1954-11-22,1954-12-12
None,Messina,ITA,2,1395.63781738,1954-12-13,1954-12-19
None,Messina,ITA,2,1397.46447754,1954-12-20,1954-12-26
None,Messina,ITA,2,1402.83569336,1954-12-27,1955-01-02
None,Messina,ITA,2,1407.22705078,1955-01-03,1955-01-09
None,Messina,ITA,2,1415.86584473,1955-01-10,1955-01-23
None,Messina,ITA,2,1426.99584961,1955-01-24,1955-01-30
None,Messina,ITA,2,1423.01184082,1955-01-31,1955-02-06
None,Messina,ITA,2,1416.28613281,1955-02-07,1955-02-13
None,Messina,ITA,2,1419.39282227,1955-02-14,1955-02-20
None,Messina,ITA,2,1414.61108398,1955-02-21,1955-02-27
None,Messina,ITA,2,1424.17895508,1955-02-28,1955-03-06
None,Messina,ITA,2,1428.70239258,1955-03-07,1955-03-13
