Rank,Club,Country,Level,Elo,From,To
None,Metz,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Metz,FRA,1,1351.75280762,1945-08-27,1945-09-02
None,Metz,FRA,1,1361.6550293,1945-09-03,1945-09-09
None,Metz,FRA,1,1344.00268555,1945-09-10,1945-09-16
None,Metz,FRA,1,1336.04077148,1945-09-17,1945-09-23
None,Metz,FRA,1,1325.48852539,1945-09-24,1945-09-30
None,Metz,FRA,1,1315.93225098,1945-10-01,1945-10-07
None,Metz,FRA,1,1302.3269043,1945-10-08,1945-10-14
None,Metz,FRA,1,1292.45361328,1945-10-15,1945-10-21
None,Metz,FRA,1,1286.08300781,1945-10-22,1945-10-28
None,Metz,FRA,1,1272.22558594,1945-10-29,1945-11-04
None,Metz,FRA,1,1275.95373535,1945-11-05,1945-11-11
None,Metz,FRA,1,1286.71679688,1945-11-12,1945-11-18
None,Metz,FRA,1,1283.0814209,1945-11-19,1945-12-02
None,Metz,FRA,1,1281.52868652,1945-12-03,1945-12-09
None,Metz,FRA,1,1291.06115723,1945-12-10,1945-12-16
None,Metz,FRA,1,1279.06115723,1945-12-17,1945-12-23
None,Metz,FRA,1,1285.48242188,1945-12-24,1945-12-30
None,Metz,FRA,1,1289.55566406,1945-12-31,1946-01-13
None,Metz,FRA,1,1275.4576416,1946-01-14,1946-01-20
None,Metz,FRA,1,1282.2623291,1946-01-21,1946-01-27
None,Metz,FRA,1,1273.65698242,1946-01-28,1946-02-10
None,Metz,FRA,1,1254.81030273,1946-02-11,1946-02-17
None,Metz,FRA,1,1252.11694336,1946-02-18,1946-02-24
None,Metz,FRA,1,1247.85302734,1946-02-25,1946-03-10
None,Metz,FRA,1,1258.20898438,1946-03-11,1946-03-24
None,Metz,FRA,1,1254.55407715,1946-03-25,1946-04-07
None,Metz,FRA,1,1261.98608398,1946-04-08,1946-04-11
None,Metz,FRA,1,1283.98608398,1946-04-12,1946-04-14
None,Metz,FRA,1,1279.50708008,1946-04-15,1946-04-16
None,Metz,FRA,1,1272.50708008,1946-04-17,1946-04-21
None,Metz,FRA,1,1278.74230957,1946-04-22,1946-04-28
None,Metz,FRA,1,1272.06896973,1946-04-29,1946-05-05
None,Metz,FRA,1,1281.81542969,1946-05-06,1946-05-08
None,Metz,FRA,1,1299.81542969,1946-05-09,1946-05-12
None,Metz,FRA,1,1293.11706543,1946-05-13,1946-05-19
None,Metz,FRA,1,1279.92236328,1946-05-20,1946-05-26
None,Metz,FRA,1,1274.70947266,1946-05-27,1946-06-02
None,Metz,FRA,1,1275.68713379,1946-06-03,1946-08-18
None,Metz,FRA,1,1296.63000488,1946-08-19,1946-08-25
None,Metz,FRA,1,1295.7043457,1946-08-26,1946-09-01
None,Metz,FRA,1,1296.61938477,1946-09-02,1946-09-08
None,Metz,FRA,1,1293.52062988,1946-09-09,1946-09-12
None,Metz,FRA,1,1287.57019043,1946-09-13,1946-09-15
None,Metz,FRA,1,1275.63122559,1946-09-16,1946-09-22
None,Metz,FRA,1,1271.5802002,1946-09-23,1946-09-26
None,Metz,FRA,1,1282.0447998,1946-09-27,1946-09-29
None,Metz,FRA,1,1295.67297363,1946-09-30,1946-10-06
None,Metz,FRA,1,1293.60998535,1946-10-07,1946-10-13
None,Metz,FRA,1,1307.77502441,1946-10-14,1946-10-17
None,Metz,FRA,1,1311.98339844,1946-10-18,1946-10-20
None,Metz,FRA,1,1307.92834473,1946-10-21,1946-10-27
None,Metz,FRA,1,1298.89306641,1946-10-28,1946-11-03
None,Metz,FRA,1,1287.4185791,1946-11-04,1946-11-10
None,Metz,FRA,1,1291.22436523,1946-11-11,1946-11-17
None,Metz,FRA,1,1305.64428711,1946-11-18,1946-11-24
None,Metz,FRA,1,1319.20935059,1946-11-25,1946-12-01
None,Metz,FRA,1,1324.51220703,1946-12-02,1946-12-08
None,Metz,FRA,1,1320.7322998,1946-12-09,1946-12-22
None,Metz,FRA,1,1330.01916504,1946-12-23,1946-12-29
None,Metz,FRA,1,1334.97229004,1946-12-30,1947-01-12
None,Metz,FRA,1,1328.90283203,1947-01-13,1947-01-19
None,Metz,FRA,1,1328.75158691,1947-01-20,1947-01-26
None,Metz,FRA,1,1338.5378418,1947-01-27,1947-02-09
None,Metz,FRA,1,1325.67749023,1947-02-10,1947-02-16
None,Metz,FRA,1,1304.49304199,1947-02-17,1947-02-23
None,Metz,FRA,1,1301.1184082,1947-02-24,1947-03-09
None,Metz,FRA,1,1305.08154297,1947-03-10,1947-03-18
None,Metz,FRA,1,1300.39318848,1947-03-19,1947-03-20
None,Metz,FRA,1,1298.20153809,1947-03-21,1947-03-26
None,Metz,FRA,1,1313.93395996,1947-03-27,1947-04-03
None,Metz,FRA,1,1305.24328613,1947-04-04,1947-04-06
None,Metz,FRA,1,1308.71044922,1947-04-07,1947-04-17
None,Metz,FRA,1,1307.85180664,1947-04-18,1947-04-20
None,Metz,FRA,1,1321.30664062,1947-04-21,1947-05-04
None,Metz,FRA,1,1317.30664062,1947-05-05,1947-05-08
None,Metz,FRA,1,1333.2767334,1947-05-09,1947-05-15
None,Metz,FRA,1,1325.36633301,1947-05-16,1947-05-27
None,Metz,FRA,1,1337.36633301,1947-05-28,1947-06-04
None,Metz,FRA,1,1342.36633301,1947-06-05,1947-06-11
None,Metz,FRA,1,1356.36633301,1947-06-12,1947-08-24
None,Metz,FRA,1,1359.94006348,1947-08-25,1947-08-31
None,Metz,FRA,1,1362.79956055,1947-09-01,1947-09-07
None,Metz,FRA,1,1369.62683105,1947-09-08,1947-09-14
None,Metz,FRA,1,1366.21289062,1947-09-15,1947-09-18
None,Metz,FRA,1,1378.10375977,1947-09-19,1947-09-21
