Rank,Club,Country,Level,Elo,From,To
None,Monza,ITA,2,1362.63427734,1951-07-01,1951-09-09
None,Monza,ITA,2,1369.38769531,1951-09-10,1951-09-16
None,Monza,ITA,2,1373.4395752,1951-09-17,1951-09-23
None,Monza,ITA,2,1370.0994873,1951-09-24,1951-09-30
None,Monza,ITA,2,1360.5657959,1951-10-01,1951-10-07
None,Monza,ITA,2,1366.88134766,1951-10-08,1951-10-14
None,Monza,ITA,2,1374.47607422,1951-10-15,1951-10-21
None,Monza,ITA,2,1381.0456543,1951-10-22,1951-10-28
None,Monza,ITA,2,1387.28942871,1951-10-29,1951-11-04
None,Monza,ITA,2,1400.07666016,1951-11-05,1951-11-18
None,Monza,ITA,2,1395.20678711,1951-11-19,1951-12-02
None,Monza,ITA,2,1400.23046875,1951-12-03,1951-12-09
None,Monza,ITA,2,1389.52258301,1951-12-10,1951-12-16
None,Monza,ITA,2,1386.33666992,1951-12-17,1951-12-23
None,Monza,ITA,2,1373.73815918,1951-12-24,1951-12-30
None,Monza,ITA,2,1369.92834473,1951-12-31,1952-01-06
None,Monza,ITA,2,1363.88989258,1952-01-07,1952-01-13
None,Monza,ITA,2,1361.02001953,1952-01-14,1952-01-20
None,Monza,ITA,2,1360.27380371,1952-01-21,1952-01-27
None,Monza,ITA,2,1357.30297852,1952-01-28,1952-02-03
None,Monza,ITA,2,1366.77172852,1952-02-04,1952-02-10
None,Monza,ITA,2,1354.56079102,1952-02-11,1952-02-17
None,Monza,ITA,2,1359.55664062,1952-02-18,1952-03-02
None,Monza,ITA,2,1356.80126953,1952-03-03,1952-03-09
None,Monza,ITA,2,1363.39416504,1952-03-10,1952-03-16
None,Monza,ITA,2,1359.0267334,1952-03-17,1952-03-23
None,Monza,ITA,2,1365.01867676,1952-03-24,1952-03-30
None,Monza,ITA,2,1360.47705078,1952-03-31,1952-04-06
None,Monza,ITA,2,1367.31982422,1952-04-07,1952-04-13
None,Monza,ITA,2,1360.37036133,1952-04-14,1952-04-20
None,Monza,ITA,2,1357.62731934,1952-04-21,1952-04-27
None,Monza,ITA,2,1356.15039062,1952-04-28,1952-05-04
None,Monza,ITA,2,1363.43103027,1952-05-05,1952-05-11
None,Monza,ITA,2,1370.29943848,1952-05-12,1952-05-25
None,Monza,ITA,2,1375.73144531,1952-05-26,1952-06-01
None,Monza,ITA,2,1381.92602539,1952-06-02,1952-06-08
None,Monza,ITA,2,1387.38439941,1952-06-09,1952-06-15
None,Monza,ITA,2,1393.35534668,1952-06-16,1952-06-22
None,Monza,ITA,2,1398.40087891,1952-06-23,1952-06-26
None,Monza,ITA,2,1367.6105957,1952-06-27,1952-06-28
None,Monza,ITA,2,1375.54882812,1952-06-29,1952-09-14
None,Monza,ITA,2,1387.83557129,1952-09-15,1952-09-21
None,Monza,ITA,2,1385.24194336,1952-09-22,1952-09-28
None,Monza,ITA,2,1400.05432129,1952-09-29,1952-10-05
None,Monza,ITA,2,1405.09570312,1952-10-06,1952-10-12
None,Monza,ITA,2,1403.20361328,1952-10-13,1952-10-19
None,Monza,ITA,2,1398.45654297,1952-10-20,1952-11-02
None,Monza,ITA,2,1395.4074707,1952-11-03,1952-11-09
None,Monza,ITA,2,1414.7376709,1952-11-10,1952-11-16
None,Monza,ITA,2,1410.82958984,1952-11-17,1952-11-23
None,Monza,ITA,2,1406.1541748,1952-11-24,1952-11-30
None,Monza,ITA,2,1402.71069336,1952-12-01,1952-12-07
None,Monza,ITA,2,1407.31787109,1952-12-08,1952-12-14
None,Monza,ITA,2,1400.66369629,1952-12-15,1952-12-21
None,Monza,ITA,2,1397.71923828,1952-12-22,1953-01-04
None,Monza,ITA,2,1402.1628418,1953-01-05,1953-01-11
None,Monza,ITA,2,1396.83312988,1953-01-12,1953-01-18
None,Monza,ITA,2,1403.80358887,1953-01-19,1953-01-25
None,Monza,ITA,2,1408.16345215,1953-01-26,1953-02-01
None,Monza,ITA,2,1402.18688965,1953-02-02,1953-02-08
None,Monza,ITA,2,1392.20605469,1953-02-09,1953-02-15
None,Monza,ITA,2,1409.92565918,1953-02-16,1953-02-22
None,Monza,ITA,2,1414.88586426,1953-02-23,1953-03-01
None,Monza,ITA,2,1419.50415039,1953-03-02,1953-03-08
None,Monza,ITA,2,1415.35595703,1953-03-09,1953-03-15
None,Monza,ITA,2,1423.2208252,1953-03-16,1953-03-22
None,Monza,ITA,2,1435.58508301,1953-03-23,1953-03-29
None,Monza,ITA,2,1440.64416504,1953-03-30,1953-04-05
None,Monza,ITA,2,1449.5904541,1953-04-06,1953-04-12
None,Monza,ITA,2,1453.65869141,1953-04-13,1953-04-19
None,Monza,ITA,2,1457.28466797,1953-04-20,1953-05-03
None,Monza,ITA,2,1446.56420898,1953-05-04,1953-05-10
None,Monza,ITA,2,1441.76391602,1953-05-11,1953-05-24
None,Monza,ITA,2,1438.81994629,1953-05-25,1953-05-31
None,Monza,ITA,2,1441.8795166,1953-06-01,1953-06-04
None,Monza,ITA,2,1452.20959473,1953-06-05,1953-06-07
None,Monza,ITA,2,1416.28015137,1953-06-08,1953-09-13
None,Monza,ITA,2,1427.31347656,1953-09-14,1953-09-20
None,Monza,ITA,2,1423.71923828,1953-09-21,1953-09-27
None,Monza,ITA,2,1428.44128418,1953-09-28,1953-10-04
None,Monza,ITA,2,1433.45202637,1953-10-05,1953-10-11
None,Monza,ITA,2,1436.54321289,1953-10-12,1953-10-18
None,Monza,ITA,2,1440.04504395,1953-10-19,1953-10-25
None,Monza,ITA,2,1443.00537109,1953-10-26,1953-11-01
None,Monza,ITA,2,1447.10986328,1953-11-02,1953-11-08
None,Monza,ITA,2,1440.04907227,1953-11-09,1953-11-22
None,Monza,ITA,2,1447.7947998,1953-11-23,1953-11-29
None,Monza,ITA,2,1442.0168457,1953-11-30,1953-12-06
None,Monza,ITA,2,1432.46679688,1953-12-07,1953-12-20
