Rank,Club,Country,Level,Elo,From,To
None,Nancy,FRA,1,1435.18823242,1970-07-01,1970-08-12
None,Nancy,FRA,1,1423.83129883,1970-08-13,1970-08-19
None,Nancy,FRA,1,1420.23583984,1970-08-20,1970-08-22
None,Nancy,FRA,1,1411.90881348,1970-08-23,1970-08-26
None,Nancy,FRA,1,1408.96777344,1970-08-27,1970-08-29
None,Nancy,FRA,1,1416.2520752,1970-08-30,1970-09-09
None,Nancy,FRA,1,1420.37866211,1970-09-10,1970-09-16
None,Nancy,FRA,1,1415.19152832,1970-09-17,1970-09-19
None,Nancy,FRA,1,1428.02734375,1970-09-20,1970-09-23
None,Nancy,FRA,1,1423.88977051,1970-09-24,1970-09-29
None,Nancy,FRA,1,1423.27807617,1970-09-30,1970-09-30
None,Nancy,FRA,1,1423.44287109,1970-10-01,1970-10-03
None,Nancy,FRA,1,1422.75866699,1970-10-04,1970-10-10
None,Nancy,FRA,1,1438.8269043,1970-10-11,1970-10-12
None,Nancy,FRA,1,1435.30883789,1970-10-13,1970-10-21
None,Nancy,FRA,1,1423.47473145,1970-10-22,1970-10-24
None,Nancy,FRA,1,1416.55541992,1970-10-25,1970-10-28
None,Nancy,FRA,1,1413.25195312,1970-10-29,1970-11-04
None,Nancy,FRA,1,1410.04956055,1970-11-05,1970-11-18
None,Nancy,FRA,1,1422.60290527,1970-11-19,1970-11-22
None,Nancy,FRA,1,1418.42089844,1970-11-23,1970-11-29
None,Nancy,FRA,1,1436.38671875,1970-11-30,1970-12-05
None,Nancy,FRA,1,1444.64123535,1970-12-06,1970-12-13
None,Nancy,FRA,1,1442.37243652,1970-12-14,1970-12-20
None,Nancy,FRA,1,1448.55041504,1970-12-21,1971-01-30
None,Nancy,FRA,1,1437.1036377,1971-01-31,1971-02-14
None,Nancy,FRA,1,1427.63439941,1971-02-15,1971-02-20
None,Nancy,FRA,1,1433.20019531,1971-02-21,1971-03-06
None,Nancy,FRA,1,1429.81176758,1971-03-07,1971-03-10
None,Nancy,FRA,1,1412.06604004,1971-03-11,1971-03-19
None,Nancy,FRA,1,1409.19885254,1971-03-20,1971-03-24
None,Nancy,FRA,1,1406.77099609,1971-03-25,1971-03-28
None,Nancy,FRA,1,1412.7479248,1971-03-29,1971-04-14
None,Nancy,FRA,1,1419.38989258,1971-04-15,1971-04-17
None,Nancy,FRA,1,1415.55810547,1971-04-18,1971-04-27
None,Nancy,FRA,1,1419.96838379,1971-04-28,1971-05-08
None,Nancy,FRA,1,1434.22570801,1971-05-09,1971-05-15
None,Nancy,FRA,1,1432.89245605,1971-05-16,1971-05-18
None,Nancy,FRA,1,1425.48986816,1971-05-19,1971-05-21
None,Nancy,FRA,1,1430.10864258,1971-05-22,1971-06-04
None,Nancy,FRA,1,1427.01806641,1971-06-05,1971-06-11
None,Nancy,FRA,1,1429.64672852,1971-06-12,1971-06-19
None,Nancy,FRA,1,1433.81982422,1971-06-20,1971-06-26
None,Nancy,FRA,1,1441.9251709,1971-06-27,1971-08-11
None,Nancy,FRA,1,1439.05297852,1971-08-12,1971-08-18
None,Nancy,FRA,1,1435.16235352,1971-08-19,1971-08-25
None,Nancy,FRA,1,1423.80163574,1971-08-26,1971-08-28
None,Nancy,FRA,1,1436.99035645,1971-08-29,1971-09-01
None,Nancy,FRA,1,1445.31091309,1971-09-02,1971-09-10
None,Nancy,FRA,1,1441.11779785,1971-09-11,1971-09-14
None,Nancy,FRA,1,1441.18347168,1971-09-15,1971-09-15
None,Nancy,FRA,1,1445.68664551,1971-09-16,1971-09-18
None,Nancy,FRA,1,1440.04846191,1971-09-19,1971-09-22
None,Nancy,FRA,1,1434.34362793,1971-09-23,1971-09-28
None,Nancy,FRA,1,1426.22717285,1971-09-29,1971-09-29
None,Nancy,FRA,1,1435.61853027,1971-09-30,1971-10-01
None,Nancy,FRA,1,1441.32067871,1971-10-02,1971-10-13
None,Nancy,FRA,1,1438.01782227,1971-10-14,1971-10-16
None,Nancy,FRA,1,1442.38122559,1971-10-17,1971-10-20
None,Nancy,FRA,1,1438.24536133,1971-10-21,1971-10-22
None,Nancy,FRA,1,1432.34228516,1971-10-23,1971-10-29
None,Nancy,FRA,1,1435.46594238,1971-10-30,1971-11-02
None,Nancy,FRA,1,1434.33886719,1971-11-03,1971-11-03
None,Nancy,FRA,1,1433.35168457,1971-11-04,1971-11-13
None,Nancy,FRA,1,1439.09179688,1971-11-14,1971-11-17
None,Nancy,FRA,1,1460.4675293,1971-11-18,1971-11-21
None,Nancy,FRA,1,1466.08557129,1971-11-22,1971-11-27
None,Nancy,FRA,1,1471.96936035,1971-11-28,1971-12-12
None,Nancy,FRA,1,1478.35681152,1971-12-13,1971-12-19
None,Nancy,FRA,1,1479.81921387,1971-12-20,1972-01-08
None,Nancy,FRA,1,1476.33374023,1972-01-09,1972-01-16
None,Nancy,FRA,1,1493.33862305,1972-01-17,1972-01-30
None,Nancy,FRA,1,1488.54467773,1972-01-31,1972-02-05
None,Nancy,FRA,1,1478.87988281,1972-02-06,1972-02-12
None,Nancy,FRA,1,1475.64440918,1972-02-13,1972-02-27
None,Nancy,FRA,1,1482.76184082,1972-02-28,1972-03-04
None,Nancy,FRA,1,1489.97680664,1972-03-05,1972-03-15
None,Nancy,FRA,1,1493.8269043,1972-03-16,1972-03-24
None,Nancy,FRA,1,1498.71337891,1972-03-25,1972-03-29
None,Nancy,FRA,1,1499.46386719,1972-03-30,1972-04-01
None,Nancy,FRA,1,1505.00964355,1972-04-02,1972-04-12
None,Nancy,FRA,1,1498.46923828,1972-04-13,1972-04-21
None,Nancy,FRA,1,1493.14990234,1972-04-22,1972-04-28
None,Nancy,FRA,1,1502.61889648,1972-04-29,1972-05-03
None,Nancy,FRA,1,1495.34008789,1972-05-04,1972-05-06
None,Nancy,FRA,1,1486.42138672,1972-05-07,1972-05-17
None,Nancy,FRA,1,1490.98791504,1972-05-18,1972-05-20
None,Nancy,FRA,1,1493.5345459,1972-05-21,1972-05-26
None,Nancy,FRA,1,1487.25830078,1972-05-27,1972-08-09
None,Nancy,FRA,1,1481.27819824,1972-08-10,1972-08-16
None,Nancy,FRA,1,1491.62060547,1972-08-17,1972-08-23
None,Nancy,FRA,1,1489.16101074,1972-08-24,1972-08-26
None,Nancy,FRA,1,1479.34997559,1972-08-27,1972-09-06
None,Nancy,FRA,1,1485.18566895,1972-09-07,1972-09-13
None,Nancy,FRA,1,1447.57727051,1972-09-14,1972-09-14
None,Nancy,FRA,1,1447.0892334,1972-09-15,1972-09-15
None,Nancy,FRA,1,1451.01940918,1972-09-16,1972-09-20
None,Nancy,FRA,1,1460.18969727,1972-09-21,1972-09-26
None,Nancy,FRA,1,1458.96789551,1972-09-27,1972-09-27
None,Nancy,FRA,1,1445.83544922,1972-09-28,1972-09-29
None,Nancy,FRA,1,1442.83215332,1972-09-30,1972-10-04
None,Nancy,FRA,1,1424.95715332,1972-10-05,1972-10-07
None,Nancy,FRA,1,1433.88769531,1972-10-08,1972-10-17
None,Nancy,FRA,1,1437.44458008,1972-10-18,1972-10-20
None,Nancy,FRA,1,1441.55847168,1972-10-21,1972-10-27
None,Nancy,FRA,1,1445.62304688,1972-10-28,1972-11-01
None,Nancy,FRA,1,1447.25036621,1972-11-02,1972-11-18
None,Nancy,FRA,1,1458.20373535,1972-11-19,1972-11-25
None,Nancy,FRA,1,1454.34741211,1972-11-26,1972-12-09
None,Nancy,FRA,1,1458.38549805,1972-12-10,1972-12-16
None,Nancy,FRA,1,1462.94763184,1972-12-17,1973-01-07
None,Nancy,FRA,1,1457.02441406,1973-01-08,1973-01-14
None,Nancy,FRA,1,1453.86962891,1973-01-15,1973-01-21
None,Nancy,FRA,1,1460.95812988,1973-01-22,1973-02-04
None,Nancy,FRA,1,1471.12316895,1973-02-05,1973-02-11
None,Nancy,FRA,1,1476.85217285,1973-02-12,1973-02-25
None,Nancy,FRA,1,1482.97021484,1973-02-26,1973-03-09
None,Nancy,FRA,1,1476.45898438,1973-03-10,1973-03-17
None,Nancy,FRA,1,1487.76391602,1973-03-18,1973-03-23
None,Nancy,FRA,1,1481.48486328,1973-03-24,1973-03-27
None,Nancy,FRA,1,1484.04980469,1973-03-28,1973-03-31
None,Nancy,FRA,1,1483.60644531,1973-04-01,1973-04-06
None,Nancy,FRA,1,1479.52453613,1973-04-07,1973-04-10
None,Nancy,FRA,1,1470.19641113,1973-04-11,1973-04-20
None,Nancy,FRA,1,1472.8170166,1973-04-21,1973-04-27
None,Nancy,FRA,1,1468.8626709,1973-04-28,1973-05-01
None,Nancy,FRA,1,1474.41833496,1973-05-02,1973-05-05
None,Nancy,FRA,1,1467.21887207,1973-05-06,1973-05-11
None,Nancy,FRA,1,1473.64440918,1973-05-12,1973-05-29
None,Nancy,FRA,1,1466.42578125,1973-05-30,1973-06-02
None,Nancy,FRA,1,1453.39038086,1973-06-03,1973-08-07
None,Nancy,FRA,1,1443.35949707,1973-08-08,1973-08-10
None,Nancy,FRA,1,1449.75622559,1973-08-11,1973-08-14
None,Nancy,FRA,1,1443.16149902,1973-08-15,1973-08-17
None,Nancy,FRA,1,1439.18994141,1973-08-18,1973-08-24
None,Nancy,FRA,1,1445.13659668,1973-08-25,1973-09-01
None,Nancy,FRA,1,1433.32177734,1973-09-02,1973-09-12
None,Nancy,FRA,1,1434.61621094,1973-09-13,1973-09-18
None,Nancy,FRA,1,1434.93383789,1973-09-19,1973-09-19
None,Nancy,FRA,1,1454.55749512,1973-09-20,1973-09-22
None,Nancy,FRA,1,1449.77233887,1973-09-23,1973-09-25
None,Nancy,FRA,1,1453.23095703,1973-09-26,1973-10-03
None,Nancy,FRA,1,1435.17944336,1973-10-04,1973-10-06
None,Nancy,FRA,1,1441.91491699,1973-10-07,1973-10-17
None,Nancy,FRA,1,1438.0645752,1973-10-18,1973-10-23
None,Nancy,FRA,1,1444.51428223,1973-10-24,1973-10-24
None,Nancy,FRA,1,1449.64782715,1973-10-25,1973-10-27
None,Nancy,FRA,1,1454.28747559,1973-10-28,1973-10-30
None,Nancy,FRA,1,1457.99584961,1973-10-31,1973-11-02
None,Nancy,FRA,1,1455.08837891,1973-11-03,1973-11-06
None,Nancy,FRA,1,1444.27209473,1973-11-07,1973-11-07
None,Nancy,FRA,1,1436.18237305,1973-11-08,1973-11-10
None,Nancy,FRA,1,1429.19470215,1973-11-11,1973-11-16
None,Nancy,FRA,1,1435.5513916,1973-11-17,1973-11-28
None,Nancy,FRA,1,1437.24829102,1973-11-29,1973-12-02
None,Nancy,FRA,1,1424.74072266,1973-12-03,1973-12-09
None,Nancy,FRA,1,1426.98120117,1973-12-10,1973-12-12
None,Nancy,FRA,1,1421.43725586,1973-12-13,1973-12-16
None,Nancy,FRA,1,1426.59631348,1973-12-17,1973-12-22
None,Nancy,FRA,1,1422.12646484,1973-12-23,1974-01-06
None,Nancy,FRA,1,1425.8770752,1974-01-07,1974-01-13
None,Nancy,FRA,1,1438.09680176,1974-01-14,1974-01-20
None,Nancy,FRA,1,1434.5567627,1974-01-21,1974-01-27
None,Nancy,FRA,1,1426.4395752,1974-01-28,1974-02-10
None,Nancy,FRA,1,1429.20776367,1974-02-11,1974-02-17
None,Nancy,FRA,1,1421.93139648,1974-02-18,1974-02-23
None,Nancy,FRA,1,1425.97106934,1974-02-24,1974-03-13
None,Nancy,FRA,1,1432.75183105,1974-03-14,1974-03-16
None,Nancy,FRA,1,1414.77026367,1974-03-17,1974-03-26
None,Nancy,FRA,1,1409.40576172,1974-03-27,1974-04-09
None,Nancy,FRA,1,1391.37780762,1974-04-10,1974-04-12
None,Nancy,FRA,1,1388.16418457,1974-04-13,1974-04-16
None,Nancy,FRA,1,1388.34545898,1974-04-17,1974-04-19
None,Nancy,FRA,1,1378.9744873,1974-04-20,1974-04-30
None,Nancy,FRA,1,1372.14526367,1974-05-01,1974-05-11
None,Nancy,FRA,1,1367.78405762,1974-05-12,1974-05-22
None,Nancy,FRA,1,1377.78271484,1974-05-23,1974-05-25
None,Nancy,FRA,1,1386.98413086,1974-05-26,1974-07-05
None,Nancy,FRA,1,1369.42700195,1975-07-02,1975-08-07
None,Nancy,FRA,1,1364.94396973,1975-08-08,1975-08-13
None,Nancy,FRA,1,1360.03186035,1975-08-14,1975-08-22
None,Nancy,FRA,1,1346.0949707,1975-08-23,1975-08-27
None,Nancy,FRA,1,1358.11474609,1975-08-28,1975-09-09
None,Nancy,FRA,1,1357.81103516,1975-09-10,1975-09-12
None,Nancy,FRA,1,1379.52429199,1975-09-13,1975-09-17
None,Nancy,FRA,1,1378.06262207,1975-09-18,1975-09-19
