Rank,Club,Country,Level,Elo,From,To
None,Novara,ITA,2,1529.72741699,1947-09-14,1947-09-14
None,Novara,ITA,2,1538.32946777,1947-09-15,1947-09-21
None,Novara,ITA,2,1548.38500977,1947-09-22,1947-09-28
None,Novara,ITA,2,1558.84765625,1947-09-29,1947-10-05
None,Novara,ITA,2,1563.4074707,1947-10-06,1947-10-12
None,Novara,ITA,2,1565.73852539,1947-10-13,1947-10-19
None,Novara,ITA,2,1571.40771484,1947-10-20,1947-10-26
None,Novara,ITA,2,1577.43237305,1947-10-27,1947-11-02
None,Novara,ITA,2,1583.99182129,1947-11-03,1947-11-15
None,Novara,ITA,2,1554.99182129,1947-11-16,1947-11-16
None,Novara,ITA,2,1558.10766602,1947-11-17,1947-11-23
None,Novara,ITA,2,1578.50219727,1947-11-24,1947-11-30
None,Novara,ITA,2,1582.11169434,1947-12-01,1947-12-07
None,Novara,ITA,2,1592.73779297,1947-12-08,1947-12-18
None,Novara,ITA,2,1596.73779297,1947-12-19,1947-12-21
None,Novara,ITA,2,1599.87341309,1947-12-22,1947-12-28
None,Novara,ITA,2,1605.1973877,1947-12-29,1948-01-04
None,Novara,ITA,2,1595.38879395,1948-01-05,1948-01-11
None,Novara,ITA,2,1589.09472656,1948-01-12,1948-01-18
None,Novara,ITA,2,1585.13964844,1948-01-19,1948-02-15
None,Novara,ITA,2,1584.41052246,1948-02-16,1948-02-22
None,Novara,ITA,2,1586.44689941,1948-02-23,1948-02-29
None,Novara,ITA,2,1573.37084961,1948-03-01,1948-03-07
None,Novara,ITA,2,1590.88122559,1948-03-08,1948-03-14
None,Novara,ITA,2,1595.01416016,1948-03-15,1948-03-21
None,Novara,ITA,2,1587.69274902,1948-03-22,1948-03-28
None,Novara,ITA,2,1589.83312988,1948-03-29,1948-04-05
None,Novara,ITA,2,1595.83312988,1948-04-06,1948-04-11
None,Novara,ITA,2,1601.74841309,1948-04-12,1948-04-17
None,Novara,ITA,2,1603.56994629,1948-04-18,1948-04-25
None,Novara,ITA,2,1608.6706543,1948-04-26,1948-05-02
None,Novara,ITA,2,1621.96496582,1948-05-03,1948-05-09
None,Novara,ITA,2,1624.07800293,1948-05-10,1948-05-17
None,Novara,ITA,2,1597.07800293,1948-05-18,1948-05-23
None,Novara,ITA,2,1597.17553711,1948-05-24,1948-05-30
None,Novara,ITA,2,1590.47290039,1948-05-31,1948-06-06
None,Novara,ITA,2,1576.7253418,1948-06-07,1948-06-13
None,Novara,ITA,2,1571.46557617,1948-06-14,1948-06-20
None,Novara,ITA,2,1563.2454834,1948-06-21,1948-07-04
None,Novara,ITA,1,1563.2454834,1948-07-05,1948-09-19
None,Novara,ITA,1,1573.79223633,1948-09-20,1948-09-26
None,Novara,ITA,1,1567.83312988,1948-09-27,1948-10-03
None,Novara,ITA,1,1574.79296875,1948-10-04,1948-10-10
None,Novara,ITA,1,1577.73693848,1948-10-11,1948-10-17
None,Novara,ITA,1,1573.33325195,1948-10-18,1948-10-24
None,Novara,ITA,1,1571.05419922,1948-10-25,1948-10-31
None,Novara,ITA,1,1576.95288086,1948-11-01,1948-11-04
None,Novara,ITA,1,1567.74072266,1948-11-05,1948-11-07
None,Novara,ITA,1,1571.55517578,1948-11-08,1948-11-14
None,Novara,ITA,1,1568.48193359,1948-11-15,1948-11-21
None,Novara,ITA,1,1564.02233887,1948-11-22,1948-11-28
None,Novara,ITA,1,1556.76525879,1948-11-29,1948-12-05
None,Novara,ITA,1,1563.87573242,1948-12-06,1948-12-08
None,Novara,ITA,1,1560.10461426,1948-12-09,1948-12-12
None,Novara,ITA,1,1554.58874512,1948-12-13,1948-12-19
None,Novara,ITA,1,1546.72595215,1948-12-20,1948-12-26
None,Novara,ITA,1,1541.04394531,1948-12-27,1949-01-06
None,Novara,ITA,1,1538.3614502,1949-01-07,1949-01-09
None,Novara,ITA,1,1534.31591797,1949-01-10,1949-01-16
None,Novara,ITA,1,1535.27880859,1949-01-17,1949-01-23
None,Novara,ITA,1,1542.14575195,1949-01-24,1949-01-30
None,Novara,ITA,1,1538.58251953,1949-01-31,1949-02-03
None,Novara,ITA,1,1539.51965332,1949-02-04,1949-02-06
None,Novara,ITA,1,1548.35827637,1949-02-07,1949-02-13
None,Novara,ITA,1,1545.45690918,1949-02-14,1949-02-20
None,Novara,ITA,1,1557.79711914,1949-02-21,1949-03-05
