Rank,Club,Country,Level,Elo,From,To
None,Numancia,ESP,2,1381.28393555,1997-07-01,1997-08-13
None,Numancia,ESP,2,1381.0802002,1997-08-14,1997-08-27
None,Numancia,ESP,2,1381.3157959,1997-08-28,1997-08-31
None,Numancia,ESP,2,1387.17651367,1997-09-01,1997-09-07
None,Numancia,ESP,2,1383.91320801,1997-09-08,1997-09-14
None,Numancia,ESP,2,1374.96984863,1997-09-15,1997-09-16
None,Numancia,ESP,2,1376.37194824,1997-09-17,1997-09-17
None,Numancia,ESP,2,1374.41662598,1997-09-18,1997-09-18
None,Numancia,ESP,2,1374.77783203,1997-09-19,1997-09-21
None,Numancia,ESP,2,1386.20043945,1997-09-22,1997-09-28
None,Numancia,ESP,2,1387.72705078,1997-09-29,1997-09-30
None,Numancia,ESP,2,1397.26086426,1997-10-01,1997-10-01
None,Numancia,ESP,2,1400.57617188,1997-10-02,1997-10-02
None,Numancia,ESP,2,1400.78149414,1997-10-03,1997-10-05
None,Numancia,ESP,2,1404.50976562,1997-10-06,1997-10-12
None,Numancia,ESP,2,1412.39526367,1997-10-13,1997-10-15
None,Numancia,ESP,2,1408.66992188,1997-10-16,1997-10-19
None,Numancia,ESP,2,1412.11193848,1997-10-20,1997-10-21
None,Numancia,ESP,2,1407.57165527,1997-10-22,1997-10-22
None,Numancia,ESP,2,1400.22912598,1997-10-23,1997-10-23
None,Numancia,ESP,2,1401.16711426,1997-10-24,1997-10-25
None,Numancia,ESP,2,1397.23217773,1997-10-26,1997-11-02
None,Numancia,ESP,2,1397.58361816,1997-11-03,1997-11-04
None,Numancia,ESP,2,1389.36096191,1997-11-05,1997-11-05
None,Numancia,ESP,2,1375.70825195,1997-11-06,1997-11-06
None,Numancia,ESP,2,1376.10107422,1997-11-07,1997-11-08
None,Numancia,ESP,2,1368.16577148,1997-11-09,1997-11-12
None,Numancia,ESP,2,1368.09777832,1997-11-13,1997-11-16
None,Numancia,ESP,2,1361.40869141,1997-11-17,1997-11-23
None,Numancia,ESP,2,1350.96862793,1997-11-24,1997-11-25
None,Numancia,ESP,2,1352.86682129,1997-11-26,1997-11-26
None,Numancia,ESP,2,1354.3704834,1997-11-27,1997-11-27
None,Numancia,ESP,2,1349.65600586,1997-11-28,1997-11-29
None,Numancia,ESP,2,1354.18029785,1997-11-30,1997-12-07
None,Numancia,ESP,2,1363.04785156,1997-12-08,1997-12-09
None,Numancia,ESP,2,1364.80895996,1997-12-10,1997-12-10
None,Numancia,ESP,2,1368.85595703,1997-12-11,1997-12-14
None,Numancia,ESP,2,1362.56286621,1997-12-15,1997-12-17
None,Numancia,ESP,2,1362.83947754,1997-12-18,1997-12-21
None,Numancia,ESP,2,1360.3449707,1997-12-22,1998-01-04
None,Numancia,ESP,2,1374.13293457,1998-01-05,1998-01-11
None,Numancia,ESP,2,1364.14282227,1998-01-12,1998-01-17
None,Numancia,ESP,2,1358.4407959,1998-01-18,1998-01-25
None,Numancia,ESP,2,1365.44384766,1998-01-26,1998-02-01
None,Numancia,ESP,2,1357.19592285,1998-02-02,1998-02-08
None,Numancia,ESP,2,1363.14770508,1998-02-09,1998-02-15
