Rank,Club,Country,Level,Elo,From,To
None,Osasuna,ESP,1,1427.42028809,1953-07-01,1953-09-13
None,Osasuna,ESP,1,1426.33361816,1953-09-14,1953-09-20
None,Osasuna,ESP,1,1417.71179199,1953-09-21,1953-09-27
None,Osasuna,ESP,1,1424.9979248,1953-09-28,1953-10-04
None,Osasuna,ESP,1,1421.64099121,1953-10-05,1953-10-11
None,Osasuna,ESP,1,1409.78601074,1953-10-12,1953-10-18
None,Osasuna,ESP,1,1407.61560059,1953-10-19,1953-10-25
None,Osasuna,ESP,1,1415.33435059,1953-10-26,1953-11-01
None,Osasuna,ESP,1,1414.92028809,1953-11-02,1953-11-15
None,Osasuna,ESP,1,1423.27172852,1953-11-16,1953-11-22
None,Osasuna,ESP,1,1420.69665527,1953-11-23,1953-11-29
None,Osasuna,ESP,1,1426.04406738,1953-11-30,1953-12-06
None,Osasuna,ESP,1,1424.50549316,1953-12-07,1953-12-13
None,Osasuna,ESP,1,1429.53552246,1953-12-14,1953-12-20
None,Osasuna,ESP,1,1425.56445312,1953-12-21,1953-12-27
None,Osasuna,ESP,1,1426.31933594,1953-12-28,1954-01-10
None,Osasuna,ESP,1,1428.37438965,1954-01-11,1954-01-17
None,Osasuna,ESP,1,1427.00512695,1954-01-18,1954-01-24
None,Osasuna,ESP,1,1443.27355957,1954-01-25,1954-01-31
None,Osasuna,ESP,1,1448.14892578,1954-02-01,1954-02-09
None,Osasuna,ESP,1,1443.03186035,1954-02-10,1954-02-14
None,Osasuna,ESP,1,1447.25756836,1954-02-15,1954-02-21
None,Osasuna,ESP,1,1446.01208496,1954-02-22,1954-02-28
None,Osasuna,ESP,1,1456.27990723,1954-03-01,1954-03-07
None,Osasuna,ESP,1,1453.45129395,1954-03-08,1954-03-21
None,Osasuna,ESP,1,1458.30432129,1954-03-22,1954-03-28
None,Osasuna,ESP,1,1453.67822266,1954-03-29,1954-04-04
None,Osasuna,ESP,1,1462.19042969,1954-04-05,1954-04-11
None,Osasuna,ESP,1,1474.73022461,1954-04-12,1954-04-18
None,Osasuna,ESP,1,1470.99438477,1954-04-19,1954-04-25
None,Osasuna,ESP,1,1478.82067871,1954-04-26,1954-07-01
None,Osasuna,ESP,1,1490.27832031,1956-07-01,1956-07-03
None,Osasuna,ESP,1,1471.9119873,1956-07-04,1956-09-09
None,Osasuna,ESP,1,1471.29748535,1956-09-10,1956-09-16
None,Osasuna,ESP,1,1460.70654297,1956-09-17,1956-09-20
None,Osasuna,ESP,1,1463.53710938,1956-09-21,1956-09-23
None,Osasuna,ESP,1,1461.48095703,1956-09-24,1956-09-26
None,Osasuna,ESP,1,1461.65649414,1956-09-27,1956-09-30
None,Osasuna,ESP,1,1477.65393066,1956-10-01,1956-10-07
None,Osasuna,ESP,1,1496.09265137,1956-10-08,1956-10-14
None,Osasuna,ESP,1,1499.79980469,1956-10-15,1956-10-20
None,Osasuna,ESP,1,1504.89440918,1956-10-21,1956-10-28
None,Osasuna,ESP,1,1515.3581543,1956-10-29,1956-11-01
None,Osasuna,ESP,1,1515.87561035,1956-11-02,1956-11-04
None,Osasuna,ESP,1,1514.29846191,1956-11-05,1956-11-11
None,Osasuna,ESP,1,1520.38879395,1956-11-12,1956-11-14
None,Osasuna,ESP,1,1519.8873291,1956-11-15,1956-11-18
