Rank,Club,Country,Level,Elo,From,To
None,Paris FC,FRA,1,1431.1151123,1972-07-01,1972-08-09
None,Paris FC,FRA,1,1437.09521484,1972-08-10,1972-08-16
None,Paris FC,FRA,1,1432.98010254,1972-08-17,1972-08-23
None,Paris FC,FRA,1,1428.42602539,1972-08-24,1972-08-26
None,Paris FC,FRA,1,1424.92028809,1972-08-27,1972-09-06
None,Paris FC,FRA,1,1417.96228027,1972-09-07,1972-09-13
None,Paris FC,FRA,1,1380.35400391,1972-09-14,1972-09-14
None,Paris FC,FRA,1,1379.8659668,1972-09-15,1972-09-15
None,Paris FC,FRA,1,1392.37719727,1972-09-16,1972-09-20
None,Paris FC,FRA,1,1388.47973633,1972-09-21,1972-09-26
None,Paris FC,FRA,1,1387.25793457,1972-09-27,1972-09-27
None,Paris FC,FRA,1,1374.12548828,1972-09-28,1972-09-29
None,Paris FC,FRA,1,1377.41796875,1972-09-30,1972-10-04
None,Paris FC,FRA,1,1384.39746094,1972-10-05,1972-10-07
None,Paris FC,FRA,1,1379.26330566,1972-10-08,1972-10-17
None,Paris FC,FRA,1,1365.78381348,1972-10-18,1972-10-20
None,Paris FC,FRA,1,1363.43200684,1972-10-21,1972-10-27
None,Paris FC,FRA,1,1359.89758301,1972-10-28,1972-11-01
None,Paris FC,FRA,1,1356.68823242,1972-11-02,1972-11-18
None,Paris FC,FRA,1,1347.35339355,1972-11-19,1972-11-25
None,Paris FC,FRA,1,1340.71520996,1972-11-26,1972-12-09
None,Paris FC,FRA,1,1337.99304199,1972-12-10,1972-12-16
None,Paris FC,FRA,1,1353.16467285,1972-12-17,1973-01-07
None,Paris FC,FRA,1,1346.5838623,1973-01-08,1973-01-14
None,Paris FC,FRA,1,1344.11535645,1973-01-15,1973-01-21
None,Paris FC,FRA,1,1345.23132324,1973-01-22,1973-02-04
None,Paris FC,FRA,1,1353.22070312,1973-02-05,1973-02-11
None,Paris FC,FRA,1,1358.8572998,1973-02-12,1973-02-25
None,Paris FC,FRA,1,1362.70068359,1973-02-26,1973-03-09
None,Paris FC,FRA,1,1347.92663574,1973-03-10,1973-03-17
None,Paris FC,FRA,1,1345.4465332,1973-03-18,1973-03-23
None,Paris FC,FRA,1,1357.34106445,1973-03-24,1973-03-27
None,Paris FC,FRA,1,1363.59313965,1973-03-28,1973-03-31
None,Paris FC,FRA,1,1368.63635254,1973-04-01,1973-04-06
None,Paris FC,FRA,1,1379.58544922,1973-04-07,1973-04-10
None,Paris FC,FRA,1,1371.9197998,1973-04-11,1973-04-20
None,Paris FC,FRA,1,1383.4095459,1973-04-21,1973-04-27
None,Paris FC,FRA,1,1389.30834961,1973-04-28,1973-05-01
None,Paris FC,FRA,1,1393.22509766,1973-05-02,1973-05-05
None,Paris FC,FRA,1,1405.22521973,1973-05-06,1973-05-11
None,Paris FC,FRA,1,1413.07751465,1973-05-12,1973-05-29
None,Paris FC,FRA,1,1405.5637207,1973-05-30,1973-06-02
None,Paris FC,FRA,1,1418.59912109,1973-06-03,1973-08-07
None,Paris FC,FRA,1,1423.68908691,1973-08-08,1973-08-10
None,Paris FC,FRA,1,1415.38317871,1973-08-11,1973-08-14
None,Paris FC,FRA,1,1402.46154785,1973-08-15,1973-08-17
None,Paris FC,FRA,1,1398.28869629,1973-08-18,1973-08-24
None,Paris FC,FRA,1,1407.90026855,1973-08-25,1973-09-01
None,Paris FC,FRA,1,1398.26330566,1973-09-02,1973-09-12
None,Paris FC,FRA,1,1404.6619873,1973-09-13,1973-09-18
None,Paris FC,FRA,1,1404.97961426,1973-09-19,1973-09-19
None,Paris FC,FRA,1,1424.60327148,1973-09-20,1973-09-22
None,Paris FC,FRA,1,1429.38842773,1973-09-23,1973-09-25
