Rank,Club,Country,Level,Elo,From,To
None,Reggina,ITA,2,1458.40917969,1965-07-01,1965-09-05
None,Reggina,ITA,2,1463.21228027,1965-09-06,1965-09-12
None,Reggina,ITA,2,1473.88171387,1965-09-13,1965-09-19
None,Reggina,ITA,2,1470.38574219,1965-09-20,1965-09-26
None,Reggina,ITA,2,1474.41259766,1965-09-27,1965-09-29
None,Reggina,ITA,2,1475.44262695,1965-09-30,1965-10-03
None,Reggina,ITA,2,1480.34741211,1965-10-04,1965-10-10
None,Reggina,ITA,2,1471.99401855,1965-10-11,1965-10-13
None,Reggina,ITA,2,1463.46948242,1965-10-14,1965-10-17
None,Reggina,ITA,2,1469.62756348,1965-10-18,1965-10-24
None,Reggina,ITA,2,1474.77478027,1965-10-25,1965-10-31
None,Reggina,ITA,2,1468.98742676,1965-11-01,1965-11-07
None,Reggina,ITA,2,1465.52514648,1965-11-08,1965-11-14
None,Reggina,ITA,2,1475.51123047,1965-11-15,1965-11-21
None,Reggina,ITA,2,1479.69799805,1965-11-22,1965-11-28
None,Reggina,ITA,2,1475.23474121,1965-11-29,1965-12-01
None,Reggina,ITA,2,1474.52722168,1965-12-02,1965-12-05
None,Reggina,ITA,2,1485.66064453,1965-12-06,1965-12-15
None,Reggina,ITA,2,1486.5682373,1965-12-16,1965-12-19
None,Reggina,ITA,2,1483.79663086,1965-12-20,1965-12-26
None,Reggina,ITA,2,1479.14685059,1965-12-27,1966-01-02
None,Reggina,ITA,2,1498.75256348,1966-01-03,1966-01-09
None,Reggina,ITA,2,1506.09545898,1966-01-10,1966-01-16
None,Reggina,ITA,2,1506.12927246,1966-01-17,1966-02-06
None,Reggina,ITA,2,1507.26745605,1966-02-07,1966-02-13
None,Reggina,ITA,2,1501.98693848,1966-02-14,1966-02-20
None,Reggina,ITA,2,1501.13745117,1966-02-21,1966-02-23
None,Reggina,ITA,2,1504.64379883,1966-02-24,1966-02-27
None,Reggina,ITA,2,1512.83581543,1966-02-28,1966-03-02
None,Reggina,ITA,2,1514.20446777,1966-03-03,1966-03-06
None,Reggina,ITA,2,1516.49890137,1966-03-07,1966-03-20
None,Reggina,ITA,2,1512.01342773,1966-03-21,1966-03-27
None,Reggina,ITA,2,1510.24694824,1966-03-28,1966-04-03
None,Reggina,ITA,2,1513.12646484,1966-04-04,1966-04-10
None,Reggina,ITA,2,1511.11853027,1966-04-11,1966-04-13
None,Reggina,ITA,2,1510.6060791,1966-04-14,1966-04-17
None,Reggina,ITA,2,1521.55175781,1966-04-18,1966-04-20
None,Reggina,ITA,2,1513.68005371,1966-04-21,1966-04-24
None,Reggina,ITA,2,1525.13037109,1966-04-25,1966-05-01
None,Reggina,ITA,2,1526.34643555,1966-05-02,1966-05-08
None,Reggina,ITA,2,1523.08740234,1966-05-09,1966-05-15
None,Reggina,ITA,2,1527.08105469,1966-05-16,1966-05-22
None,Reggina,ITA,2,1537.67297363,1966-05-23,1966-05-29
None,Reggina,ITA,2,1525.96362305,1966-05-30,1966-06-05
None,Reggina,ITA,2,1532.63781738,1966-06-06,1966-06-12
None,Reggina,ITA,2,1543.29504395,1966-06-13,1966-06-19
None,Reggina,ITA,2,1547.95593262,1966-06-20,1966-09-11
None,Reggina,ITA,2,1543.84533691,1966-09-12,1966-09-18
None,Reggina,ITA,2,1547.64294434,1966-09-19,1966-09-25
None,Reggina,ITA,2,1539.78613281,1966-09-26,1966-09-28
None,Reggina,ITA,2,1538.55639648,1966-09-29,1966-10-02
None,Reggina,ITA,2,1538.97509766,1966-10-03,1966-10-05
None,Reggina,ITA,2,1525.36999512,1966-10-06,1966-10-09
None,Reggina,ITA,2,1528.95654297,1966-10-10,1966-10-12
None,Reggina,ITA,2,1532.17883301,1966-10-13,1966-10-16
None,Reggina,ITA,2,1537.37841797,1966-10-17,1966-10-23
None,Reggina,ITA,2,1541.6126709,1966-10-24,1966-10-30
None,Reggina,ITA,2,1536.30834961,1966-10-31,1966-11-06
None,Reggina,ITA,2,1530.9161377,1966-11-07,1966-11-13
None,Reggina,ITA,2,1512.7052002,1966-11-14,1966-11-16
None,Reggina,ITA,2,1512.12316895,1966-11-17,1966-11-20
None,Reggina,ITA,2,1515.73071289,1966-11-21,1966-12-04
None,Reggina,ITA,2,1520.43908691,1966-12-05,1966-12-08
None,Reggina,ITA,2,1529.76831055,1966-12-09,1966-12-11
None,Reggina,ITA,2,1539.55004883,1966-12-12,1966-12-18
None,Reggina,ITA,2,1541.85461426,1966-12-19,1966-12-24
None,Reggina,ITA,2,1549.00952148,1966-12-25,1966-12-31
None,Reggina,ITA,2,1548.26416016,1967-01-01,1967-01-08
None,Reggina,ITA,2,1551.18408203,1967-01-09,1967-01-15
None,Reggina,ITA,2,1555.53479004,1967-01-16,1967-01-22
None,Reggina,ITA,2,1556.97668457,1967-01-23,1967-02-05
None,Reggina,ITA,2,1559.45288086,1967-02-06,1967-02-12
None,Reggina,ITA,2,1552.56237793,1967-02-13,1967-02-15
None,Reggina,ITA,2,1553.01623535,1967-02-16,1967-02-19
None,Reggina,ITA,2,1557.57580566,1967-02-20,1967-02-26
None,Reggina,ITA,2,1560.61706543,1967-02-27,1967-03-01
None,Reggina,ITA,2,1573.359375,1967-03-02,1967-03-05
None,Reggina,ITA,2,1566.34082031,1967-03-06,1967-03-12
None,Reggina,ITA,2,1559.92346191,1967-03-13,1967-03-19
None,Reggina,ITA,2,1556.35644531,1967-03-20,1967-03-26
None,Reggina,ITA,2,1554.28662109,1967-03-27,1967-04-09
None,Reggina,ITA,2,1546.78723145,1967-04-10,1967-04-16
None,Reggina,ITA,2,1549.52038574,1967-04-17,1967-04-19
None,Reggina,ITA,2,1546.47558594,1967-04-20,1967-04-23
None,Reggina,ITA,2,1542.78967285,1967-04-24,1967-04-26
None,Reggina,ITA,2,1545.80041504,1967-04-27,1967-04-30
None,Reggina,ITA,2,1537.38171387,1967-05-01,1967-05-03
None,Reggina,ITA,2,1538.85375977,1967-05-04,1967-05-07
None,Reggina,ITA,2,1524.34082031,1967-05-08,1967-05-14
None,Reggina,ITA,2,1521.22912598,1967-05-15,1967-05-21
None,Reggina,ITA,2,1515.47180176,1967-05-22,1967-05-25
None,Reggina,ITA,2,1508.38085938,1967-05-26,1967-05-28
None,Reggina,ITA,2,1505.92578125,1967-05-29,1967-06-04
None,Reggina,ITA,2,1512.83972168,1967-06-05,1967-06-11
None,Reggina,ITA,2,1527.36462402,1967-06-12,1967-06-18
None,Reggina,ITA,2,1523.34643555,1967-06-19,1967-09-10
None,Reggina,ITA,2,1511.06018066,1967-09-11,1967-09-17
None,Reggina,ITA,2,1518.84692383,1967-09-18,1967-09-20
None,Reggina,ITA,2,1525.18994141,1967-09-21,1967-09-24
None,Reggina,ITA,2,1520.06054688,1967-09-25,1967-10-01
None,Reggina,ITA,2,1523.97802734,1967-10-02,1967-10-08
None,Reggina,ITA,2,1532.02368164,1967-10-09,1967-10-11
None,Reggina,ITA,2,1533.80725098,1967-10-12,1967-10-15
None,Reggina,ITA,2,1540.05505371,1967-10-16,1967-10-22
