Rank,Club,Country,Level,Elo,From,To
None,Santander,ESP,1,1636.70458984,1939-10-22,1939-12-03
None,Santander,ESP,1,1629.06445312,1939-12-04,1939-12-10
None,Santander,ESP,1,1634.35534668,1939-12-11,1939-12-17
None,Santander,ESP,1,1621.73974609,1939-12-18,1939-12-24
None,Santander,ESP,1,1631.59814453,1939-12-25,1939-12-31
None,Santander,ESP,1,1621.30834961,1940-01-01,1940-01-09
None,Santander,ESP,1,1610.73913574,1940-01-10,1940-01-14
None,Santander,ESP,1,1616.6973877,1940-01-15,1940-01-24
None,Santander,ESP,1,1612.01513672,1940-01-25,1940-01-28
None,Santander,ESP,1,1619.14025879,1940-01-29,1940-02-04
None,Santander,ESP,1,1611.43908691,1940-02-05,1940-02-11
None,Santander,ESP,1,1600.87487793,1940-02-12,1940-02-18
None,Santander,ESP,1,1591.40063477,1940-02-19,1940-02-25
None,Santander,ESP,1,1587.76660156,1940-02-26,1940-03-03
None,Santander,ESP,1,1587.07434082,1940-03-04,1940-03-10
None,Santander,ESP,1,1583.09411621,1940-03-11,1940-03-17
None,Santander,ESP,1,1578.43676758,1940-03-18,1940-03-24
None,Santander,ESP,1,1590.80969238,1940-03-25,1940-03-31
None,Santander,ESP,1,1583.11047363,1940-04-01,1940-04-07
None,Santander,ESP,1,1571.2878418,1940-04-08,1940-04-14
None,Santander,ESP,1,1566.39050293,1940-04-15,1940-04-21
None,Santander,ESP,1,1572.25,1940-04-22,1940-04-28
None,Santander,ESP,1,1566.35449219,1940-04-29,1940-07-06
None,Santander,ESP,1,1462.71582031,1950-07-01,1950-09-10
None,Santander,ESP,1,1467.6550293,1950-09-11,1950-09-17
None,Santander,ESP,1,1476.01293945,1950-09-18,1950-09-24
None,Santander,ESP,1,1472.18847656,1950-09-25,1950-10-01
None,Santander,ESP,1,1478.58862305,1950-10-02,1950-10-08
None,Santander,ESP,1,1475.61413574,1950-10-09,1950-10-15
None,Santander,ESP,1,1481.54064941,1950-10-16,1950-10-22
None,Santander,ESP,1,1477.71838379,1950-10-23,1950-10-29
None,Santander,ESP,1,1478.5480957,1950-10-30,1950-11-05
None,Santander,ESP,1,1483.59594727,1950-11-06,1950-11-12
None,Santander,ESP,1,1479.07446289,1950-11-13,1950-11-19
None,Santander,ESP,1,1482.83129883,1950-11-20,1950-11-26
None,Santander,ESP,1,1478.84191895,1950-11-27,1950-12-03
None,Santander,ESP,1,1486.06140137,1950-12-04,1950-12-10
None,Santander,ESP,1,1494.09423828,1950-12-11,1950-12-17
None,Santander,ESP,1,1498.28527832,1950-12-18,1950-12-31
None,Santander,ESP,1,1501.48730469,1951-01-01,1951-01-07
None,Santander,ESP,1,1515.88708496,1951-01-08,1951-01-14
None,Santander,ESP,1,1513.91430664,1951-01-15,1951-01-21
None,Santander,ESP,1,1511.00476074,1951-01-22,1951-01-28
None,Santander,ESP,1,1518.67028809,1951-01-29,1951-02-04
None,Santander,ESP,1,1511.54162598,1951-02-05,1951-02-25
None,Santander,ESP,1,1518.68786621,1951-02-26,1951-03-04
None,Santander,ESP,1,1517.42590332,1951-03-05,1951-03-11
None,Santander,ESP,1,1515.24145508,1951-03-12,1951-03-18
None,Santander,ESP,1,1510.34387207,1951-03-19,1951-03-25
None,Santander,ESP,1,1507.67382812,1951-03-26,1951-04-01
None,Santander,ESP,1,1504.52575684,1951-04-02,1951-04-08
None,Santander,ESP,1,1519.20263672,1951-04-09,1951-04-15
None,Santander,ESP,1,1507.67749023,1951-04-16,1951-04-22
None,Santander,ESP,1,1498.95336914,1951-04-23,1951-06-20
None,Santander,ESP,1,1475.6015625,1951-06-21,1951-06-24
None,Santander,ESP,1,1499.60327148,1951-06-25,1951-09-09
None,Santander,ESP,1,1497.64123535,1951-09-10,1951-09-16
None,Santander,ESP,1,1506.41662598,1951-09-17,1951-09-23
None,Santander,ESP,1,1510.33630371,1951-09-24,1951-09-30
None,Santander,ESP,1,1515.38037109,1951-10-01,1951-10-07
None,Santander,ESP,1,1511.52294922,1951-10-08,1951-10-14
None,Santander,ESP,1,1519.18310547,1951-10-15,1951-10-21
None,Santander,ESP,1,1517.21569824,1951-10-22,1951-10-28
None,Santander,ESP,1,1524.73828125,1951-10-29,1951-11-04
None,Santander,ESP,1,1530.69628906,1951-11-05,1951-11-11
None,Santander,ESP,1,1514.83532715,1951-11-12,1951-11-18
None,Santander,ESP,1,1510.37780762,1951-11-19,1951-11-25
None,Santander,ESP,1,1495.24938965,1951-11-26,1951-12-02
None,Santander,ESP,1,1491.41638184,1951-12-03,1951-12-09
None,Santander,ESP,1,1476.26184082,1951-12-10,1951-12-16
None,Santander,ESP,1,1472.73364258,1951-12-17,1951-12-30
None,Santander,ESP,1,1479.92504883,1951-12-31,1952-01-06
None,Santander,ESP,1,1476.91296387,1952-01-07,1952-01-13
None,Santander,ESP,1,1482.30688477,1952-01-14,1952-01-20
None,Santander,ESP,1,1475.19482422,1952-01-21,1952-01-27
None,Santander,ESP,1,1479.90087891,1952-01-28,1952-02-03
None,Santander,ESP,1,1495.92419434,1952-02-04,1952-02-10
None,Santander,ESP,1,1496.18444824,1952-02-11,1952-02-17
None,Santander,ESP,1,1504.27661133,1952-02-18,1952-02-24
None,Santander,ESP,1,1500.03942871,1952-02-25,1952-03-02
None,Santander,ESP,1,1506.81689453,1952-03-03,1952-03-09
None,Santander,ESP,1,1493.28063965,1952-03-10,1952-03-16
