Rank,Club,Country,Level,Elo,From,To
None,Schalke,FRG,0,1567.759888,1951/5/6,1951/5/6
None,Schalke,FRG,0,1558.785034,1951/5/7,1951/5/13
None,Schalke,FRG,0,1561.802612,1951/5/14,1951/5/20
None,Schalke,FRG,0,1558.14917,1951/5/21,1951/5/27
None,Schalke,FRG,0,1563.824585,1951/5/28,1951/6/3
None,Schalke,FRG,0,1574.766113,1951/6/4,1951/6/10
None,Schalke,FRG,0,1582.16272,1951/6/11,1951/6/18
None,Schalke,FRG,0,1564.16272,1951/6/19,1951/7/1
None,Schalke,FRG,1,1564.16272,1951/7/2,1951/8/19
None,Schalke,FRG,1,1573.122681,1951/8/20,1951/8/26
None,Schalke,FRG,1,1565.935181,1951/8/27,1951/9/2
None,Schalke,FRG,1,1562.835327,1951/9/3,1951/9/9
None,Schalke,FRG,1,1566.017822,1951/9/10,1951/9/16
None,Schalke,FRG,1,1546.119263,1951/9/17,1951/9/24
None,Schalke,FRG,1,1565.119263,1951/9/25,1951/9/30
None,Schalke,FRG,1,1566.925415,1951/10/1,1951/10/7
None,Schalke,FRG,1,1572.33252,1951/10/8,1951/10/18
None,Schalke,FRG,1,1557.33252,1951/10/19,1951/10/21
None,Schalke,FRG,1,1550.097046,1951/10/22,1951/10/28
None,Schalke,FRG,1,1532.105103,1951/10/29,1951/11/4
None,Schalke,FRG,1,1534.844727,1951/11/5,1951/11/11
None,Schalke,FRG,1,1532.669067,1951/11/12,1951/11/18
None,Schalke,FRG,1,1535.378174,1951/11/19,1951/11/23
None,Schalke,FRG,1,1544.378174,1951/11/24,1951/11/25
None,Schalke,FRG,1,1533.92981,1951/11/26,1951/12/2
None,Schalke,FRG,1,1536.414795,1951/12/3,1951/12/9
None,Schalke,FRG,1,1539.19873,1951/12/10,1951/12/25
None,Schalke,FRG,1,1540.19873,1951/12/26,1951/12/30
None,Schalke,FRG,1,1543.532227,1951/12/31,1952/1/6
None,Schalke,FRG,1,1529.036377,1952/1/7,1952/1/13
None,Schalke,FRG,1,1532.23645,1952/1/14,1952/1/20
None,Schalke,FRG,1,1517.274658,1952/1/21,1952/1/27
None,Schalke,FRG,1,1520.882446,1952/1/28,1952/2/3
None,Schalke,FRG,1,1527.500488,1952/2/4,1952/2/10
None,Schalke,FRG,1,1529.642456,1952/2/11,1952/2/17
None,Schalke,FRG,1,1516.989868,1952/2/18,1952/3/2
None,Schalke,FRG,1,1523.17749,1952/3/3,1952/3/9
None,Schalke,FRG,1,1534.755371,1952/3/10,1952/3/16
None,Schalke,FRG,1,1537.777588,1952/3/17,1952/3/23
None,Schalke,FRG,1,1525.976563,1952/3/24,1952/3/30
None,Schalke,FRG,1,1531.990601,1952/3/31,1952/4/6
None,Schalke,FRG,1,1543.127075,1952/4/7,1952/4/20
None,Schalke,FRG,1,1533.798462,1952/4/21,1952/4/21
None,Schalke,FRG,1,1535.798462,1952/4/22,1952/4/27
None,Schalke,FRG,1,1527.593506,1952/4/28,1952/5/7
None,Schalke,FRG,1,1531.593506,1952/5/8,1952/5/11
None,Schalke,FRG,1,1541.24231,1952/5/12,1952/5/18
None,Schalke,FRG,1,1538.316162,1952/5/19,1952/5/25
None,Schalke,FRG,1,1533.125854,1952/5/26,1952/6/1
None,Schalke,FRG,1,1517.603271,1952/6/2,1952/6/8
None,Schalke,FRG,1,1509.818481,1952/6/9,1952/8/24
None,Schalke,FRG,1,1514.733521,1952/8/25,1952/8/31
None,Schalke,FRG,1,1518.772827,1952/9/1,1952/9/7
None,Schalke,FRG,1,1511.489624,1952/9/8,1952/9/14
None,Schalke,FRG,1,1502.350342,1952/9/15,1952/9/21
None,Schalke,FRG,1,1515.302979,1952/9/22,1952/9/28
None,Schalke,FRG,1,1516.951782,1952/9/29,1952/10/6
None,Schalke,FRG,1,1497.951782,1952/10/7,1952/10/12
None,Schalke,FRG,1,1484.912598,1952/10/13,1952/10/19
None,Schalke,FRG,1,1481.285767,1952/10/20,1952/10/26
None,Schalke,FRG,1,1489.546875,1952/10/27,1952/11/2
None,Schalke,FRG,1,1485.077881,1952/11/3,1952/11/10
None,Schalke,FRG,1,1491.077881,1952/11/11,1952/11/16
None,Schalke,FRG,1,1484.406128,1952/11/17,1952/11/23
None,Schalke,FRG,1,1486.730835,1952/11/24,1952/11/30
None,Schalke,FRG,1,1477.657959,1952/12/1,1952/12/7
None,Schalke,FRG,1,1466.761108,1952/12/8,1952/12/14
None,Schalke,FRG,1,1480.219604,1952/12/15,1952/12/25
None,Schalke,FRG,1,1488.219604,1952/12/26,1952/12/29
None,Schalke,FRG,1,1490.219604,1952/12/30,1953/1/4
None,Schalke,FRG,1,1491.065186,1953/1/5,1953/1/11
None,Schalke,FRG,1,1505.412354,1953/1/12,1953/1/18
None,Schalke,FRG,1,1507.603027,1953/1/19,1953/1/25
None,Schalke,FRG,1,1502.320068,1953/1/26,1953/2/8
None,Schalke,FRG,1,1488.76062,1953/2/9,1953/2/15
None,Schalke,FRG,1,1480.249268,1953/2/16,1953/2/22
None,Schalke,FRG,1,1488.673828,1953/2/23,1953/3/1
None,Schalke,FRG,1,1483.685791,1953/3/2,1953/3/8
None,Schalke,FRG,1,1489.040405,1953/3/9,1953/3/15
None,Schalke,FRG,1,1498.169312,1953/3/16,1953/3/22
None,Schalke,FRG,1,1494.123047,1953/3/23,1953/3/23
None,Schalke,FRG,1,1490.123047,1953/3/24,1953/3/29
None,Schalke,FRG,1,1479.552002,1953/3/30,1953/4/12
None,Schalke,FRG,1,1457.957886,1953/4/13,1953/4/19
None,Schalke,FRG,1,1454.6698,1953/4/20,1953/4/26
None,Schalke,FRG,1,1456.620972,1953/4/27,1953/8/9
None,Schalke,FRG,1,1458.803589,1953/8/10,1953/8/20
None,Schalke,FRG,1,1447.803589,1953/8/21,1953/8/23
None,Schalke,FRG,1,1451.819458,1953/8/24,1953/8/30
None,Schalke,FRG,1,1457.809448,1953/8/31,1953/9/6
None,Schalke,FRG,1,1467.534424,1953/9/7,1953/9/13
None,Schalke,FRG,1,1461.362061,1953/9/14,1953/9/20
None,Schalke,FRG,1,1467.67041,1953/9/21,1953/9/27
None,Schalke,FRG,1,1471.24646,1953/9/28,1953/10/4
None,Schalke,FRG,1,1470.14917,1953/10/5,1953/10/14
None,Schalke,FRG,1,1480.14917,1953/10/15,1953/10/18
None,Schalke,FRG,1,1469.755127,1953/10/19,1953/10/25
None,Schalke,FRG,1,1467.66748,1953/10/26,1953/11/1
None,Schalke,FRG,1,1448.994141,1953/11/2,1953/11/8
None,Schalke,FRG,1,1456.588623,1953/11/9,1953/11/15
None,Schalke,FRG,1,1442.397217,1953/11/16,1953/11/25
None,Schalke,FRG,1,1450.397217,1953/11/26,1953/11/29
None,Schalke,FRG,1,1436.248413,1953/11/30,1953/12/6
None,Schalke,FRG,1,1448.328247,1953/12/7,1953/12/13
None,Schalke,FRG,1,1455.876099,1953/12/14,1953/12/27
None,Schalke,FRG,1,1459.660156,1953/12/28,1954/1/3
None,Schalke,FRG,1,1461.121826,1954/1/4,1954/1/10
None,Schalke,FRG,1,1471.311401,1954/1/11,1954/1/17
None,Schalke,FRG,1,1472.147095,1954/1/18,1954/1/24
None,Schalke,FRG,1,1475.582275,1954/1/25,1954/1/31
None,Schalke,FRG,1,1475.003296,1954/2/1,1954/2/7
None,Schalke,FRG,1,1461.963379,1954/2/8,1954/2/14
None,Schalke,FRG,1,1457.602661,1954/2/15,1954/2/21
None,Schalke,FRG,1,1469.579712,1954/2/22,1954/3/7
None,Schalke,FRG,1,1472.261108,1954/3/8,1954/3/14
None,Schalke,FRG,1,1478.625,1954/3/15,1954/3/21
None,Schalke,FRG,1,1459.817139,1954/3/22,1954/3/29
None,Schalke,FRG,1,1476.817139,1954/3/30,1954/4/4
None,Schalke,FRG,1,1487.871582,1954/4/5,1954/4/11
None,Schalke,FRG,1,1483.135132,1954/4/12,1954/4/26
None,Schalke,FRG,1,1491.135132,1954/4/27,1954/6/19
None,Schalke,FRG,1,1508.135132,1954/6/20,1954/6/22
None,Schalke,FRG,1,1475.135132,1954/6/23,1954/6/26
None,Schalke,FRG,1,1501.135132,1954/6/27,1954/6/29
None,Schalke,FRG,1,1548.135132,1954/6/30,1954/7/1
None,Schalke,FRG,1,1600.135132,1954/7/2,1954/7/6
None,Schalke,FRG,1,1644.135132,1954/7/7,1954/8/22
None,Schalke,FRG,1,1638.136963,1954/8/23,1954/8/29
None,Schalke,FRG,1,1642.05603,1954/8/30,1954/9/5
None,Schalke,FRG,1,1635.906738,1954/9/6,1954/9/12
None,Schalke,FRG,1,1642.303711,1954/9/13,1954/9/19
None,Schalke,FRG,1,1643.327637,1954/9/20,1954/9/27
None,Schalke,FRG,1,1619.327637,1954/9/28,1954/10/3
None,Schalke,FRG,1,1599.549683,1954/10/4,1954/10/10
None,Schalke,FRG,1,1610.005249,1954/10/11,1954/10/17
None,Schalke,FRG,1,1583.005249,1954/10/18,1954/10/24
None,Schalke,FRG,1,1588.459961,1954/10/25,1954/10/31
None,Schalke,FRG,1,1581.629761,1954/11/1,1954/11/7
None,Schalke,FRG,1,1565.984009,1954/11/8,1954/11/14
None,Schalke,FRG,1,1569.200195,1954/11/15,1954/11/21
None,Schalke,FRG,1,1566.889038,1954/11/22,1954/12/2
None,Schalke,FRG,1,1552.889038,1954/12/3,1954/12/5
None,Schalke,FRG,1,1556.212158,1954/12/6,1954/12/12
None,Schalke,FRG,1,1560.430542,1954/12/13,1954/12/22
None,Schalke,FRG,1,1566.430542,1954/12/23,1954/12/26
None,Schalke,FRG,1,1562.800049,1954/12/27,1955/1/9
None,Schalke,FRG,1,1567.395142,1955/1/10,1955/1/23
None,Schalke,FRG,1,1561.987061,1955/1/24,1955/1/30
None,Schalke,FRG,1,1555.677124,1955/1/31,1955/2/6
None,Schalke,FRG,1,1564.258057,1955/2/7,1955/2/13
None,Schalke,FRG,1,1565.796509,1955/2/14,1955/2/27
None,Schalke,FRG,1,1568.829468,1955/2/28,1955/3/6
None,Schalke,FRG,1,1564.2229,1955/3/7,1955/3/13
None,Schalke,FRG,1,1570.984497,1955/3/14,1955/3/20
None,Schalke,FRG,1,1558.855347,1955/3/21,1955/3/27
None,Schalke,FRG,1,1562.329346,1955/3/28,1955/3/31
None,Schalke,FRG,1,1546.329346,1955/4/1,1955/4/3
None,Schalke,FRG,1,1546.646118,1955/4/4,1955/4/17
None,Schalke,FRG,1,1530.801758,1955/4/18,1955/4/20
None,Schalke,FRG,1,1511.552612,1955/4/21,1955/4/24
None,Schalke,FRG,1,1505.799194,1955/4/25,1955/5/1
None,Schalke,FRG,1,1505.770142,1955/5/2,1955/5/29
None,Schalke,FRG,1,1506.770142,1955/5/30,1955/8/22
None,Schalke,FRG,1,1492.770142,1955/8/23,1955/8/27
None,Schalke,FRG,1,1481.671753,1955/8/28,1955/8/31
None,Schalke,FRG,1,1494.150146,1955/9/1,1955/9/4
None,Schalke,FRG,1,1502.156738,1955/9/5,1955/9/11
None,Schalke,FRG,1,1496.907471,1955/9/12,1955/9/14
None,Schalke,FRG,1,1387.928833,1955/9/15,1955/9/18
None,Schalke,FRG,1,1392.3479,1955/9/19,1955/10/2
None,Schalke,FRG,1,1403.589844,1955/10/3,1955/10/9
None,Schalke,FRG,1,1408.134521,1955/10/10,1955/10/12
None,Schalke,FRG,1,1442.94519,1955/10/13,1955/10/16
None,Schalke,FRG,1,1443.418091,1955/10/17,1955/10/23
None,Schalke,FRG,1,1451.144897,1955/10/24,1955/10/30
None,Schalke,FRG,1,1445.499268,1955/10/31,1955/11/1
None,Schalke,FRG,1,1483.361084,1955/11/2,1955/11/6
None,Schalke,FRG,1,1492.068848,1955/11/7,1955/11/19
None,Schalke,FRG,1,1495.507202,1955/11/20,1955/11/23
None,Schalke,FRG,1,1449.296631,1955/11/24,1955/11/26
None,Schalke,FRG,1,1435.582397,1955/11/27,1955/12/4
None,Schalke,FRG,1,1438.284668,1955/12/5,1955/12/18
None,Schalke,FRG,1,1444.892212,1955/12/19,1956/1/8
None,Schalke,FRG,1,1448.09668,1956/1/9,1956/1/15
None,Schalke,FRG,1,1452.233521,1956/1/16,1956/1/27
None,Schalke,FRG,1,1448.657471,1956/1/28,1956/1/29
None,Schalke,FRG,1,1444.561401,1956/1/30,1956/2/5
None,Schalke,FRG,1,1454.952148,1956/2/6,1956/2/12
None,Schalke,FRG,1,1441.418335,1956/2/13,1956/2/19
None,Schalke,FRG,1,1437.486084,1956/2/20,1956/2/26
None,Schalke,FRG,1,1443.592896,1956/2/27,1956/3/18
None,Schalke,FRG,1,1452.996582,1956/3/19,1956/3/25
None,Schalke,FRG,1,1454.553955,1956/3/26,1956/4/2
None,Schalke,FRG,1,1447.03772,1956/4/3,1956/4/8
None,Schalke,FRG,1,1464.525879,1956/4/9,1956/4/15
None,Schalke,FRG,1,1470.508545,1956/4/16,1956/4/22
None,Schalke,FRG,1,1475.293213,1956/4/23,1956/4/29
None,Schalke,FRG,1,1483.130249,1956/4/30,1956/5/13
None,Schalke,FRG,1,1496.364258,1956/5/14,1956/5/20
None,Schalke,FRG,1,1477.218262,1956/5/21,1956/6/3
None,Schalke,FRG,1,1484.188477,1956/6/4,1956/6/6
None,Schalke,FRG,1,1504.772461,1956/6/7,1956/6/10
None,Schalke,FRG,1,1510.25061,1956/6/11,1956/6/17
None,Schalke,FRG,1,1504.730225,1956/6/18,1956/8/1
None,Schalke,FRG,1,1502.673096,1956/8/2,1956/8/18
None,Schalke,FRG,1,1488.66394,1956/8/19,1956/8/25
None,Schalke,FRG,1,1485.115234,1956/8/26,1956/9/2
None,Schalke,FRG,1,1464.587646,1956/9/3,1956/9/6
None,Schalke,FRG,1,1466.45459,1956/9/7,1956/9/9
None,Schalke,FRG,1,1477.377075,1956/9/10,1956/9/16
None,Schalke,FRG,1,1483.879395,1956/9/17,1956/9/23
None,Schalke,FRG,1,1487.426758,1956/9/24,1956/9/30
None,Schalke,FRG,1,1492.956177,1956/10/1,1956/10/7
None,Schalke,FRG,1,1495.553833,1956/10/8,1956/10/14
None,Schalke,FRG,1,1485.325073,1956/10/15,1956/10/17
None,Schalke,FRG,1,1489.476807,1956/10/18,1956/10/21
None,Schalke,FRG,1,1483.601318,1956/10/22,1956/10/28
None,Schalke,FRG,1,1489.173584,1956/10/29,1956/11/4
None,Schalke,FRG,1,1489.079956,1956/11/5,1956/11/11
None,Schalke,FRG,1,1494.974854,1956/11/12,1956/11/18
None,Schalke,FRG,1,1500.034912,1956/11/19,1956/11/21
None,Schalke,FRG,1,1493.590698,1956/11/22,1956/12/9
None,Schalke,FRG,1,1481.974976,1956/12/10,1956/12/16
None,Schalke,FRG,1,1499.513794,1956/12/17,1957/1/5
None,Schalke,FRG,1,1486.49646,1957/1/6,1957/1/12
None,Schalke,FRG,1,1485.182373,1957/1/13,1957/1/19
None,Schalke,FRG,1,1476.034058,1957/1/20,1957/2/1
None,Schalke,FRG,1,1472.009277,1957/2/2,1957/2/8
None,Schalke,FRG,1,1478.933838,1957/2/9,1957/2/16
None,Schalke,FRG,1,1473.023682,1957/2/17,1957/2/23
None,Schalke,FRG,1,1482.414307,1957/2/24,1957/3/2
None,Schalke,FRG,1,1487.095459,1957/3/3,1957/3/16
None,Schalke,FRG,1,1494.2948,1957/3/17,1957/3/23
None,Schalke,FRG,1,1506.835571,1957/3/24,1957/4/6
None,Schalke,FRG,1,1509.059937,1957/4/7,1957/4/27
None,Schalke,FRG,1,1501.43042,1957/4/28,1957/5/4
None,Schalke,FRG,1,1500.61731,1957/5/5,1957/5/11
None,Schalke,FRG,1,1503.35022,1957/5/12,1957/5/18
None,Schalke,FRG,1,1505.560059,1957/5/19,1957/8/11
None,Schalke,FRG,1,1517.610718,1957/8/12,1957/8/18
None,Schalke,FRG,1,1521.000244,1957/8/19,1957/8/25
None,Schalke,FRG,1,1532.77356,1957/8/26,1957/9/1
None,Schalke,FRG,1,1530.402954,1957/9/2,1957/9/8
None,Schalke,FRG,1,1527.94873,1957/9/9,1957/9/15
None,Schalke,FRG,1,1531.651245,1957/9/16,1957/9/22
None,Schalke,FRG,1,1519.067505,1957/9/23,1957/9/29
None,Schalke,FRG,1,1521.977661,1957/9/30,1957/10/6
None,Schalke,FRG,1,1517.338501,1957/10/7,1957/10/13
None,Schalke,FRG,1,1520.397949,1957/10/14,1957/10/20
None,Schalke,FRG,1,1508.187012,1957/10/21,1957/10/27
None,Schalke,FRG,1,1511.976807,1957/10/28,1957/11/3
None,Schalke,FRG,1,1515.028687,1957/11/4,1957/11/10
None,Schalke,FRG,1,1527.500122,1957/11/11,1957/11/24
None,Schalke,FRG,1,1531.914551,1957/11/25,1957/11/27
None,Schalke,FRG,1,1538.961914,1957/11/28,1957/12/1
None,Schalke,FRG,1,1541.193481,1957/12/2,1957/12/8
None,Schalke,FRG,1,1535.47876,1957/12/9,1957/12/15
None,Schalke,FRG,1,1520.370117,1957/12/16,1957/12/29
None,Schalke,FRG,1,1544.455566,1957/12/30,1958/1/5
None,Schalke,FRG,1,1548.442627,1958/1/6,1958/1/12
None,Schalke,FRG,1,1551.649902,1958/1/13,1958/1/19
None,Schalke,FRG,1,1559.866943,1958/1/20,1958/1/26
None,Schalke,FRG,1,1554.62439,1958/1/27,1958/2/2
None,Schalke,FRG,1,1552.748779,1958/2/3,1958/2/9
None,Schalke,FRG,1,1560.108276,1958/2/10,1958/2/12
None,Schalke,FRG,1,1557.6698,1958/2/13,1958/2/23
None,Schalke,FRG,1,1556.840454,1958/2/24,1958/2/26
None,Schalke,FRG,1,1554.122192,1958/2/27,1958/3/9
None,Schalke,FRG,1,1548.129028,1958/3/10,1958/3/16
None,Schalke,FRG,1,1545.483032,1958/3/17,1958/3/23
None,Schalke,FRG,1,1551.580444,1958/3/24,1958/3/30
None,Schalke,FRG,1,1540.651733,1958/3/31,1958/4/13
None,Schalke,FRG,1,1547.148682,1958/4/14,1958/4/26
None,Schalke,FRG,1,1556.953369,1958/4/27,1958/5/4
None,Schalke,FRG,1,1578.227905,1958/5/5,1958/5/10
None,Schalke,FRG,1,1590.208862,1958/5/11,1958/5/18
None,Schalke,FRG,1,1602.446899,1958/5/19,1958/8/17
None,Schalke,FRG,1,1604.497559,1958/8/18,1958/8/24
None,Schalke,FRG,1,1600.961548,1958/8/25,1958/8/31
None,Schalke,FRG,1,1575.902588,1958/9/1,1958/9/7
None,Schalke,FRG,1,1571.170532,1958/9/8,1958/9/14
None,Schalke,FRG,1,1564.366943,1958/9/15,1958/9/17
None,Schalke,FRG,1,1573.728027,1958/9/18,1958/9/26
None,Schalke,FRG,1,1564.643066,1958/9/27,1958/9/28
None,Schalke,FRG,1,1559.767822,1958/9/29,1958/10/1
None,Schalke,FRG,1,1580.982788,1958/10/2,1958/10/5
None,Schalke,FRG,1,1584.368164,1958/10/6,1958/10/12
None,Schalke,FRG,1,1597.030884,1958/10/13,1958/10/19
None,Schalke,FRG,1,1590.281372,1958/10/20,1958/11/2
None,Schalke,FRG,1,1581.737427,1958/11/3,1958/11/9
None,Schalke,FRG,1,1574.568848,1958/11/10,1958/11/12
None,Schalke,FRG,1,1592.414185,1958/11/13,1958/11/18
None,Schalke,FRG,1,1615.27356,1958/11/19,1958/11/23
None,Schalke,FRG,1,1604.367554,1958/11/24,1958/11/30
None,Schalke,FRG,1,1598.793579,1958/12/1,1958/12/7
None,Schalke,FRG,1,1591.194824,1958/12/8,1958/12/14
None,Schalke,FRG,1,1587.018066,1958/12/15,1959/1/7
None,Schalke,FRG,1,1575.663818,1959/1/8,1959/1/14
None,Schalke,FRG,1,1578.544189,1959/1/15,1959/1/21
None,Schalke,FRG,1,1566.394165,1959/1/22,1959/1/28
None,Schalke,FRG,1,1569.501953,1959/1/29,1959/2/1
None,Schalke,FRG,1,1576.941284,1959/2/2,1959/2/8
None,Schalke,FRG,1,1578.812256,1959/2/9,1959/2/15
None,Schalke,FRG,1,1570.028687,1959/2/16,1959/2/22
None,Schalke,FRG,1,1547.982544,1959/2/23,1959/3/1
None,Schalke,FRG,1,1541.882446,1959/3/2,1959/3/4
None,Schalke,FRG,1,1539.446045,1959/3/5,1959/3/8
None,Schalke,FRG,1,1534.544067,1959/3/9,1959/3/15
None,Schalke,FRG,1,1541.213989,1959/3/16,1959/3/18
None,Schalke,FRG,1,1538.222534,1959/3/19,1959/3/22
None,Schalke,FRG,1,1542.731567,1959/3/23,1959/4/5
None,Schalke,FRG,1,1536.023682,1959/4/6,1959/4/19
None,Schalke,FRG,1,1525.313232,1959/4/20,1959/4/22
None,Schalke,FRG,1,1521.317261,1959/4/23,1959/8/23
None,Schalke,FRG,1,1527.31311,1959/8/24,1959/8/30
None,Schalke,FRG,1,1541.230347,1959/8/31,1959/9/6
None,Schalke,FRG,1,1545.648438,1959/9/7,1959/9/13
None,Schalke,FRG,1,1554.208252,1959/9/14,1959/9/20
None,Schalke,FRG,1,1564.32312,1959/9/21,1959/9/27
None,Schalke,FRG,1,1557.167969,1959/9/28,1959/10/11
None,Schalke,FRG,1,1538.100098,1959/10/12,1959/10/18
None,Schalke,FRG,1,1547.828125,1959/10/19,1959/10/25
None,Schalke,FRG,1,1549.826538,1959/10/26,1959/11/1
None,Schalke,FRG,1,1543.076904,1959/11/2,1959/11/4
None,Schalke,FRG,1,1563.828247,1959/11/5,1959/11/15
None,Schalke,FRG,1,1566.945313,1959/11/16,1959/11/22
None,Schalke,FRG,1,1558.922241,1959/11/23,1959/11/25
None,Schalke,FRG,1,1554.487671,1959/11/26,1959/11/29
None,Schalke,FRG,1,1547.048462,1959/11/30,1959/12/6
None,Schalke,FRG,1,1528.171265,1959/12/7,1959/12/13
None,Schalke,FRG,1,1532.942017,1959/12/14,1959/12/27
None,Schalke,FRG,1,1521.204468,1959/12/28,1960/1/3
None,Schalke,FRG,1,1526.51355,1960/1/4,1960/1/10
None,Schalke,FRG,1,1536.292603,1960/1/11,1960/1/17
None,Schalke,FRG,1,1541.764404,1960/1/18,1960/1/24
None,Schalke,FRG,1,1533.14856,1960/1/25,1960/1/31
None,Schalke,FRG,1,1541.92981,1960/2/1,1960/2/7
None,Schalke,FRG,1,1547.249878,1960/2/8,1960/2/14
None,Schalke,FRG,1,1542.124146,1960/2/15,1960/2/21
None,Schalke,FRG,1,1533.414673,1960/2/22,1960/3/3
None,Schalke,FRG,1,1532.983643,1960/3/4,1960/3/6
None,Schalke,FRG,1,1520.918335,1960/3/7,1960/3/13
None,Schalke,FRG,1,1520.629883,1960/3/14,1960/3/16
None,Schalke,FRG,1,1538.879883,1960/3/17,1960/3/27
None,Schalke,FRG,1,1541.86731,1960/3/28,1960/4/3
None,Schalke,FRG,1,1539.412598,1960/4/4,1960/4/10
None,Schalke,FRG,1,1546.912231,1960/4/11,1960/4/13
None,Schalke,FRG,1,1566.733643,1960/4/14,1960/4/24
None,Schalke,FRG,1,1556.169556,1960/4/25,1960/5/5
None,Schalke,FRG,1,1566.685181,1960/5/6,1960/5/13
None,Schalke,FRG,1,1562.813599,1960/5/14,1960/8/14
None,Schalke,FRG,1,1568.390747,1960/8/15,1960/8/21
None,Schalke,FRG,1,1549.559204,1960/8/22,1960/8/28
