Rank,Club,Country,Level,Elo,From,To
None,Siena,ITA,2,1466.99230957,2000-07-02,2000-08-09
None,Siena,ITA,2,1466.55932617,2000-08-10,2000-08-22
None,Siena,ITA,2,1468.64929199,2000-08-23,2000-08-23
None,Siena,ITA,2,1462.15185547,2000-08-24,2000-09-03
None,Siena,ITA,2,1472.37414551,2000-09-04,2000-09-10
None,Siena,ITA,2,1478.11547852,2000-09-11,2000-09-12
None,Siena,ITA,2,1480.78942871,2000-09-13,2000-09-13
None,Siena,ITA,2,1481.9732666,2000-09-14,2000-09-14
None,Siena,ITA,2,1481.09667969,2000-09-15,2000-09-17
None,Siena,ITA,2,1490.65637207,2000-09-18,2000-09-19
None,Siena,ITA,2,1489.15759277,2000-09-20,2000-09-20
None,Siena,ITA,2,1490.70812988,2000-09-21,2000-09-26
None,Siena,ITA,2,1496.07995605,2000-09-27,2000-09-27
None,Siena,ITA,2,1507.2142334,2000-09-28,2000-09-28
None,Siena,ITA,2,1501.51855469,2000-09-29,2000-10-01
None,Siena,ITA,2,1499.28527832,2000-10-02,2000-10-08
None,Siena,ITA,2,1492.82373047,2000-10-09,2000-10-17
None,Siena,ITA,2,1491.51257324,2000-10-18,2000-10-18
None,Siena,ITA,2,1491.77282715,2000-10-19,2000-10-20
None,Siena,ITA,2,1489.48498535,2000-10-21,2000-10-24
None,Siena,ITA,2,1485.59033203,2000-10-25,2000-10-25
None,Siena,ITA,2,1486.36657715,2000-10-26,2000-10-26
None,Siena,ITA,2,1487.37463379,2000-10-27,2000-10-29
None,Siena,ITA,2,1481.43115234,2000-10-30,2000-11-01
None,Siena,ITA,2,1471.04370117,2000-11-02,2000-11-05
None,Siena,ITA,2,1476.93603516,2000-11-06,2000-11-07
None,Siena,ITA,2,1479.48266602,2000-11-08,2000-11-08
None,Siena,ITA,2,1474.08496094,2000-11-09,2000-11-09
None,Siena,ITA,2,1466.66296387,2000-11-10,2000-11-12
None,Siena,ITA,2,1477.70727539,2000-11-13,2000-11-17
None,Siena,ITA,2,1472.11779785,2000-11-18,2000-11-21
None,Siena,ITA,2,1471.06726074,2000-11-22,2000-11-22
None,Siena,ITA,2,1468.38012695,2000-11-23,2000-11-23
None,Siena,ITA,2,1466.15673828,2000-11-24,2000-11-26
None,Siena,ITA,2,1473.99926758,2000-11-27,2000-12-03
None,Siena,ITA,2,1480.11901855,2000-12-04,2000-12-05
None,Siena,ITA,2,1480.94470215,2000-12-06,2000-12-06
None,Siena,ITA,2,1485.16101074,2000-12-07,2000-12-07
None,Siena,ITA,2,1490.65625,2000-12-08,2000-12-10
None,Siena,ITA,2,1493.70751953,2000-12-11,2000-12-17
None,Siena,ITA,2,1499.02148438,2000-12-18,2000-12-23
None,Siena,ITA,2,1504.60693359,2000-12-24,2001-01-14
None,Siena,ITA,2,1500.87304688,2001-01-15,2001-01-21
None,Siena,ITA,2,1496.73449707,2001-01-22,2001-01-28
None,Siena,ITA,2,1491.49072266,2001-01-29,2001-02-04
None,Siena,ITA,2,1498.21704102,2001-02-05,2001-02-11
None,Siena,ITA,2,1492.50512695,2001-02-12,2001-02-13
