Rank,Club,Country,Level,Elo,From,To
None,Sochaux,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Sochaux,FRA,1,1326.49707031,1945-08-27,1945-09-02
None,Sochaux,FRA,1,1329.99169922,1945-09-03,1945-09-09
None,Sochaux,FRA,1,1336.61181641,1945-09-10,1945-09-16
None,Sochaux,FRA,1,1339.1361084,1945-09-17,1945-09-23
None,Sochaux,FRA,1,1346.40551758,1945-09-24,1945-09-30
None,Sochaux,FRA,1,1336.03320312,1945-10-01,1945-10-07
None,Sochaux,FRA,1,1332.84899902,1945-10-08,1945-10-14
None,Sochaux,FRA,1,1323.7598877,1945-10-15,1945-10-21
None,Sochaux,FRA,1,1321.04248047,1945-10-22,1945-10-28
None,Sochaux,FRA,1,1315.31359863,1945-10-29,1945-11-04
None,Sochaux,FRA,1,1311.58544922,1945-11-05,1945-11-11
None,Sochaux,FRA,1,1306.04541016,1945-11-12,1945-11-18
None,Sochaux,FRA,1,1291.07116699,1945-11-19,1945-12-02
None,Sochaux,FRA,1,1286.92114258,1945-12-03,1945-12-09
None,Sochaux,FRA,1,1266.77746582,1945-12-10,1945-12-16
None,Sochaux,FRA,1,1254.77746582,1945-12-17,1945-12-23
None,Sochaux,FRA,1,1248.28076172,1945-12-24,1945-12-30
None,Sochaux,FRA,1,1249.33288574,1945-12-31,1946-01-13
None,Sochaux,FRA,1,1260.92834473,1946-01-14,1946-01-20
None,Sochaux,FRA,1,1252.56396484,1946-01-21,1946-01-27
None,Sochaux,FRA,1,1247.45837402,1946-01-28,1946-02-10
None,Sochaux,FRA,1,1258.18920898,1946-02-11,1946-02-17
None,Sochaux,FRA,1,1254.06726074,1946-02-18,1946-02-24
None,Sochaux,FRA,1,1241.43835449,1946-02-25,1946-03-10
None,Sochaux,FRA,1,1238.35510254,1946-03-11,1946-03-24
None,Sochaux,FRA,1,1226.18041992,1946-03-25,1946-04-07
None,Sochaux,FRA,1,1220.64929199,1946-04-08,1946-04-11
None,Sochaux,FRA,1,1242.64929199,1946-04-12,1946-04-14
None,Sochaux,FRA,1,1245.10058594,1946-04-15,1946-04-16
None,Sochaux,FRA,1,1238.10058594,1946-04-17,1946-04-21
None,Sochaux,FRA,1,1231.86535645,1946-04-22,1946-04-28
None,Sochaux,FRA,1,1218.69726562,1946-04-29,1946-05-05
None,Sochaux,FRA,1,1214.16503906,1946-05-06,1946-05-08
None,Sochaux,FRA,1,1232.16503906,1946-05-09,1946-05-12
None,Sochaux,FRA,1,1218.79541016,1946-05-13,1946-05-19
None,Sochaux,FRA,1,1214.06237793,1946-05-20,1946-05-26
None,Sochaux,FRA,1,1204.65063477,1946-05-27,1946-06-02
None,Sochaux,FRA,1,1202.9621582,1946-06-03,1946-07-25
None,Sochaux,FRA,1,1300.24121094,1947-07-02,1947-08-24
None,Sochaux,FRA,1,1305.17993164,1947-08-25,1947-08-31
None,Sochaux,FRA,1,1298.11950684,1947-09-01,1947-09-07
None,Sochaux,FRA,1,1292.47509766,1947-09-08,1947-09-14
None,Sochaux,FRA,1,1285.98669434,1947-09-15,1947-09-18
None,Sochaux,FRA,1,1277.26818848,1947-09-19,1947-09-21
None,Sochaux,FRA,1,1283.72827148,1947-09-22,1947-09-28
None,Sochaux,FRA,1,1284.67016602,1947-09-29,1947-10-05
None,Sochaux,FRA,1,1305.79223633,1947-10-06,1947-10-12
None,Sochaux,FRA,1,1312.40478516,1947-10-13,1947-10-26
None,Sochaux,FRA,1,1331.8269043,1947-10-27,1947-11-02
None,Sochaux,FRA,1,1338.54516602,1947-11-03,1947-11-09
None,Sochaux,FRA,1,1335.03637695,1947-11-10,1947-11-16
None,Sochaux,FRA,1,1340.22045898,1947-11-17,1947-11-29
None,Sochaux,FRA,1,1358.22045898,1947-11-30,1947-11-30
None,Sochaux,FRA,1,1366.94384766,1947-12-01,1947-12-07
None,Sochaux,FRA,1,1361.92272949,1947-12-08,1947-12-21
None,Sochaux,FRA,1,1358.67541504,1947-12-22,1947-12-25
None,Sochaux,FRA,1,1354.73400879,1947-12-26,1947-12-28
None,Sochaux,FRA,1,1368.0435791,1947-12-29,1948-01-11
None,Sochaux,FRA,1,1372.03845215,1948-01-12,1948-01-18
None,Sochaux,FRA,1,1366.84912109,1948-01-19,1948-01-25
None,Sochaux,FRA,1,1375.78845215,1948-01-26,1948-02-08
None,Sochaux,FRA,1,1382.12353516,1948-02-09,1948-02-15
None,Sochaux,FRA,1,1378.34570312,1948-02-16,1948-02-22
None,Sochaux,FRA,1,1385.25842285,1948-02-23,1948-03-04
None,Sochaux,FRA,1,1386.29516602,1948-03-05,1948-03-07
None,Sochaux,FRA,1,1387.44006348,1948-03-08,1948-03-14
None,Sochaux,FRA,1,1383.36437988,1948-03-15,1948-03-26
None,Sochaux,FRA,1,1379.62573242,1948-03-27,1948-03-28
None,Sochaux,FRA,1,1392.54992676,1948-03-29,1948-04-05
None,Sochaux,FRA,1,1386.54992676,1948-04-06,1948-04-11
None,Sochaux,FRA,1,1379.71789551,1948-04-12,1948-04-25
None,Sochaux,FRA,1,1389.43237305,1948-04-26,1948-05-02
None,Sochaux,FRA,1,1375.59716797,1948-05-03,1948-05-16
None,Sochaux,FRA,1,1369.98937988,1948-05-17,1948-05-26
None,Sochaux,FRA,1,1384.98937988,1948-05-27,1948-05-30
None,Sochaux,FRA,1,1385.51574707,1948-05-31,1948-06-13
None,Sochaux,FRA,1,1391.51574707,1948-06-14,1948-08-22
None,Sochaux,FRA,1,1398.41723633,1948-08-23,1948-08-29
None,Sochaux,FRA,1,1419.51477051,1948-08-30,1948-09-04
None,Sochaux,FRA,1,1426.66345215,1948-09-05,1948-09-09
None,Sochaux,FRA,1,1419.46777344,1948-09-10,1948-09-12
None,Sochaux,FRA,1,1419.28808594,1948-09-13,1948-09-18
None,Sochaux,FRA,1,1409.80200195,1948-09-19,1948-09-23
None,Sochaux,FRA,1,1401.21240234,1948-09-24,1948-09-26
None,Sochaux,FRA,1,1402.5222168,1948-09-27,1948-10-03
None,Sochaux,FRA,1,1408.29248047,1948-10-04,1948-10-07
None,Sochaux,FRA,1,1421.86816406,1948-10-08,1948-10-10
None,Sochaux,FRA,1,1418.21618652,1948-10-11,1948-10-23
None,Sochaux,FRA,1,1411.21618652,1948-10-24,1948-10-24
None,Sochaux,FRA,1,1405.01098633,1948-10-25,1948-10-31
None,Sochaux,FRA,1,1412.99108887,1948-11-01,1948-11-07
None,Sochaux,FRA,1,1417.6328125,1948-11-08,1948-11-11
None,Sochaux,FRA,1,1397.02880859,1948-11-12,1948-11-14
None,Sochaux,FRA,1,1406.94750977,1948-11-15,1948-11-28
None,Sochaux,FRA,1,1396.59899902,1948-11-29,1948-12-05
None,Sochaux,FRA,1,1387.35241699,1948-12-06,1948-12-19
None,Sochaux,FRA,1,1395.39685059,1948-12-20,1948-12-25
None,Sochaux,FRA,1,1397.32983398,1948-12-26,1949-01-02
None,Sochaux,FRA,1,1402.00720215,1949-01-03,1949-01-16
None,Sochaux,FRA,1,1398.95092773,1949-01-17,1949-01-23
None,Sochaux,FRA,1,1406.33898926,1949-01-24,1949-02-06
None,Sochaux,FRA,1,1417.74279785,1949-02-07,1949-02-13
None,Sochaux,FRA,1,1421.10803223,1949-02-14,1949-02-20
None,Sochaux,FRA,1,1436.51184082,1949-02-21,1949-03-06
None,Sochaux,FRA,1,1432.3145752,1949-03-07,1949-03-13
None,Sochaux,FRA,1,1437.21740723,1949-03-14,1949-03-27
None,Sochaux,FRA,1,1425.06213379,1949-03-28,1949-04-10
None,Sochaux,FRA,1,1435.67175293,1949-04-11,1949-04-17
None,Sochaux,FRA,1,1441.78173828,1949-04-18,1949-04-24
None,Sochaux,FRA,1,1425.78173828,1949-04-25,1949-04-28
None,Sochaux,FRA,1,1419.78173828,1949-04-29,1949-05-01
None,Sochaux,FRA,1,1408.14562988,1949-05-02,1949-05-14
None,Sochaux,FRA,1,1409.24353027,1949-05-15,1949-05-25
None,Sochaux,FRA,1,1401.24353027,1949-05-26,1949-05-29
None,Sochaux,FRA,1,1403.90917969,1949-05-30,1949-06-05
None,Sochaux,FRA,1,1414.90917969,1949-06-06,1949-06-26
None,Sochaux,FRA,1,1398.90917969,1949-06-27,1949-06-30
None,Sochaux,FRA,1,1369.9666748,1949-07-01,1949-07-02
None,Sochaux,FRA,1,1363.63085938,1949-07-03,1949-08-21
None,Sochaux,FRA,1,1347.48828125,1949-08-22,1949-08-28
None,Sochaux,FRA,1,1356.97595215,1949-08-29,1949-09-03
None,Sochaux,FRA,1,1361.34362793,1949-09-04,1949-09-11
None,Sochaux,FRA,1,1370.54345703,1949-09-12,1949-09-18
None,Sochaux,FRA,1,1377.57177734,1949-09-19,1949-09-22
None,Sochaux,FRA,1,1380.52612305,1949-09-23,1949-09-24
None,Sochaux,FRA,1,1375.00390625,1949-09-25,1949-10-02
None,Sochaux,FRA,1,1385.09338379,1949-10-03,1949-10-16
None,Sochaux,FRA,1,1369.0592041,1949-10-17,1949-10-23
None,Sochaux,FRA,1,1375.57727051,1949-10-24,1949-11-06
None,Sochaux,FRA,1,1371.30615234,1949-11-07,1949-11-20
None,Sochaux,FRA,1,1357.44873047,1949-11-21,1949-11-27
None,Sochaux,FRA,1,1350.83337402,1949-11-28,1949-12-04
None,Sochaux,FRA,1,1344.58117676,1949-12-05,1949-12-18
None,Sochaux,FRA,1,1332.43041992,1949-12-19,1949-12-25
None,Sochaux,FRA,1,1328.5057373,1949-12-26,1950-01-01
None,Sochaux,FRA,1,1326.4206543,1950-01-02,1950-01-14
None,Sochaux,FRA,1,1321.51953125,1950-01-15,1950-01-22
None,Sochaux,FRA,1,1333.20812988,1950-01-23,1950-01-29
None,Sochaux,FRA,1,1336.5501709,1950-01-30,1950-02-12
None,Sochaux,FRA,1,1344.84387207,1950-02-13,1950-02-16
None,Sochaux,FRA,1,1335.02380371,1950-02-17,1950-02-19
None,Sochaux,FRA,1,1350.26855469,1950-02-20,1950-03-05
None,Sochaux,FRA,1,1353.50231934,1950-03-06,1950-03-12
None,Sochaux,FRA,1,1334.19836426,1950-03-13,1950-03-19
None,Sochaux,FRA,1,1330.79418945,1950-03-20,1950-03-26
