Rank,Club,Country,Level,Elo,From,To
None,Spezia,ITA,2,1529.72741699,1947-09-14,1947-09-14
None,Spezia,ITA,2,1544.51782227,1947-09-15,1947-09-21
None,Spezia,ITA,2,1554.34033203,1947-09-22,1947-09-28
None,Spezia,ITA,2,1559.07531738,1947-09-29,1947-10-05
None,Spezia,ITA,2,1553.265625,1947-10-06,1947-10-12
None,Spezia,ITA,2,1560.3614502,1947-10-13,1947-10-19
None,Spezia,ITA,2,1561.7376709,1947-10-20,1947-10-26
None,Spezia,ITA,2,1554.41162109,1947-10-27,1947-11-02
None,Spezia,ITA,2,1564.23291016,1947-11-03,1947-11-15
None,Spezia,ITA,2,1535.23291016,1947-11-16,1947-11-16
None,Spezia,ITA,2,1538.3536377,1947-11-17,1947-11-23
None,Spezia,ITA,2,1525.80078125,1947-11-24,1947-11-30
None,Spezia,ITA,2,1518.77197266,1947-12-01,1947-12-07
None,Spezia,ITA,2,1505.5402832,1947-12-08,1947-12-18
None,Spezia,ITA,2,1509.5402832,1947-12-19,1947-12-21
None,Spezia,ITA,2,1514.23669434,1947-12-22,1947-12-28
None,Spezia,ITA,2,1518.14343262,1947-12-29,1948-01-04
None,Spezia,ITA,2,1527.95202637,1948-01-05,1948-01-11
None,Spezia,ITA,2,1521.07177734,1948-01-12,1948-01-18
None,Spezia,ITA,2,1525.84179688,1948-01-19,1948-02-15
None,Spezia,ITA,2,1530.97155762,1948-02-16,1948-02-22
None,Spezia,ITA,2,1534.86999512,1948-02-23,1948-02-29
None,Spezia,ITA,2,1530.32495117,1948-03-01,1948-03-07
None,Spezia,ITA,2,1536.08190918,1948-03-08,1948-03-14
None,Spezia,ITA,2,1539.8347168,1948-03-15,1948-03-21
None,Spezia,ITA,2,1546.03149414,1948-03-22,1948-03-28
None,Spezia,ITA,2,1550.06604004,1948-03-29,1948-04-05
None,Spezia,ITA,2,1556.06604004,1948-04-06,1948-04-11
None,Spezia,ITA,2,1547.04296875,1948-04-12,1948-04-17
None,Spezia,ITA,2,1542.42883301,1948-04-18,1948-04-25
None,Spezia,ITA,2,1535.3572998,1948-04-26,1948-05-02
None,Spezia,ITA,2,1538.31848145,1948-05-03,1948-05-09
None,Spezia,ITA,2,1548.40979004,1948-05-10,1948-05-17
None,Spezia,ITA,2,1521.40979004,1948-05-18,1948-05-23
None,Spezia,ITA,2,1515.07250977,1948-05-24,1948-05-30
None,Spezia,ITA,2,1521.42163086,1948-05-31,1948-06-06
None,Spezia,ITA,2,1535.16918945,1948-06-07,1948-06-13
None,Spezia,ITA,2,1538.85620117,1948-06-14,1948-06-20
None,Spezia,ITA,2,1531.84448242,1948-06-21,1948-09-19
None,Spezia,ITA,2,1528.21582031,1948-09-20,1948-09-26
None,Spezia,ITA,2,1536.03491211,1948-09-27,1948-10-03
None,Spezia,ITA,2,1516.97180176,1948-10-04,1948-10-10
None,Spezia,ITA,2,1523.87854004,1948-10-11,1948-10-17
None,Spezia,ITA,2,1518.83654785,1948-10-18,1948-10-24
None,Spezia,ITA,2,1521.82336426,1948-10-25,1948-10-31
None,Spezia,ITA,2,1516.04711914,1948-11-01,1948-11-04
None,Spezia,ITA,2,1520.42004395,1948-11-05,1948-11-07
None,Spezia,ITA,2,1526.04260254,1948-11-08,1948-11-14
None,Spezia,ITA,2,1521.03686523,1948-11-15,1948-11-21
None,Spezia,ITA,2,1526.61413574,1948-11-22,1948-11-28
None,Spezia,ITA,2,1521.86499023,1948-11-29,1948-12-05
None,Spezia,ITA,2,1517.98693848,1948-12-06,1948-12-12
None,Spezia,ITA,2,1512.92102051,1948-12-13,1948-12-19
None,Spezia,ITA,2,1502.75463867,1948-12-20,1948-12-26
None,Spezia,ITA,2,1509.43884277,1948-12-27,1948-12-30
None,Spezia,ITA,2,1507.97827148,1948-12-31,1949-01-02
None,Spezia,ITA,2,1498.48474121,1949-01-03,1949-01-06
None,Spezia,ITA,2,1502.08618164,1949-01-07,1949-01-09
None,Spezia,ITA,2,1505.07373047,1949-01-10,1949-01-16
None,Spezia,ITA,2,1509.49853516,1949-01-17,1949-01-23
None,Spezia,ITA,2,1507.91394043,1949-01-24,1949-01-30
None,Spezia,ITA,2,1504.84619141,1949-01-31,1949-02-06
None,Spezia,ITA,2,1496.1517334,1949-02-07,1949-02-13
None,Spezia,ITA,2,1505.93725586,1949-02-14,1949-02-20
None,Spezia,ITA,2,1510.0078125,1949-02-21,1949-03-05
None,Spezia,ITA,2,1512.0078125,1949-03-06,1949-03-06
None,Spezia,ITA,2,1506.28027344,1949-03-07,1949-03-13
None,Spezia,ITA,2,1495.95605469,1949-03-14,1949-03-20
None,Spezia,ITA,2,1489.58935547,1949-03-21,1949-04-02
None,Spezia,ITA,2,1501.58935547,1949-04-03,1949-04-03
None,Spezia,ITA,2,1497.31518555,1949-04-04,1949-04-10
None,Spezia,ITA,2,1501.16552734,1949-04-11,1949-04-17
None,Spezia,ITA,2,1505.92163086,1949-04-18,1949-04-24
None,Spezia,ITA,2,1502.49414062,1949-04-25,1949-05-01
None,Spezia,ITA,2,1509.22766113,1949-05-02,1949-05-08
None,Spezia,ITA,2,1505.71057129,1949-05-09,1949-05-15
None,Spezia,ITA,2,1518.44787598,1949-05-16,1949-05-25
None,Spezia,ITA,2,1524.44787598,1949-05-26,1949-05-29
None,Spezia,ITA,2,1520.39416504,1949-05-30,1949-06-05
None,Spezia,ITA,2,1516.2623291,1949-06-06,1949-06-12
None,Spezia,ITA,2,1521.82019043,1949-06-13,1949-06-16
None,Spezia,ITA,2,1517.82019043,1949-06-17,1949-06-19
None,Spezia,ITA,2,1514.13110352,1949-06-20,1949-06-26
None,Spezia,ITA,2,1508.49890137,1949-06-27,1949-06-29
None,Spezia,ITA,2,1420.30639648,1949-06-30,1949-07-02
