Rank,Club,Country,Level,Elo,From,To
None,Treviso,ITA,2,1357.21813965,1950-07-01,1950-09-10
None,Treviso,ITA,2,1369.515625,1950-09-11,1950-09-17
None,Treviso,ITA,2,1365.41296387,1950-09-18,1950-09-24
None,Treviso,ITA,2,1361.23571777,1950-09-25,1950-10-01
None,Treviso,ITA,2,1364.97021484,1950-10-02,1950-10-08
None,Treviso,ITA,2,1362.76794434,1950-10-09,1950-10-22
None,Treviso,ITA,2,1347.55810547,1950-10-23,1950-10-29
None,Treviso,ITA,2,1359.82165527,1950-10-30,1950-11-05
None,Treviso,ITA,2,1356.89929199,1950-11-06,1950-11-12
None,Treviso,ITA,2,1376.29919434,1950-11-13,1950-11-19
None,Treviso,ITA,2,1380.8626709,1950-11-20,1950-11-26
None,Treviso,ITA,2,1384.90588379,1950-11-27,1950-12-03
None,Treviso,ITA,2,1390.45751953,1950-12-04,1950-12-10
None,Treviso,ITA,2,1381.80310059,1950-12-11,1950-12-17
None,Treviso,ITA,2,1376.42004395,1950-12-18,1950-12-24
None,Treviso,ITA,2,1382.46813965,1950-12-25,1950-12-31
None,Treviso,ITA,2,1389.24328613,1951-01-01,1951-01-07
None,Treviso,ITA,2,1391.18225098,1951-01-08,1951-01-14
None,Treviso,ITA,2,1377.79394531,1951-01-15,1951-01-21
None,Treviso,ITA,2,1360.71533203,1951-01-22,1951-01-28
None,Treviso,ITA,2,1357.28833008,1951-01-29,1951-02-04
None,Treviso,ITA,2,1362.32226562,1951-02-05,1951-02-11
None,Treviso,ITA,2,1367.9342041,1951-02-12,1951-02-18
None,Treviso,ITA,2,1374.83105469,1951-02-19,1951-02-25
None,Treviso,ITA,2,1371.71032715,1951-02-26,1951-03-04
None,Treviso,ITA,2,1383.42370605,1951-03-05,1951-03-18
None,Treviso,ITA,2,1379.70898438,1951-03-19,1951-03-25
None,Treviso,ITA,2,1384.10974121,1951-03-26,1951-04-01
None,Treviso,ITA,2,1379.7401123,1951-04-02,1951-04-08
None,Treviso,ITA,2,1376.88354492,1951-04-09,1951-04-15
None,Treviso,ITA,2,1371.64550781,1951-04-16,1951-04-22
None,Treviso,ITA,2,1368.03198242,1951-04-23,1951-04-29
None,Treviso,ITA,2,1364.19006348,1951-04-30,1951-05-06
None,Treviso,ITA,2,1360.61535645,1951-05-07,1951-05-13
None,Treviso,ITA,2,1366.14013672,1951-05-14,1951-05-20
None,Treviso,ITA,2,1362.77233887,1951-05-21,1951-05-27
None,Treviso,ITA,2,1360.0246582,1951-05-28,1951-06-03
None,Treviso,ITA,2,1366.16552734,1951-06-04,1951-06-10
None,Treviso,ITA,2,1371.4765625,1951-06-11,1951-06-17
None,Treviso,ITA,2,1378.37683105,1951-06-18,1951-06-20
None,Treviso,ITA,2,1401.72961426,1951-06-21,1951-06-24
None,Treviso,ITA,2,1420.96630859,1951-06-25,1951-09-09
None,Treviso,ITA,2,1425.63842773,1951-09-10,1951-09-16
None,Treviso,ITA,2,1431.32800293,1951-09-17,1951-09-23
None,Treviso,ITA,2,1427.02868652,1951-09-24,1951-09-30
None,Treviso,ITA,2,1430.61230469,1951-10-01,1951-10-07
None,Treviso,ITA,2,1428.46228027,1951-10-08,1951-10-14
None,Treviso,ITA,2,1425.62854004,1951-10-15,1951-10-21
None,Treviso,ITA,2,1419.7668457,1951-10-22,1951-10-28
None,Treviso,ITA,2,1426.03930664,1951-10-29,1951-11-04
None,Treviso,ITA,2,1419.74414062,1951-11-05,1951-11-18
None,Treviso,ITA,2,1423.90673828,1951-11-19,1951-12-02
None,Treviso,ITA,2,1420.69335938,1951-12-03,1951-12-09
None,Treviso,ITA,2,1424.96264648,1951-12-10,1951-12-16
None,Treviso,ITA,2,1428.99963379,1951-12-17,1951-12-23
None,Treviso,ITA,2,1432.80993652,1951-12-24,1951-12-30
None,Treviso,ITA,2,1438.45471191,1951-12-31,1952-01-06
None,Treviso,ITA,2,1444.49304199,1952-01-07,1952-01-13
None,Treviso,ITA,2,1440.13354492,1952-01-14,1952-01-20
None,Treviso,ITA,2,1441.91369629,1952-01-21,1952-01-27
None,Treviso,ITA,2,1439.44482422,1952-01-28,1952-02-03
None,Treviso,ITA,2,1445.60791016,1952-02-04,1952-02-10
None,Treviso,ITA,2,1451.0748291,1952-02-11,1952-02-17
None,Treviso,ITA,2,1447.27783203,1952-02-18,1952-03-02
None,Treviso,ITA,2,1442.54467773,1952-03-03,1952-03-09
None,Treviso,ITA,2,1453.30883789,1952-03-10,1952-03-16
None,Treviso,ITA,2,1464.93469238,1952-03-17,1952-03-23
None,Treviso,ITA,2,1466.92541504,1952-03-24,1952-03-30
None,Treviso,ITA,2,1458.85656738,1952-03-31,1952-04-06
None,Treviso,ITA,2,1454.24621582,1952-04-07,1952-04-13
None,Treviso,ITA,2,1466.16882324,1952-04-14,1952-04-20
None,Treviso,ITA,2,1461.78442383,1952-04-21,1952-04-27
None,Treviso,ITA,2,1468.59155273,1952-04-28,1952-05-04
None,Treviso,ITA,2,1461.23486328,1952-05-05,1952-05-11
None,Treviso,ITA,2,1451.38916016,1952-05-12,1952-05-25
None,Treviso,ITA,2,1458.99108887,1952-05-26,1952-06-01
None,Treviso,ITA,2,1452.79650879,1952-06-02,1952-06-08
None,Treviso,ITA,2,1456.9362793,1952-06-09,1952-06-15
None,Treviso,ITA,2,1451.79504395,1952-06-16,1952-06-22
None,Treviso,ITA,2,1449.07312012,1952-06-23,1952-06-26
None,Treviso,ITA,2,1418.28271484,1952-06-27,1952-06-28
None,Treviso,ITA,2,1426.22106934,1952-06-29,1952-09-14
None,Treviso,ITA,2,1431.48718262,1952-09-15,1952-09-21
None,Treviso,ITA,2,1436.42321777,1952-09-22,1952-09-28
None,Treviso,ITA,2,1432.42028809,1952-09-29,1952-10-05
None,Treviso,ITA,2,1409.2142334,1952-10-06,1952-10-12
None,Treviso,ITA,2,1416.70300293,1952-10-13,1952-10-19
None,Treviso,ITA,2,1429.36022949,1952-10-20,1952-11-02
None,Treviso,ITA,2,1422.40991211,1952-11-03,1952-11-09
None,Treviso,ITA,2,1418.55541992,1952-11-10,1952-11-16
None,Treviso,ITA,2,1422.46350098,1952-11-17,1952-11-23
None,Treviso,ITA,2,1417.67114258,1952-11-24,1952-11-30
None,Treviso,ITA,2,1411.25097656,1952-12-01,1952-12-07
None,Treviso,ITA,2,1409.3001709,1952-12-08,1952-12-14
None,Treviso,ITA,2,1415.42578125,1952-12-15,1952-12-21
None,Treviso,ITA,2,1427.609375,1952-12-22,1953-01-04
None,Treviso,ITA,2,1423.0579834,1953-01-05,1953-01-11
None,Treviso,ITA,2,1420.20214844,1953-01-12,1953-01-18
None,Treviso,ITA,2,1415.32543945,1953-01-19,1953-01-25
None,Treviso,ITA,2,1412.02185059,1953-01-26,1953-02-01
None,Treviso,ITA,2,1417.03918457,1953-02-02,1953-02-08
None,Treviso,ITA,2,1414.45849609,1953-02-09,1953-02-15
None,Treviso,ITA,2,1419.35253906,1953-02-16,1953-02-22
None,Treviso,ITA,2,1423.74829102,1953-02-23,1953-03-01
None,Treviso,ITA,2,1428.85583496,1953-03-02,1953-03-08
None,Treviso,ITA,2,1423.5892334,1953-03-09,1953-03-15
None,Treviso,ITA,2,1435.69067383,1953-03-16,1953-03-22
None,Treviso,ITA,2,1423.32641602,1953-03-23,1953-03-29
None,Treviso,ITA,2,1434.85461426,1953-03-30,1953-04-05
None,Treviso,ITA,2,1439.6854248,1953-04-06,1953-04-12
None,Treviso,ITA,2,1455.61914062,1953-04-13,1953-04-19
None,Treviso,ITA,2,1460.92773438,1953-04-20,1953-05-03
None,Treviso,ITA,2,1447.70385742,1953-05-04,1953-05-10
None,Treviso,ITA,2,1434.75012207,1953-05-11,1953-05-24
None,Treviso,ITA,2,1431.48364258,1953-05-25,1953-05-31
None,Treviso,ITA,2,1435.9119873,1953-06-01,1953-06-04
None,Treviso,ITA,2,1446.24206543,1953-06-05,1953-06-07
None,Treviso,ITA,2,1410.31274414,1953-06-08,1953-09-13
None,Treviso,ITA,2,1391.87658691,1953-09-14,1953-09-20
None,Treviso,ITA,2,1385.69250488,1953-09-21,1953-09-27
None,Treviso,ITA,2,1390.82824707,1953-09-28,1953-10-04
None,Treviso,ITA,2,1387.50109863,1953-10-05,1953-10-11
None,Treviso,ITA,2,1376.27380371,1953-10-12,1953-10-18
None,Treviso,ITA,2,1372.77197266,1953-10-19,1953-10-25
None,Treviso,ITA,2,1369.71044922,1953-10-26,1953-11-01
None,Treviso,ITA,2,1372.80383301,1953-11-02,1953-11-08
None,Treviso,ITA,2,1369.72412109,1953-11-09,1953-11-22
None,Treviso,ITA,2,1364.93518066,1953-11-23,1953-11-29
None,Treviso,ITA,2,1361.37231445,1953-11-30,1953-12-06
None,Treviso,ITA,2,1358.15124512,1953-12-07,1953-12-20
None,Treviso,ITA,2,1354.40515137,1953-12-21,1953-12-27
None,Treviso,ITA,2,1350.6328125,1953-12-28,1954-01-03
None,Treviso,ITA,2,1354.5447998,1954-01-04,1954-01-10
None,Treviso,ITA,2,1344.85766602,1954-01-11,1954-01-17
None,Treviso,ITA,2,1342.86022949,1954-01-18,1954-01-31
