Rank,Club,Country,Level,Elo,From,To
None,Troyes,FRA,1,1428.6361084,1954-07-01,1954-08-22
None,Troyes,FRA,1,1418.9901123,1954-08-23,1954-08-28
None,Troyes,FRA,1,1412.64807129,1954-08-29,1954-09-04
None,Troyes,FRA,1,1419.62304688,1954-09-05,1954-09-09
None,Troyes,FRA,1,1422.50537109,1954-09-10,1954-09-12
None,Troyes,FRA,1,1419.26269531,1954-09-13,1954-09-19
None,Troyes,FRA,1,1416.5135498,1954-09-20,1954-09-26
None,Troyes,FRA,1,1422.65283203,1954-09-27,1954-09-30
None,Troyes,FRA,1,1441.84472656,1954-10-01,1954-10-03
None,Troyes,FRA,1,1438.16308594,1954-10-04,1954-10-10
None,Troyes,FRA,1,1443.79833984,1954-10-11,1954-10-24
None,Troyes,FRA,1,1469.79785156,1954-10-25,1954-10-31
None,Troyes,FRA,1,1459.89794922,1954-11-01,1954-11-07
None,Troyes,FRA,1,1456.56494141,1954-11-08,1954-11-14
None,Troyes,FRA,1,1463.14440918,1954-11-15,1954-11-21
None,Troyes,FRA,1,1457.62976074,1954-11-22,1954-11-28
None,Troyes,FRA,1,1463.43896484,1954-11-29,1954-12-05
None,Troyes,FRA,1,1471.25854492,1954-12-06,1954-12-12
None,Troyes,FRA,1,1463.72949219,1954-12-13,1954-12-19
None,Troyes,FRA,1,1469.37097168,1954-12-20,1954-12-26
None,Troyes,FRA,1,1461.37414551,1954-12-27,1955-01-02
None,Troyes,FRA,1,1458.7590332,1955-01-03,1955-01-09
None,Troyes,FRA,1,1456.93237305,1955-01-10,1955-01-16
None,Troyes,FRA,1,1468.55358887,1955-01-17,1955-01-23
None,Troyes,FRA,1,1451.34521484,1955-01-24,1955-01-30
None,Troyes,FRA,1,1460.73925781,1955-01-31,1955-02-13
None,Troyes,FRA,1,1456.01977539,1955-02-14,1955-02-20
None,Troyes,FRA,1,1449.35998535,1955-02-21,1955-02-27
None,Troyes,FRA,1,1429.0715332,1955-02-28,1955-03-13
None,Troyes,FRA,1,1423.38867188,1955-03-14,1955-03-20
None,Troyes,FRA,1,1412.97241211,1955-03-21,1955-04-10
None,Troyes,FRA,1,1409.578125,1955-04-11,1955-04-24
None,Troyes,FRA,1,1419.15991211,1955-04-25,1955-05-01
None,Troyes,FRA,1,1426.82519531,1955-05-02,1955-05-21
None,Troyes,FRA,1,1440.54467773,1955-05-22,1955-06-23
None,Troyes,FRA,1,1463.05786133,1955-06-24,1955-06-26
None,Troyes,FRA,1,1448.78527832,1955-06-27,1955-08-21
None,Troyes,FRA,1,1437.015625,1955-08-22,1955-08-28
None,Troyes,FRA,1,1432.29724121,1955-08-29,1955-09-04
None,Troyes,FRA,1,1427.79626465,1955-09-05,1955-09-11
None,Troyes,FRA,1,1410.35205078,1955-09-12,1955-09-18
None,Troyes,FRA,1,1405.11669922,1955-09-19,1955-09-21
None,Troyes,FRA,1,1419.36791992,1955-09-22,1955-09-25
None,Troyes,FRA,1,1431.49084473,1955-09-26,1955-10-02
None,Troyes,FRA,1,1428.18688965,1955-10-03,1955-10-12
None,Troyes,FRA,1,1428.8347168,1955-10-13,1955-10-16
None,Troyes,FRA,1,1427.60388184,1955-10-17,1955-10-26
None,Troyes,FRA,1,1423.34643555,1955-10-27,1955-10-30
None,Troyes,FRA,1,1430.14013672,1955-10-31,1955-11-01
None,Troyes,FRA,1,1435.99377441,1955-11-02,1955-11-06
None,Troyes,FRA,1,1430.09851074,1955-11-07,1955-11-12
None,Troyes,FRA,1,1424.4440918,1955-11-13,1955-11-20
None,Troyes,FRA,1,1416.31262207,1955-11-21,1955-11-27
None,Troyes,FRA,1,1413.73693848,1955-11-28,1955-12-04
None,Troyes,FRA,1,1412.57995605,1955-12-05,1955-12-11
None,Troyes,FRA,1,1427.88378906,1955-12-12,1955-12-14
None,Troyes,FRA,1,1434.61206055,1955-12-15,1955-12-18
None,Troyes,FRA,1,1443.46472168,1955-12-19,1955-12-28
None,Troyes,FRA,1,1488.25317383,1955-12-29,1956-01-01
None,Troyes,FRA,1,1485.55224609,1956-01-02,1956-01-15
None,Troyes,FRA,1,1474.08166504,1956-01-16,1956-01-22
None,Troyes,FRA,1,1471.60900879,1956-01-23,1956-01-29
None,Troyes,FRA,1,1477.71313477,1956-01-30,1956-02-12
None,Troyes,FRA,1,1478.42077637,1956-02-13,1956-03-11
None,Troyes,FRA,1,1475.56225586,1956-03-12,1956-03-18
None,Troyes,FRA,1,1463.96923828,1956-03-19,1956-04-01
None,Troyes,FRA,1,1464.46386719,1956-04-02,1956-04-04
