Rank,Club,Country,Level,Elo,From,To
None,Union Berlin,GDR,1,1354.7409668,1966-07-02,1966-08-06
None,Union Berlin,GDR,1,1359.31286621,1966-08-07,1966-08-10
None,Union Berlin,GDR,1,1355.79528809,1966-08-11,1966-08-13
None,Union Berlin,GDR,1,1349.26586914,1966-08-14,1966-08-21
None,Union Berlin,GDR,1,1346.88696289,1966-08-22,1966-08-27
None,Union Berlin,GDR,1,1351.92004395,1966-08-28,1966-08-31
None,Union Berlin,GDR,1,1360.65710449,1966-09-01,1966-09-07
None,Union Berlin,GDR,1,1364.16882324,1966-09-08,1966-09-24
None,Union Berlin,GDR,1,1371.58776855,1966-09-25,1966-09-28
None,Union Berlin,GDR,1,1381.19299316,1966-09-29,1966-10-01
None,Union Berlin,GDR,1,1391.5144043,1966-10-02,1966-10-12
None,Union Berlin,GDR,1,1393.20385742,1966-10-13,1966-10-26
None,Union Berlin,GDR,1,1376.76318359,1966-10-27,1966-10-29
None,Union Berlin,GDR,1,1367.23400879,1966-10-30,1966-11-05
None,Union Berlin,GDR,1,1378.32751465,1966-11-06,1966-11-12
None,Union Berlin,GDR,1,1378.86328125,1966-11-13,1966-11-16
None,Union Berlin,GDR,1,1373.56762695,1966-11-17,1966-11-19
None,Union Berlin,GDR,1,1382.44824219,1966-11-20,1966-11-26
None,Union Berlin,GDR,1,1385.27978516,1966-11-27,1966-11-30
None,Union Berlin,GDR,1,1386.89086914,1966-12-01,1966-12-14
None,Union Berlin,GDR,1,1382.55444336,1966-12-15,1967-02-18
None,Union Berlin,GDR,1,1393.23242188,1967-02-19,1967-02-25
None,Union Berlin,GDR,1,1387.32312012,1967-02-26,1967-03-04
None,Union Berlin,GDR,1,1385.58996582,1967-03-05,1967-03-11
None,Union Berlin,GDR,1,1389.18237305,1967-03-12,1967-03-15
None,Union Berlin,GDR,1,1370.66027832,1967-03-16,1967-04-08
None,Union Berlin,GDR,1,1393.0246582,1967-04-09,1967-04-15
None,Union Berlin,GDR,1,1396.2590332,1967-04-16,1967-04-22
None,Union Berlin,GDR,1,1401.39953613,1967-04-23,1967-04-26
None,Union Berlin,GDR,1,1408.53466797,1967-04-27,1967-05-04
None,Union Berlin,GDR,1,1404.60095215,1967-05-05,1967-05-07
None,Union Berlin,GDR,1,1385.12316895,1967-05-08,1967-05-10
None,Union Berlin,GDR,1,1374.89233398,1967-05-11,1967-05-13
None,Union Berlin,GDR,1,1381.95092773,1967-05-14,1967-08-12
None,Union Berlin,GDR,1,1379.25622559,1967-08-13,1967-08-19
None,Union Berlin,GDR,1,1381.96960449,1967-08-20,1967-08-26
None,Union Berlin,GDR,1,1389.06335449,1967-08-27,1967-08-30
None,Union Berlin,GDR,1,1382.16955566,1967-08-31,1967-09-02
None,Union Berlin,GDR,1,1387.65979004,1967-09-03,1967-09-16
None,Union Berlin,GDR,1,1399.19372559,1967-09-17,1967-09-20
