Rank,Club,Country,Level,Elo,From,To
None,Valenciennes,FRA,1,1516.78845215,1956-07-01,1956-07-03
None,Valenciennes,FRA,1,1504.09094238,1956-07-04,1956-08-19
None,Valenciennes,FRA,1,1501.95178223,1956-08-20,1956-08-26
None,Valenciennes,FRA,1,1494.19128418,1956-08-27,1956-09-02
None,Valenciennes,FRA,1,1484.89038086,1956-09-03,1956-09-09
None,Valenciennes,FRA,1,1477.47595215,1956-09-10,1956-09-16
None,Valenciennes,FRA,1,1485.06921387,1956-09-17,1956-09-19
None,Valenciennes,FRA,1,1490.05859375,1956-09-20,1956-09-23
None,Valenciennes,FRA,1,1490.14404297,1956-09-24,1956-09-27
None,Valenciennes,FRA,1,1497.87255859,1956-09-28,1956-09-30
None,Valenciennes,FRA,1,1490.96923828,1956-10-01,1956-10-14
None,Valenciennes,FRA,1,1502.92077637,1956-10-15,1956-10-24
None,Valenciennes,FRA,1,1505.33288574,1956-10-25,1956-10-28
None,Valenciennes,FRA,1,1512.19519043,1956-10-29,1956-11-04
None,Valenciennes,FRA,1,1518.28710938,1956-11-05,1956-11-14
None,Valenciennes,FRA,1,1515.93908691,1956-11-15,1956-11-18
None,Valenciennes,FRA,1,1515.14160156,1956-11-19,1956-11-25
None,Valenciennes,FRA,1,1522.07824707,1956-11-26,1956-11-28
None,Valenciennes,FRA,1,1547.09887695,1956-11-29,1956-12-02
None,Valenciennes,FRA,1,1556.453125,1956-12-03,1956-12-09
None,Valenciennes,FRA,1,1550.02209473,1956-12-10,1956-12-16
None,Valenciennes,FRA,1,1551.9498291,1956-12-17,1956-12-23
None,Valenciennes,FRA,1,1544.52526855,1956-12-24,1956-12-25
None,Valenciennes,FRA,1,1547.25378418,1956-12-26,1956-12-29
None,Valenciennes,FRA,1,1554.74145508,1956-12-30,1957-01-01
None,Valenciennes,FRA,1,1550.38415527,1957-01-02,1957-01-06
None,Valenciennes,FRA,1,1543.56677246,1957-01-07,1957-01-20
None,Valenciennes,FRA,1,1540.00842285,1957-01-21,1957-01-27
None,Valenciennes,FRA,1,1527.20275879,1957-01-28,1957-02-10
None,Valenciennes,FRA,1,1523.2088623,1957-02-11,1957-02-14
None,Valenciennes,FRA,1,1520.13793945,1957-02-15,1957-02-17
None,Valenciennes,FRA,1,1526.21081543,1957-02-18,1957-02-24
None,Valenciennes,FRA,1,1521.87414551,1957-02-25,1957-03-10
None,Valenciennes,FRA,1,1520.39306641,1957-03-11,1957-03-14
None,Valenciennes,FRA,1,1517.45715332,1957-03-15,1957-03-17
None,Valenciennes,FRA,1,1497.92333984,1957-03-18,1957-03-31
None,Valenciennes,FRA,1,1507.31396484,1957-04-01,1957-04-14
None,Valenciennes,FRA,1,1519.9954834,1957-04-15,1957-04-21
None,Valenciennes,FRA,1,1528.79675293,1957-04-22,1957-04-28
None,Valenciennes,FRA,1,1526.04748535,1957-04-29,1957-05-01
None,Valenciennes,FRA,1,1535.54418945,1957-05-02,1957-05-12
None,Valenciennes,FRA,1,1554.73022461,1957-05-13,1957-05-19
None,Valenciennes,FRA,1,1543.73815918,1957-05-20,1957-06-20
None,Valenciennes,FRA,1,1530.52001953,1957-06-21,1957-06-23
None,Valenciennes,FRA,1,1516.20349121,1957-06-24,1957-08-18
None,Valenciennes,FRA,1,1526.86340332,1957-08-19,1957-08-25
None,Valenciennes,FRA,1,1535.12219238,1957-08-26,1957-09-04
None,Valenciennes,FRA,1,1531.71057129,1957-09-05,1957-09-08
None,Valenciennes,FRA,1,1529.38537598,1957-09-09,1957-09-15
None,Valenciennes,FRA,1,1525.56420898,1957-09-16,1957-09-18
None,Valenciennes,FRA,1,1522.63696289,1957-09-19,1957-09-21
None,Valenciennes,FRA,1,1518.76623535,1957-09-22,1957-09-25
None,Valenciennes,FRA,1,1513.26525879,1957-09-26,1957-09-28
None,Valenciennes,FRA,1,1514.84094238,1957-09-29,1957-10-13
None,Valenciennes,FRA,1,1509.9642334,1957-10-14,1957-10-20
None,Valenciennes,FRA,1,1505.68237305,1957-10-21,1957-11-01
None,Valenciennes,FRA,1,1490.96435547,1957-11-02,1957-11-03
None,Valenciennes,FRA,1,1502.64318848,1957-11-04,1957-11-10
None,Valenciennes,FRA,1,1488.1697998,1957-11-11,1957-11-17
None,Valenciennes,FRA,1,1499.31311035,1957-11-18,1957-11-24
None,Valenciennes,FRA,1,1495.24487305,1957-11-25,1957-12-01
None,Valenciennes,FRA,1,1499.85913086,1957-12-02,1957-12-08
None,Valenciennes,FRA,1,1509.52905273,1957-12-09,1957-12-15
None,Valenciennes,FRA,1,1506.28918457,1957-12-16,1957-12-22
None,Valenciennes,FRA,1,1502.93725586,1957-12-23,1957-12-29
None,Valenciennes,FRA,1,1503.79199219,1957-12-30,1958-01-05
None,Valenciennes,FRA,1,1495.99938965,1958-01-06,1958-01-19
None,Valenciennes,FRA,1,1497.37585449,1958-01-20,1958-01-26
None,Valenciennes,FRA,1,1502.56103516,1958-01-27,1958-02-09
None,Valenciennes,FRA,1,1508.62341309,1958-02-10,1958-02-16
None,Valenciennes,FRA,1,1516.90002441,1958-02-17,1958-02-23
None,Valenciennes,FRA,1,1513.23242188,1958-02-24,1958-03-09
None,Valenciennes,FRA,1,1506.7989502,1958-03-10,1958-03-16
None,Valenciennes,FRA,1,1505.1809082,1958-03-17,1958-03-23
None,Valenciennes,FRA,1,1512.12792969,1958-03-24,1958-03-30
None,Valenciennes,FRA,1,1516.61706543,1958-03-31,1958-04-13
None,Valenciennes,FRA,1,1512.97473145,1958-04-14,1958-04-20
None,Valenciennes,FRA,1,1507.89562988,1958-04-21,1958-05-01
None,Valenciennes,FRA,1,1494.53234863,1958-05-02,1958-05-04
None,Valenciennes,FRA,1,1485.61499023,1958-05-05,1958-05-10
None,Valenciennes,FRA,1,1490.82409668,1958-05-11,1958-08-17
None,Valenciennes,FRA,1,1485.70532227,1958-08-18,1958-08-24
None,Valenciennes,FRA,1,1501.09899902,1958-08-25,1958-08-27
None,Valenciennes,FRA,1,1496.79992676,1958-08-28,1958-08-31
None,Valenciennes,FRA,1,1505.82385254,1958-09-01,1958-09-07
None,Valenciennes,FRA,1,1503.40979004,1958-09-08,1958-09-10
None,Valenciennes,FRA,1,1506.71020508,1958-09-11,1958-09-14
None,Valenciennes,FRA,1,1511.27685547,1958-09-15,1958-09-17
None,Valenciennes,FRA,1,1513.20239258,1958-09-18,1958-09-21
None,Valenciennes,FRA,1,1523.37219238,1958-09-22,1958-09-24
None,Valenciennes,FRA,1,1521.78344727,1958-09-25,1958-09-27
None,Valenciennes,FRA,1,1517.32885742,1958-09-28,1958-09-30
None,Valenciennes,FRA,1,1518.4744873,1958-10-01,1958-10-05
None,Valenciennes,FRA,1,1518.83520508,1958-10-06,1958-10-12
None,Valenciennes,FRA,1,1522.74389648,1958-10-13,1958-10-19
None,Valenciennes,FRA,1,1531.51391602,1958-10-20,1958-11-02
None,Valenciennes,FRA,1,1521.88256836,1958-11-03,1958-11-09
None,Valenciennes,FRA,1,1518.97937012,1958-11-10,1958-11-16
None,Valenciennes,FRA,1,1513.91491699,1958-11-17,1958-11-23
None,Valenciennes,FRA,1,1521.50805664,1958-11-24,1958-11-26
None,Valenciennes,FRA,1,1521.5736084,1958-11-27,1958-11-30
None,Valenciennes,FRA,1,1510.87719727,1958-12-01,1958-12-03
None,Valenciennes,FRA,1,1510.96325684,1958-12-04,1958-12-07
None,Valenciennes,FRA,1,1520.60998535,1958-12-08,1958-12-14
None,Valenciennes,FRA,1,1526.21008301,1958-12-15,1958-12-21
None,Valenciennes,FRA,1,1516.31262207,1958-12-22,1958-12-28
None,Valenciennes,FRA,1,1530.59533691,1958-12-29,1959-01-04
None,Valenciennes,FRA,1,1522.52807617,1959-01-05,1959-01-18
None,Valenciennes,FRA,1,1528.63830566,1959-01-19,1959-01-25
None,Valenciennes,FRA,1,1525.41772461,1959-01-26,1959-02-04
None,Valenciennes,FRA,1,1521.59094238,1959-02-05,1959-02-08
None,Valenciennes,FRA,1,1528.79943848,1959-02-09,1959-02-15
None,Valenciennes,FRA,1,1521.3861084,1959-02-16,1959-03-08
None,Valenciennes,FRA,1,1532.7557373,1959-03-09,1959-03-15
None,Valenciennes,FRA,1,1521.29663086,1959-03-16,1959-03-18
None,Valenciennes,FRA,1,1535.73510742,1959-03-19,1959-03-29
None,Valenciennes,FRA,1,1533.51599121,1959-03-30,1959-04-05
None,Valenciennes,FRA,1,1537.42272949,1959-04-06,1959-04-13
None,Valenciennes,FRA,1,1539.50512695,1959-04-14,1959-04-19
None,Valenciennes,FRA,1,1544.36413574,1959-04-20,1959-04-26
None,Valenciennes,FRA,1,1540.64733887,1959-04-27,1959-05-07
None,Valenciennes,FRA,1,1538.63818359,1959-05-08,1959-05-10
None,Valenciennes,FRA,1,1545.58752441,1959-05-11,1959-05-13
None,Valenciennes,FRA,1,1555.97485352,1959-05-14,1959-05-16
None,Valenciennes,FRA,1,1551.16308594,1959-05-17,1959-05-23
None,Valenciennes,FRA,1,1549.44958496,1959-05-24,1959-05-28
None,Valenciennes,FRA,1,1548.6965332,1959-05-29,1959-06-03
None,Valenciennes,FRA,1,1544.67077637,1959-06-04,1959-08-15
None,Valenciennes,FRA,1,1557.24829102,1959-08-16,1959-08-22
None,Valenciennes,FRA,1,1555.12963867,1959-08-23,1959-08-26
None,Valenciennes,FRA,1,1552.45422363,1959-08-27,1959-08-29
None,Valenciennes,FRA,1,1546.49206543,1959-08-30,1959-09-05
None,Valenciennes,FRA,1,1551.29919434,1959-09-06,1959-09-12
None,Valenciennes,FRA,1,1554.5534668,1959-09-13,1959-09-16
None,Valenciennes,FRA,1,1537.24316406,1959-09-17,1959-09-20
None,Valenciennes,FRA,1,1532.31152344,1959-09-21,1959-09-23
None,Valenciennes,FRA,1,1538.83056641,1959-09-24,1959-09-26
None,Valenciennes,FRA,1,1528.27429199,1959-09-27,1959-09-30
None,Valenciennes,FRA,1,1525.43945312,1959-10-01,1959-10-03
