Rank,Club,Country,Level,Elo,From,To
None,Wolfsburg,FRG,1,1373.58252,1954/7/1,1954/7/6
None,Wolfsburg,FRG,1,1417.58252,1954/7/7,1954/8/22
None,Wolfsburg,FRG,1,1423.278198,1954/8/23,1954/8/29
None,Wolfsburg,FRG,1,1432.728882,1954/8/30,1954/9/12
None,Wolfsburg,FRG,1,1429.093262,1954/9/13,1954/9/19
None,Wolfsburg,FRG,1,1425.275513,1954/9/20,1954/9/27
None,Wolfsburg,FRG,1,1401.275513,1954/9/28,1954/10/3
None,Wolfsburg,FRG,1,1400.05896,1954/10/4,1954/10/10
None,Wolfsburg,FRG,1,1389.890747,1954/10/11,1954/10/17
None,Wolfsburg,FRG,1,1362.890747,1954/10/18,1954/10/24
None,Wolfsburg,FRG,1,1360.498291,1954/10/25,1954/10/31
None,Wolfsburg,FRG,1,1371.456665,1954/11/1,1954/11/7
None,Wolfsburg,FRG,1,1374.198486,1954/11/8,1954/11/14
None,Wolfsburg,FRG,1,1371.018066,1954/11/15,1954/11/17
None,Wolfsburg,FRG,1,1371.86499,1954/11/18,1954/11/28
None,Wolfsburg,FRG,1,1364.366211,1954/11/29,1954/12/2
None,Wolfsburg,FRG,1,1350.366211,1954/12/3,1954/12/5
None,Wolfsburg,FRG,1,1340.517822,1954/12/6,1954/12/22
None,Wolfsburg,FRG,1,1346.517822,1954/12/23,1954/12/26
None,Wolfsburg,FRG,1,1342.234497,1954/12/27,1955/1/2
None,Wolfsburg,FRG,1,1343.569946,1955/1/3,1955/1/9
None,Wolfsburg,FRG,1,1349.683594,1955/1/10,1955/1/16
None,Wolfsburg,FRG,1,1367.285156,1955/1/17,1955/1/23
None,Wolfsburg,FRG,1,1364.360474,1955/1/24,1955/1/30
None,Wolfsburg,FRG,1,1366.647583,1955/1/31,1955/2/6
None,Wolfsburg,FRG,1,1372.541626,1955/2/7,1955/2/13
None,Wolfsburg,FRG,1,1382.596802,1955/2/14,1955/2/20
None,Wolfsburg,FRG,1,1382.960449,1955/2/21,1955/3/6
None,Wolfsburg,FRG,1,1375.914551,1955/3/7,1955/3/13
None,Wolfsburg,FRG,1,1378.397339,1955/3/14,1955/3/20
None,Wolfsburg,FRG,1,1375.721558,1955/3/21,1955/3/27
