Rank,Club,Country,Level,Elo,From,To
None,Xerez,ESP,2,1379.18139648,1971-07-01,1971-08-19
None,Xerez,ESP,2,1379.17749023,1971-08-20,1971-08-26
None,Xerez,ESP,2,1379.22094727,1971-08-27,1971-09-05
None,Xerez,ESP,2,1376.08740234,1971-09-06,1971-09-11
None,Xerez,ESP,2,1375.77697754,1971-09-12,1971-09-15
None,Xerez,ESP,2,1364.08410645,1971-09-16,1971-09-19
None,Xerez,ESP,2,1377.390625,1971-09-20,1971-09-26
None,Xerez,ESP,2,1362.74401855,1971-09-27,1971-09-29
None,Xerez,ESP,2,1379.22412109,1971-09-30,1971-09-30
None,Xerez,ESP,2,1366.67443848,1971-10-01,1971-10-03
None,Xerez,ESP,2,1373.15930176,1971-10-04,1971-10-09
None,Xerez,ESP,2,1380.60046387,1971-10-10,1971-10-17
None,Xerez,ESP,2,1375.60900879,1971-10-18,1971-10-20
None,Xerez,ESP,2,1358.96398926,1971-10-21,1971-10-31
None,Xerez,ESP,2,1354.70825195,1971-11-01,1971-11-03
None,Xerez,ESP,2,1328.58007812,1971-11-04,1971-11-07
None,Xerez,ESP,2,1324.79992676,1971-11-08,1971-11-14
None,Xerez,ESP,2,1322.17102051,1971-11-15,1971-11-21
None,Xerez,ESP,2,1326.32470703,1971-11-22,1971-11-28
None,Xerez,ESP,2,1332.53857422,1971-11-29,1971-12-05
None,Xerez,ESP,2,1328.64538574,1971-12-06,1971-12-12
None,Xerez,ESP,2,1324.03723145,1971-12-13,1971-12-19
None,Xerez,ESP,2,1318.57641602,1971-12-20,1972-01-02
None,Xerez,ESP,2,1323.46264648,1972-01-03,1972-01-09
None,Xerez,ESP,2,1320.64807129,1972-01-10,1972-01-16
None,Xerez,ESP,2,1301.97009277,1972-01-17,1972-01-23
None,Xerez,ESP,2,1300.84912109,1972-01-24,1972-01-30
None,Xerez,ESP,2,1299.43286133,1972-01-31,1972-02-06
None,Xerez,ESP,2,1304.27709961,1972-02-07,1972-02-13
None,Xerez,ESP,2,1301.58947754,1972-02-14,1972-02-20
None,Xerez,ESP,2,1299.01586914,1972-02-21,1972-02-27
None,Xerez,ESP,2,1297.16308594,1972-02-28,1972-03-05
None,Xerez,ESP,2,1292.05407715,1972-03-06,1972-03-12
None,Xerez,ESP,2,1287.95007324,1972-03-13,1972-03-19
None,Xerez,ESP,2,1285.59753418,1972-03-20,1972-03-26
None,Xerez,ESP,2,1290.53466797,1972-03-27,1972-04-02
None,Xerez,ESP,2,1287.58825684,1972-04-03,1972-04-09
None,Xerez,ESP,2,1275.56591797,1972-04-10,1972-04-16
None,Xerez,ESP,2,1269.35571289,1972-04-17,1972-04-23
None,Xerez,ESP,2,1267.21203613,1972-04-24,1972-04-30
None,Xerez,ESP,2,1273.78027344,1972-05-01,1972-05-06
None,Xerez,ESP,2,1283.44287109,1972-05-07,1972-05-11
None,Xerez,ESP,2,1279.81274414,1972-05-12,1972-05-14
None,Xerez,ESP,2,1277.67382812,1972-05-15,1972-05-20
None,Xerez,ESP,2,1274.9473877,1972-05-21,1972-06-01
None,Xerez,ESP,2,1272.33837891,1972-06-02,1972-07-01
None,Xerez,ESP,2,1380.06689453,1982-07-04,1982-09-05
None,Xerez,ESP,2,1375.67785645,1982-09-06,1982-09-11
