Rank,Club,Country,Level,Elo,From,To
None,Zaragoza,ESP,1,1636.70458984,1939-10-22,1939-12-03
None,Zaragoza,ESP,1,1642.10693359,1939-12-04,1939-12-10
None,Zaragoza,ESP,1,1645.15869141,1939-12-11,1939-12-17
None,Zaragoza,ESP,1,1650.77636719,1939-12-18,1939-12-24
None,Zaragoza,ESP,1,1652.44970703,1939-12-25,1939-12-31
None,Zaragoza,ESP,1,1654.60827637,1940-01-01,1940-01-07
None,Zaragoza,ESP,1,1661.84924316,1940-01-08,1940-01-14
None,Zaragoza,ESP,1,1650.93249512,1940-01-15,1940-01-21
None,Zaragoza,ESP,1,1658.04748535,1940-01-22,1940-01-28
None,Zaragoza,ESP,1,1648.36071777,1940-01-29,1940-02-04
None,Zaragoza,ESP,1,1656.06188965,1940-02-05,1940-02-11
None,Zaragoza,ESP,1,1648.95825195,1940-02-12,1940-02-18
None,Zaragoza,ESP,1,1637.10900879,1940-02-19,1940-02-25
None,Zaragoza,ESP,1,1642.25756836,1940-02-26,1940-03-03
None,Zaragoza,ESP,1,1632.60595703,1940-03-04,1940-03-10
None,Zaragoza,ESP,1,1628.27124023,1940-03-11,1940-03-17
None,Zaragoza,ESP,1,1625.35522461,1940-03-18,1940-03-24
None,Zaragoza,ESP,1,1619.92871094,1940-03-25,1940-03-31
None,Zaragoza,ESP,1,1617.24755859,1940-04-01,1940-04-07
None,Zaragoza,ESP,1,1610.0111084,1940-04-08,1940-04-14
None,Zaragoza,ESP,1,1608.59863281,1940-04-15,1940-04-21
None,Zaragoza,ESP,1,1602.73913574,1940-04-22,1940-04-28
None,Zaragoza,ESP,1,1613.00415039,1940-04-29,1940-09-29
None,Zaragoza,ESP,1,1611.26928711,1940-09-30,1940-10-06
None,Zaragoza,ESP,1,1616.31481934,1940-10-07,1940-10-12
None,Zaragoza,ESP,1,1620.91833496,1940-10-13,1940-10-20
None,Zaragoza,ESP,1,1616.18981934,1940-10-21,1940-10-27
None,Zaragoza,ESP,1,1611.22717285,1940-10-28,1940-11-03
None,Zaragoza,ESP,1,1625.09912109,1940-11-04,1940-11-10
None,Zaragoza,ESP,1,1620.60058594,1940-11-11,1940-11-17
None,Zaragoza,ESP,1,1602.1763916,1940-11-18,1940-11-24
None,Zaragoza,ESP,1,1594.81420898,1940-11-25,1940-12-01
None,Zaragoza,ESP,1,1599.85437012,1940-12-02,1940-12-08
None,Zaragoza,ESP,1,1592.48962402,1940-12-09,1940-12-15
None,Zaragoza,ESP,1,1584.90588379,1940-12-16,1940-12-22
None,Zaragoza,ESP,1,1584.19433594,1940-12-23,1940-12-29
None,Zaragoza,ESP,1,1578.89477539,1940-12-30,1941-01-05
None,Zaragoza,ESP,1,1569.05419922,1941-01-06,1941-01-19
None,Zaragoza,ESP,1,1550.23291016,1941-01-20,1941-01-26
None,Zaragoza,ESP,1,1546.06640625,1941-01-27,1941-02-02
None,Zaragoza,ESP,1,1547.94262695,1941-02-03,1941-02-09
None,Zaragoza,ESP,1,1542.81848145,1941-02-10,1941-02-16
None,Zaragoza,ESP,1,1548.8972168,1941-02-17,1941-03-02
None,Zaragoza,ESP,1,1552.26416016,1941-03-03,1941-03-23
None,Zaragoza,ESP,1,1556.26416016,1941-03-24,1941-03-30
None,Zaragoza,ESP,1,1552.2310791,1941-03-31,1941-09-06
None,Zaragoza,ESP,1,1534.86486816,1942-07-05,1942-09-27
None,Zaragoza,ESP,1,1529.36889648,1942-09-28,1942-10-04
None,Zaragoza,ESP,1,1519.58532715,1942-10-05,1942-10-11
None,Zaragoza,ESP,1,1518.05615234,1942-10-12,1942-10-18
None,Zaragoza,ESP,1,1516.15185547,1942-10-19,1942-10-25
None,Zaragoza,ESP,1,1511.92980957,1942-10-26,1942-11-01
None,Zaragoza,ESP,1,1515.36450195,1942-11-02,1942-11-08
None,Zaragoza,ESP,1,1519.75976562,1942-11-09,1942-11-17
None,Zaragoza,ESP,1,1514.02990723,1942-11-18,1942-11-22
None,Zaragoza,ESP,1,1504.44152832,1942-11-23,1942-11-29
None,Zaragoza,ESP,1,1502.21655273,1942-11-30,1942-12-06
None,Zaragoza,ESP,1,1512.7520752,1942-12-07,1942-12-13
None,Zaragoza,ESP,1,1518.68395996,1942-12-14,1942-12-27
None,Zaragoza,ESP,1,1512.48754883,1942-12-28,1943-01-10
None,Zaragoza,ESP,1,1505.04248047,1943-01-11,1943-01-17
None,Zaragoza,ESP,1,1510.60925293,1943-01-18,1943-01-24
None,Zaragoza,ESP,1,1499.78857422,1943-01-25,1943-01-31
None,Zaragoza,ESP,1,1496.08435059,1943-02-01,1943-02-07
None,Zaragoza,ESP,1,1494.94421387,1943-02-08,1943-02-14
None,Zaragoza,ESP,1,1491.74304199,1943-02-15,1943-02-21
None,Zaragoza,ESP,1,1495.5098877,1943-02-22,1943-02-28
None,Zaragoza,ESP,1,1495.17651367,1943-03-01,1943-03-07
None,Zaragoza,ESP,1,1493.14624023,1943-03-08,1943-03-14
None,Zaragoza,ESP,1,1494.01965332,1943-03-15,1943-03-21
None,Zaragoza,ESP,1,1500.20214844,1943-03-22,1943-03-28
None,Zaragoza,ESP,1,1486.89172363,1943-03-29,1943-04-04
None,Zaragoza,ESP,1,1485.17041016,1943-04-05,1943-09-11
None,Zaragoza,ESP,1,1468.01000977,1951-07-01,1951-09-09
None,Zaragoza,ESP,1,1480.67089844,1951-09-10,1951-09-16
None,Zaragoza,ESP,1,1470.06201172,1951-09-17,1951-09-23
None,Zaragoza,ESP,1,1466.08044434,1951-09-24,1951-09-30
None,Zaragoza,ESP,1,1452.06237793,1951-10-01,1951-10-07
None,Zaragoza,ESP,1,1460.82226562,1951-10-08,1951-10-14
None,Zaragoza,ESP,1,1466.16259766,1951-10-15,1951-10-21
None,Zaragoza,ESP,1,1463.61083984,1951-10-22,1951-10-28
None,Zaragoza,ESP,1,1466.88391113,1951-10-29,1951-11-04
None,Zaragoza,ESP,1,1465.04711914,1951-11-05,1951-11-11
None,Zaragoza,ESP,1,1462.54736328,1951-11-12,1951-11-18
None,Zaragoza,ESP,1,1461.54760742,1951-11-19,1951-11-25
None,Zaragoza,ESP,1,1458.48266602,1951-11-26,1951-12-02
None,Zaragoza,ESP,1,1462.31555176,1951-12-03,1951-12-09
None,Zaragoza,ESP,1,1461.16442871,1951-12-10,1951-12-16
None,Zaragoza,ESP,1,1468.51098633,1951-12-17,1951-12-30
None,Zaragoza,ESP,1,1473.05493164,1951-12-31,1952-01-06
None,Zaragoza,ESP,1,1469.76281738,1952-01-07,1952-01-13
None,Zaragoza,ESP,1,1458.88549805,1952-01-14,1952-01-20
None,Zaragoza,ESP,1,1458.17541504,1952-01-21,1952-01-27
